[00:00:00] 次が第9試合久保優太Vラジャブアシェイ
[00:27:35] てると思ううん俺はそういう男と思うない
[00:27:38] メンタルマジ強いもんそこが一番尊敬
[00:27:40] できる俺はうん
[00:27:43] ねえこの試合なんですけどまあねやっぱ
[00:27:47] ゴミ戦見てたら不安になるけどうん俺鈴木
[00:27:50] 郎勝つと思ううん前にプレッシャーかけて
[00:27:54] いってえ金原戦でも見してたあのね障テク
[00:27:58] ダンも切ってま1回ぐらいそれ危ない場面
[00:28:01] もありそうな気がするけどクベの攻撃もね
[00:28:03] 4つもできるからねうん4つでテイク
[00:28:06] ダウンとかもできるけどでもうん俺はね
[00:28:10] ここズバリえ鈴木色の慶王勝ち予想にして
[00:28:15] おきます1ラウンドやっぱ2ラウンド2
[00:28:19] ラウンドテイクダウンも防いでいって
[00:28:21] 手詰まりになってきてクベル攻撃がえ
[00:28:24] ロープとかコーナー背負うようになって
[00:28:26] そこでえボディとか交えてストレート1発
[00:28:30] で失神形勝ち予想かなうんでね
[00:28:34] クレベルコイケ
[00:28:39] を負けはないとか言うけどそんなことない
[00:28:42] からもう何人もそれこそ見たことあるあの
[00:28:46] 撃たれ強いって言っててえねケ負けする
[00:28:49] 選手をで鈴木千のパンチなんか当たったら
[00:28:52] いやちみに撃たれずと思ってるよクベル池
[00:28:54] と平本ねそれもちろんそこ否定してるわけ
[00:28:56] じゃないけど倒れるからなんかへんみたい
[00:28:58] に言うやなんかみんなクレル攻撃はそんな
[00:29:00] ことない鈴木のパンチをもにもらったら
[00:29:02] 意識借りとらえるからうんで俺は今回は
[00:29:06] 鈴木郎が全部持っていくと思ううんなんか
[00:29:10] ね工業このカード自体が正直ちょっと大晦
[00:29:12] にしたら弱いけど鈴吉がえ慶王勝ちで
[00:29:16] すごい慶王勝ちを見していい大晦かだった
[00:29:19] いい2024年だったってみんなを満足
[00:29:22] させてくれる最高の大会でもやっぱ最高が
[00:29:25] 一番大事じゃん最後閉めてくれると思う
[00:29:27] けど俺鈴木がうん勝てると思うやけど
[00:29:32] な勝てると思うやけどまでもとにかくね俺
[00:29:34] が鈴木千川だったらもも単純ま前に行く
[00:29:38] ことが重要もこれ全車そうなんやけど
[00:29:40] 何よりもロープ背負わないロープコーナー
[00:29:43] を背負わないように戦う絶対それと思う
[00:29:46] その意識でいいと思うでクレベルコイケば
[00:29:48] えちゃんと打撃と組み技もれるししっかり
[00:29:52] なパンチとかを軽く見せてロープ際に
[00:29:55] 追い詰めててくのいいから斎藤戦とかも
[00:29:56] そうでもうほぼ全部したそこが普通のやつ
[00:29:59] と違う超一流というか一流のタックルって
[00:30:03] 感じするそタックル自体はそんなすごく
[00:30:04] ないんやけどちゃんとパンチ見せてロープ
[00:30:07] ギア追い詰めてから入るから鈴木千戦も
[00:30:09] そうだったしなんかそうさせない鈴木千が
[00:30:12] ロープギアとか背負わんかったロープを
[00:30:14] 背負わんかったらいけると思うよ俺はうん
[00:30:17] 危ないとしたらチクじゃないかな三角とか
[00:30:20] 十字の対策はさすがにしてくると思うしし
[00:30:24] てきてほしいちゃんとましてきても上回っ
[00:30:26] てくるのがクベル攻撃やしそういうのが
[00:30:28] 必殺技って言けど対策してもでも俺はそこ
[00:30:31] は難しい気がする鈴木色頭いいし正太造
[00:30:34] おるしそこは防ぐけどチクだけちょっと
[00:30:36] 危ないと思う低ダン防いでえ後ろ向いた
[00:30:39] ところにえチクだけ危ないと思うけど収支
[00:30:42] 俺鈴木色ペースになってえ2ラウンド
[00:30:44] ぐらいに敬できると思いますはい最後閉め
[00:30:47] てくれ鈴木ちろうん鈴木ちろだったら本当
[00:30:49] 世界でもなんかやっていけそうな感じする
[00:30:51] しなんかねうん頼りになるわ鈴木郎はこう
[00:30:55] いう試合でもなんかねなんか持ってるとか
[00:30:58] よく言われるけどまもちろんね実力があっ
[00:31:00] てのことなんやけど実力があるしこういう
[00:31:03] ねえ今ちょっと雷人厳しいだっって思った
[00:31:06] カードは全然組めんかったはずやし厳しい
[00:31:08] 工業やけど最後鈴木がKOOで閉めて
[00:31:11] くれるそんな男のような気がしますはい
[00:31:14] そんな感じかな今日はえ長々と今日も2
[00:31:17] 時間ぐらい喋った
[00:31:19] なうんこんな長いやつもおらんじゃないか
[00:31:22] なオープニングファイト喋ったりとか番
[00:31:24] 喋ったりとかうん今後もえ俺は全試やり
[00:31:28] ますからMMAの試合ははいキックの試合
[00:31:29] はやらんかもしれんけど全試合やるしえ
[00:31:32] 大晦かもえね第1試合から番外1の第1試
[00:31:37] から解説配信1日心込めてやりますので
[00:31:40] はいえ今年もね本当俺も飛躍したし頑張っ
[00:31:43] たけどえ最後本当最高の形で俺も閉めたい
[00:31:48] と思うし誰にもできない唯一無理のえ解説
[00:31:50] 配信大晦か届けようと思ってるので皆さん
[00:31:53] そちらもぜひご覧くださいはいジビ
[00:31:55] チャンネルとラジはセットなのではいで
[00:31:57] 終わった後え感想動画もきちんとあげてえ
[00:32:00] はいあげようと思っておりますはい今日は
[00:32:03] ありがとうございましまた大とかてかその
[00:32:05] 前にさきさんと1回最終なんかやろうと
[00:32:07] 思ってるけどはい雷人のなんか見所解説
[00:32:10] みたいなやろうと思ってますけどはいでも
[00:32:12] 大晦か皆さんジビチャンネル来てください
[00:32:14] 終わりますご視聴ありがとうございました
