[00:00:02] 皆さん、こんにちは。MMA言語課挑戦中
[00:27:31] ま、そこをやるかどうかちょっとわかん
[00:27:34] ないですけどね。うん。ま、そこでの日本
[00:27:37] 人の潰し合いはうん。僕からすると、ま、
[00:27:41] あんま見たくはないんですけど、
[00:27:46] ま、でもなんか本当そういうカードも受け
[00:27:48] なきゃいけなくなるような状況にはなっ
[00:27:51] ちゃいましたよね。うん。ま、とにかく
[00:27:58] ま、本当にうん。残念。うん。な負けでし
[00:28:03] たね。まあ、でもこれはね。うん。
[00:28:07] ま、これがUSってことですよね。うん。
[00:28:10] まあ、同じ大会で、え、ベラトールから
[00:28:14] 期待されて乗り込んでいったアーロンピコ
[00:28:16] 選手がああいうショッキングな負け方をし
[00:28:18] たりとかっていうのもそうすけど、他団体
[00:28:20] で活躍してた選手が乗り込んでいっても
[00:28:23] 勝たしてくれない。うん。で、結局USC
[00:28:27] の上位にいる選手ほとんど早めにUFCに
[00:28:30] 来てUFCで揉まれて揉まれて強くなって
[00:28:33] 選手たちがやっぱり上に行くんだなって
[00:28:35] いう。まあ、そういう
[00:28:39] 場所なんでしょうね。うん。
[00:28:41] ま、か選手もこの2連敗で何かね、こう
[00:28:47] いい経験にしてこれを糧に、ま、こっから
[00:28:51] 生い上がってって欲しいですし、ま、
[00:28:54] おそらく、う、ちょっと上に登れるような
[00:28:58] 相手を用意してもらえる可能性ちょっと僕
[00:29:00] 厳しくなったと思うんす。とはいえ、
[00:29:01] じゃあノーランカー相手に、え、2連勝
[00:29:04] あり、3連勝ってすれば当然ランカー当て
[00:29:06] なきゃいけなくなってくるし。うん。ま、
[00:29:10] 結局やることは一緒なんすよね。あ、その
[00:29:12] 負けたら負けたで、え、悪かったところを
[00:29:15] 改善して次の試合どんな相手を用意されて
[00:29:18] もちゃんと勝つっていううん。っていう
[00:29:21] ことをやってくしかないんだと思いますね
[00:29:24] 。はい。ま、そんな感じですかね。え、
[00:29:27] 今日はこんな感じで終わりたいと思います
[00:29:29] 。ではでは、
[00:29:33] MMAクイズスタンディングバックで
[00:29:37] 2
[00:29:38] オンワと変フックを作り、シングルバックの形で引き込み、相手が振り向こうとしたタイミングで三角締めをセットし、最後は相手の右肘を伸ばしてバーを決めた。
[00:29:55] この試合は誰と誰の試合?
[00:29:59] 高評価、チャンネル登録よろしくね。
