[00:00:00] 行きます。スーパー。ハロハロ。
[00:20:24] そう、そう、そう。それをなんであ、さ、俺大沢さんと
[00:20:27] 1回もコラボしたことないんよ。
[00:20:28] あ、お願いしたらいいじゃないですか。
[00:20:30] やってくれるかな?大沢さん
[00:20:31] やってくれるでしょ。
[00:20:32] 大沢さんいいっすかね?今度
[00:20:33] YouTube
[00:20:34] 力入れようとしてましたよ。こ今こまた。
[00:20:35] あ、ちょうど一緒や。
[00:20:37] はい。
[00:20:37] 俺も力入れようと入れようと思って。
[00:20:39] はい。まジ、まジやったらいいじゃないですか。そ、その辺の組み合わせで
[00:20:41] 40代みんなで力合わして。
[00:20:43] あ、力合わしていきましょう。
[00:20:45] そう父で叔父で
[00:20:47] 青き深夜とはもうねやんないでしょうけど。ま、他
[00:20:49] 青きシとやる。
[00:20:51] いや、僕はやりていですよ。
[00:20:52] お、見たいね。これまただって言っとったもん。喧嘩してる時
[00:20:55] 全員とコラボして全員から文句をこう引き出したいて言っとた。
[00:21:00] 明日やります。
[00:21:00] あ、川じさん明日。
[00:21:02] はい。僕もでもこの問題ずっといつもでもネチネ言いたくないんで、明日でラストにしようと思って、あの、川じさんでもちゃんと
[00:21:07] 聞きたいを。
[00:21:08] じゃ、俺は今日でもうラストね。
[00:21:10] はい。
[00:21:10] もう今日でこれ終わり。
[00:21:12] マジすか?
[00:21:12] うん。ほんまにみんないっぱい言われるから。
[00:21:14] バレンさんとのじゃあ撮影の時絶対触れないですね、これ。
[00:21:17] そんな触れるはずなんや。
[00:21:18] 絶対です。
[00:21:19] そ、終わった話そんな
[00:21:20] 僕あの、そのチャンネル見ますからね。バレさん側のチャンネルも。それはもう話終わったからって。じゃあ
[00:21:26] そうや。そ、言、見ますからね。
[00:21:28] バレさ5
[00:21:29] 月中旬のえよ。言ってくれてええよ。
[00:21:31] はい。
[00:21:31] 見てくれてええよ。
[00:21:32] 言わないんですよ。そのことに言
[00:21:33] 言わないよ。
[00:21:34] もう話終わってるから。
[00:21:35] 週の週旬の寝て俺昨日動画あげたら
[00:21:37] X
[00:21:38] で今時このタイミングで出すのはほんまにセンスなさすぎるみたいな。はい。もうすでに遅すぎるって。
[00:21:43] 時代と共と共に取り残されたとこみたいな。ふざけん。お前俺明しとったんやて。
[00:21:48] テンション高いですね。じゃあ行きましょう。
[00:21:50] 行きます。じゃあこれね全部がちょっとね難しいところなんでこれまずちょっと
[00:21:54] はい。あの、雨山選手と平本城選手。
[00:21:57] ああ、これでも興味深い。
[00:21:59] この試合ね。
[00:21:59] はい。
[00:22:00] ちょっとどう思ってるかなっていうので。
[00:22:02] はい。
[00:22:03] この雨山選手結構強いよ。
[00:22:06] めっちゃ強いっすよ。関西すよね。
[00:22:08] うん。これパンクラス大阪かな?違うよ。
[00:22:10] 田舎組
[00:22:11] 違。違うっすよ。前で後ろのジムすよ。
[00:22:13] ああ、そう。あ、そ、そっちか。なんか俺さっき試合見て
[00:22:16] はい。
[00:22:17] で、それでなんかい、パンクラスって言ってたから俺てっきり田舎た思った。
[00:22:21] 多分前出後ろさんのジムと思う。
[00:22:24] でもなんかちょっと動き似てるもん。ちょっと手下げてこのフットワークみたいなちょっと吉郎さんと似てるかなっていうので。うん。
[00:22:30] ま、この選手選手に負けてる。
[00:22:33] 富沢選手。
[00:22:35] あ、ちゃうわ、ちゃうわ。ごめん、ごめん。これ平本
[00:22:39] まあまあまだ平本選手、
[00:22:40] あんまいじりすぎないようにする。
[00:22:42] ま、ま、ま、今のノかノか。
[00:22:43] はい。
[00:22:44] で、平本選手選手は前回と富、
[00:22:47] 富沢選手に富沢様に負けてるわけです。
[00:22:49] で、今回は復帰戦で
[00:22:51] あの人良かったですけどね。
[00:22:52] うん。
[00:22:52] え、今回これ雨山選手グラディエーターで
[00:22:56] はい。
[00:22:56] 過去2試合してんね。
[00:22:57] そう、そう、そう、そう、そう。知ってますよ。
[00:22:59] うん。それで平本選手がえっと買ってるやったっけ?買ってんねん。じゃあ負けてちょ。これもこれな何かけた?これパソコンのこの表がな、こう誰が誰が見えへん。
[00:23:12] 左フックで負けしてます。
[00:23:13] そうなんですよね。
[00:23:14] はい。
[00:23:14] で、これ今回ちょっとどうですか?復帰戦。
[00:23:18] 僕雨、雨山が勝つたと思います。
[00:23:19] ああ、
[00:23:20] 多分ね、フィジカルが違うっすよ。
[00:23:22] うん。
[00:23:22] 平城は今何歳ですか?
[00:23:24] 平本選手はね、今
[00:23:26] 23歳。
[00:23:27] うん。
[00:23:28] なんかまだね、体が出来上がったような感じするんですよね。
[00:23:30] でもこの対戦相手の選手
[00:23:34] はい。
[00:23:35] はい。ち、た、これ間違えてた。
[00:23:38] え、
[00:23:39] 平選手22歳
[00:23:41] で、山選手は
[00:23:42] が23歳。
[00:23:43] あ、山選手もそこまで若いんや。
[00:23:45] めっちゃ若いね。
[00:23:46] いい選手すよ。うん。
[00:23:48] 動きがめっちゃだから何の一撃
[00:23:50] KOママシーンって言われてんねん。
[00:23:52] うん。
[00:23:53] 全部KOややもんな。1覧。
[00:23:54] あ、そうすか。全部KO王すか。
[00:23:55] うん。な、なんか買ってる試
[00:23:56] 大人でも負けてますよね。でも
[00:23:57] 買ってる試合はでも1ラウンドKO
[00:23:59] がちらしいね。
[00:24:01] へえ。全部KO1
[00:24:02] ラウンド買ってる試合はすげえ。
[00:24:04] うん。ああ。だ、これパンクラスとかあ、ディープか。ディープでもね、この選手も結構強いや。名前なんで読む?
[00:24:11] ど、どれですか?アダニア。
[00:24:14] この前ノックアウト出てましたね。
[00:24:15] うん。に買ってるから
[00:24:17] はい。
[00:24:18] 俺もちなみにこれはもう雨山選手が
[00:24:20] はい。
[00:24:21] 勝つかなと思う。
[00:24:22] 平本城はお兄ちゃんと違って正直武器がないっすよね。今現在は
[00:24:27] だから打撃が飛び抜けて
[00:24:29] うん。
[00:24:30] 今日強いってわけでもないし。
[00:24:31] パンチもあんま感じないんですよ。見てて
[00:24:34] 殺傷能力を
[00:24:35] パワーが違うと思う。雨山と雨山はすごいもん。パンチ
[00:24:38] 全く見たことないでしょうけど。
[00:24:40] あるよ。試合YouTubeで見たよ。
[00:24:41] どの試合ですか?
[00:24:44] あの、この、この試合や。太選手の試合。太、
[00:24:49] 太選手マジで見たんですか?
[00:24:52] 見たよ。
[00:24:52] ディープ大阪大会ですか?
[00:24:54] そう。太選手パンチであのタイツ選手を
[00:24:57] ダウンさして選手がタックルくんね。で、それを切ってほ、最後倒すっていう。
[00:25:02] はい。へえ。
[00:25:03] ちゃんと見てますから。はい。はい。はい。
[00:25:06] なるほど。
[00:25:06] もう大体ね、各闘技も全部の試合なんかもう正直見られへんや。
[00:25:10] 雨山対富沢は見ました?ちゃんと。
[00:25:13] 何?
[00:25:14] 富沢との試合は雨山選手が
[00:25:16] そんな試合してる?
[00:25:18] いや、さっき言ってた。
[00:25:19] いや、そんなしてないよ。それは平本選手や。
[00:25:23] あ、なんか変なこれ
[00:25:26] 本気で間違えたのかわざとこっちに振ってきてるんかどっちかわか
[00:25:28] え。わざとでしょ。わざとっすよ。
[00:25:30] ま、ほんまにドランかなってんだ。
[00:25:31] 最近平野城があのことなのに富沢選手と山がやってるみたいなこと言ってたんで。それわざと言ってみた。
[00:25:37] なんかね、今日ね、なんかもうちょっと最初入りからグダグダやわ、これ。
[00:25:42] グダグダじゃないと思う。ほんまに
[00:25:44] 別に全然大丈夫な。こんなこう風邪気味の声みたいなして風んですけど
[00:25:49] な。
[00:25:50] はい。じゃ、行きましょう。
[00:25:51] じゃ、行きましょう。じゃ、これはア山選手の一応勝利予想というさせてもらいましょう。
[00:25:55] これでも再戦で負けたら本ん当格付けになるんすけどね。
[00:25:58] ああ、
[00:25:59] 平本からさ、負けたら結構きつくないですか?雨山以下っていう
[00:26:03] 山には勝てないみたいな。もう3
[00:26:05] 度目はなかなかないでしょ。
[00:26:06] ま、3度目はない。
[00:26:06] だからもうこれが最初で最後みたいになると思うよ。
[00:26:09] でも成長具によってはもちろんわかんないですけどね。
[00:26:11] うん。でも雨山選手強いよ。強い。これはもう俺は
[00:26:15] 2人がやっぱ言うから
[00:26:16] はい。めっちゃ強いと思。
[00:26:17] うん。もうま、勝負からわからんけどね。
[00:26:19] じゃ、次行きましょう。次、ジョリー選手と
[00:26:22] こだ選手。はい。はい。はい。
[00:26:23] これちょっとま、今盛り上がってるわけやん。ちょっと注目浴びてるというか。
[00:26:27] まあ、X
[00:26:27] とかでなんかね、喧嘩したりとか会見でもなんかやって。
[00:26:31] うん。なんか顔なんか印刷してきたやつやったりとか。
[00:26:33] この試合に関してはどう思いますか?
[00:26:35] 僕だ検身とは組んだことあるんですよ。
[00:26:37] え、そうなん?
[00:26:38] はい。
[00:26:39] これ言っていいんですか?それは
[00:26:40] いいっすよ。3ヶ月ぐらい前かな?3
[00:26:42] ヶ月前
[00:26:42] どこで
[00:26:43] 僕の絆ベース準備なんか1回来てくれて
[00:26:45] あ、そうなの?
[00:26:46] はい。やったんすよね。で、結構パワーあったっすよ。
[00:26:49] あ、パワーあんの?
[00:26:50] うん。結構パワーあってキックボックだーと思えないようなパワーあったっすけどね。
[00:26:53] 今回でもMMA初めてにしたやろ。
[00:26:55] はい。
[00:26:56] どんだけ準備してきてるかよね。だから
[00:26:58] うん。
[00:26:58] ま、ま、準備したって言っても
[00:27:00] MMA時間かかるからね。
[00:27:01] そうっすね。
[00:27:02] でもジョリーってレスリングがめっちゃ強いわけじゃないじゃないですか。
[00:27:06] うん。うん。
[00:27:07] レスラー系にはもうやっぱキックボックスは誰であろうがデビュー戦でレスラー系はきついと思うんですよ。
[00:27:11] きつい。
[00:27:12] でもテイクダウン能力はそんなにないから、ま、全然ありえるんじゃないかなと思うんすけどね。
[00:27:16] ああ。で、俺はこれはもうジョリー選手がもう
[00:27:19] 9ぐらいで勝つかなて。91はいはい。
[00:27:23] うん。
[00:27:23] かなもな。もう1割ぐらいしか小だ選手
[00:27:26] 勝つの厳しいかなって。なんかもう
[00:27:28] 足沢に決めた腕十字は本当見事でしたもんね。
[00:27:31] あれはね、芦澤決められる気持ちも分かるわ。
[00:27:35] あのうまさ。
[00:27:35] うん。いや、あれめっちゃあれ同じことしろって言われてもなかなか難しいやん。
[00:27:39] なんか流れるようにやったよ
[00:27:40] ね。ね。あれめっちゃうまかったし。
[00:27:41] だってあのあの肩をなんか練習してるかのような方やん。片あしてる。
[00:27:46] そりそうでしょ。
[00:27:47] 何度もやってるコとかね。あれいきなり初めてやった技と思ったんすか?
[00:27:52] いやわからん。覚えてないけど。片はめなんかカニアバみたい入ってなんかそんなそういう感じ
[00:27:57] さになってすぐ腕十字行ってましたね。
[00:27:59] いや、でもあれはね、初見の選手に対しては初見っていうか、ま、食らっちゃうよね。うん。うん。
[00:28:04] 僕もでもリーかな、やっぱり。
[00:28:06] うん。これは俺は悩むことはないな。
[00:28:10] うん。
[00:28:11] 元々だってずっと総合も試合してるやん。あ、マチュアも出てるし。
[00:28:14] そうですね。でも相性的には悪くはないと思う。子供だからしたら。
[00:28:18] それなんでな。あ、でもやっぱ
[00:28:20] ででどっちかっていうと、あ、ま、元々ストライカーと思うんすよ。もり全部できるんでしょうけど。で、レスリングはそこまで強くないから。
[00:28:26] うん。ああ。
[00:28:27] だから下からの対応とかできたら、あの足感とか腕十字とか、ま、勝てる可能性もあるかなと思うけど、もう、ま、ジョリー有利でしょ。
[00:28:35] あ、そもそもテクできんかったらきついけどね。
[00:28:37] うん。じゃあこれはもうジョリー選手の勝利ということで
[00:28:40] はい。
[00:28:40] じゃ、次行きます。
[00:28:42] 次。
[00:28:42] 大キライトイヤー選手。
[00:28:44] vs梅野選手。
[00:28:45] 大キライトイヤって練習したことあるんすか?
[00:28:47] 俺練習組んだことはないね。
[00:28:49] へえ。
[00:28:51] なんか最近ちょっとシュートで足海する状態で
[00:28:54] 神戸で練習してるんですかね?
[00:28:56] 神戸ね。うん。なんかすごいめっちゃえ
[00:29:00] ね。
[00:29:00] 僕あの鎌山ことって面識ありますよね。
[00:29:03] もちろん。もちろん。
[00:29:04] はい。僕の先輩でめっちゃ仲いいんですけどうん。うん。
[00:29:07] が引退試合で負けてるんですよ。
[00:29:09] KO負けで。
[00:29:11] あ、大キライトイア選手が倒してるってこと?
[00:29:13] はい。
[00:29:13] ああ。
[00:29:14] え、それ覚えてないですか?
[00:29:16] その試合?
[00:29:17] はい。
[00:29:17] カ選手の引退試合。
[00:29:18] はい。
[00:29:19] いや、もうちょっと忘れてもうたな。
[00:29:21] それ神戸大会
[00:29:22] ああ、覚えてる、覚えてる?
[00:29:24] 覚えてないと思う。
[00:29:24] 覚えてる、覚えてる、覚えてる。今言われて思い出した。
[00:29:27] はい。
[00:29:28] ああ、だからそこで勝利してもんな。
[00:29:30] それで膝全てで断列かなんかしと構いです。あのパンチでもらったんですけど、変な倒れ方しちゃってあ。
[00:29:36] うん。
[00:29:37] その印象がすごい強いけど、加藤健二とかともやってますよね。
[00:29:39] うん。
[00:29:40] だから来人はだから2021
[00:29:41] 年その亀やさんとの試合以来のちゃうその前か金太郎選手か。金太郎選手負けて。
[00:29:46] あ、金太郎選手負けてますよね。
[00:29:48] 判定すよね。
[00:29:49] 判定で負けてるね、これ。で、今回
[00:29:51] 3回目の来人やねん。
[00:29:53] う
[00:29:54] ん。
[00:29:54] 打撃はね、結構強いんですけどね。前回の試合でどうやって負けてるんかな?シュート。
[00:29:59] これね、シュート。
[00:30:00] 川北選手長い方にも負けてんのか。うん。
[00:30:03] だからなんかこの試合終わった時にはなんかちょっと映像みたいなんは見てるけどその時その時の瞬で
[00:30:09] はい。
[00:30:10] ちょっと俺も忘れてしまってるとこあるから。
[00:30:12] はい。
[00:30:12] でも梅の選手も今回ね、前回芦澤選手
[00:30:17] そうすね。
[00:30:18] 倒して結構技術的も見してるわけやんか。
[00:30:20] 梅野はMMA
[00:30:22] ファイターになってきてますよね。
[00:30:23] うん。やっぱ練習しっかりしてると思う。
[00:30:25] 下から三角とか思まし、俺
[00:30:27] 1本勝ちもありえると思うな。梅の
[00:30:30] いや、俺それはないと思うな。
[00:30:33] うん。下からうまい。三角とか
[00:30:35] いや、大嫌いといや選手にそれは多分やっ組に関してはやっぱ強せへんと思うで。うん。いや、でも俺決めてもおかしくないぐらい技うまいと思って。別
[00:30:45] それがもし決めるんであれば俺ほんまに梅野選手ごめんなさいで謝るわ。
[00:30:50] いやいや、ほんまにだ想像をはかに超えるだけのや実力だと思
[00:30:54] うでももちろん相手が足だったけど下から三角とかめっちゃうまいなと思ったんすよね。
[00:30:59] 厚沢選手やから振ってきたんじゃない?
[00:31:01] うわ、半払いで言ってるやん。
[00:31:02] いやいやいやいやほんまにそんもん
[00:31:04] まあまあねまこれどこまで通用するかわかんないですけど確かにこれで決められんといてくれと思った大嫌とイアにも大嫌とイヤー選手は海の選手にもし負け決められるようなことがあったらそれはもう
[00:31:15] はい。
[00:31:16] もうそこはもうごめんなさいって感じ。
[00:31:18] そうですね。でも上取っても梅の相手に
[00:31:21] ヒとか怖いと思わないですか?
[00:31:23] うん。いや、グランドコントロールは俺ぜ大ライトギア選手がもう全然
[00:31:29] こんな敵いるから、え、でも嫌と思わないですけど。も、肘とかあの梅の相手にであとタックル入ったりするのも肘とかもあ、膝もあるしツ撲押されたりとかも色々やっぱ嫌な相手ですけど梅のって。
[00:31:41] うん。確かにそのやっぱスタンドの肘がこうなんか染み込まれてるから寝技の時でも常になんかそういう発想になってそうもんな。はい。
[00:31:49] うん。でも組んでしまったらもう大嫌ライトイヤ選手が
[00:31:53] でも僕大ライトイヤの組みを見たことないです。自分から行くのってあるんすか?
[00:31:57] いや、ちょっと分からへん
[00:32:01] ですよね。
[00:32:02] うん。
[00:32:03] 俺も見たことないんでどの程度できるかがわかんないですよ。ま、打撃は結構強いのは知ってるんですけど。
[00:32:07] うん。
[00:32:07] いや、でも組はでもやっぱ総合の選手やからしたら組も絶対やってる。
[00:32:11] でも2連敗してますからね。
[00:32:13] うん。
[00:32:14] ま、2連敗してるけど
[00:32:15] 僕運命の方がまずえ、これ大嫌とイアですか?
[00:32:18] 俺は大嫌とイギア
[00:32:19] 僕梅
[00:32:19] かな?うん。
[00:32:21] はい。
[00:32:21] こう分別れましたね。うん。
[00:32:23] 梅野がいける気がする。
[00:32:24] うん。打撃切でしっかり切ったら梅の選手やと思う。い
[00:32:27] やし取ってもなかなか難しいんじゃないかな。
[00:32:31] でもこれこれそリングやね。
[00:32:35] 53円。
[00:32:36] そうすね。
[00:32:36] うん。ナンバーシリーズ。うん。あ、で、ま、これこれ、
[00:32:39] ま、分からん。もちろん。全然わからんけど、大嫌いといや、もうでもここで普段の寝技の
[00:32:44] うん。
[00:32:44] 練習とかが見せれないとね。
[00:32:46] ああ。ま、でも
[00:32:47] 普段は劇が好きなんでしょうけど。
[00:32:49] でも寝技もそっちなくずっとできんだよ。
[00:32:51] 俺なんかあのな、昔のなんか試合とか見てて
[00:32:54] そういう記憶があんねん。
[00:32:55] はい。
[00:32:55] はい。
[00:32:56] 記憶があんね。
[00:32:56] はい。ま、
[00:32:59] MM
[00:32:59] ファイターなやってるんでしょうけどね。さんもね。
[00:33:01] 言えてもシュートでベルトも取ってるしな。
[00:33:04] じゃあ次行きましょう。
[00:33:05] はい。次は松島小選手と香川選手。
[00:33:09] はい。
[00:33:09] これ香原選手は謎のみんなからした謎の選手ですけど結構強い。
[00:33:14] 河原選手昨日ここに来たんすよ。
[00:33:16] あ、そうや。なんでなんあれ、
[00:33:19] このTシャツを来てくれました。
[00:33:20] ちょ、びっくりしてなんでそんなアンディに来たん?
[00:33:22] 来てくれたんすよ。
[00:33:23] あ、これ託してるわ。俺な
[00:33:25] んぜって?
[00:33:26] え?
[00:33:27] 何?なぜ決託してるって?
[00:33:29] じゃ、言葉いてるか。
[00:33:31] はい。
[00:33:32] なんね、なんかくつくこと託ってな言葉何やったっけ?
[00:33:35] くっつくことな。何やったっけ?ちょっと待ってね。俺多分こと間違えてんね。
[00:33:41] はい。
[00:33:41] 決託じゃないわ。そん、決託ってやるよ。
[00:33:45] 決託してるってどういう意味なんすか?
[00:33:47] 互いに心通じ合い結してことを行うこと。うん。まあ、ま、そういうことでしょうね。
[00:33:54] それを言いたいですか?
[00:33:55] それをだからこうちょっとこう打ちで仲良くなってこれ相手の松島小山選手にプレッシャーかけてるみたいな
[00:34:03] 決託してるの言葉の使い方絶対違うと意味意味わからんしま良くなりましたけど昨日ま決
[00:34:11] なんかなんかじゃそんな言葉があったはずや忘れたまええわ
[00:34:14] うん
[00:34:15] えどうあってみてハロ選手
[00:34:19] めっちゃ強そうだったてかねっけんす
[00:34:22] あ、そうなん。
[00:34:23] なんかね、ズマガジに似てる。
[00:34:25] ああ、
[00:34:25] 雰囲気あって
[00:34:27] で、僕聞いたんですよ。自信あるかどうか。ま、それ自信あるって言うんでしょうけど、ま、一応聞いてみたんですけどすごい受信持ってて、え、どういうファイトか知ってます?
[00:34:34] いや、知ってる。あの、打が強くてもう
[00:34:36] 組み技もしっかりできて、上からパウンドもしっかりできる。
[00:34:39] だから打撃が基本ベース
[00:34:41] はい。
[00:34:42] の選手。
[00:34:42] で、僕聞いたんすけど、あの、どういうファイトしてるかな?マネージャーも来てたんで、
[00:34:47] ま、ま、打撃が得意やけど結局チョークが
[00:34:51] 1番武器なんですって。
[00:34:53] あ、そうなん。
[00:34:53] で、そ、打撃得意ではあるけど、で、ま、持ち込んでチョークで決める試合が多くて
[00:34:58] あ、でもギロちンチョークめっちゃ多い。
[00:34:59] それが武器らしいっす。チョーク系の技。
[00:35:02] ああ、そうな。言っちゃっていいんですか?
[00:35:03] はい。いいでしょ。別に
[00:35:04] 言うちゃっていいんすか?
[00:35:05] はい。
[00:35:06] でもね、これね、なんかこの
[00:35:08] YouTube
[00:35:08] とかもこう何回か出てんねん。
[00:35:10] なんか
[00:35:11] 見てそれで打撃を教えてる。
[00:35:13] うん。
[00:35:14] なんかそういう動画も上がっとったから、ま、打撃が得意なっていう印象。
[00:35:18] だからジョビンチャンネル出たいって言ってくれたんですよ。
[00:35:20] え、マジで?
[00:35:21] でもタイミング合わなかったんすよ。
[00:35:22] ああ、いや、これでも通訳もしなあかん。
[00:35:25] いや、で、通訳もセットで出てくれるって言ってたんですよ。あ、マジで?
[00:35:28] はい。
[00:35:29] ちょっと試合をやりたいけど、試合後はすぐ帰っちゃうって言ったんですよね。
[00:35:32] ま、でもタイミングあったらどっかでかわろめっちゃ魅力あるんすよ。イケメンやし。い
[00:35:36] や、いたかったな。
[00:35:37] うん。
[00:35:38] これ、これ相当俺は強いと思ってんな。
[00:35:40] 強いっすよ。でもただ、ま、松嶋小が強いすからね。あ
[00:35:43] あ、これ松嶋選手などうやろ?
[00:35:47] どうかな。
[00:35:50] これ難しいな。松嶋選手もな、ちょっと今足踏みしてるような印象があるんで。
[00:35:54] うん。正直前の方が強かったような印象があるんすけどね。
[00:35:57] ああ、トップブライツで負けたやんか。ダウド選手。
[00:36:00] あ、そうね。
[00:36:01] で、その後試合買って、これなんかグラジエーターチャンネ何これ?
[00:36:07] うちちゃチャリチャレンチャレンジャーちゃチャレンチャレンジャー。
[00:36:13] うん。グラディエーター出てるや。俺知らんか。
[00:36:15] なんかなんかちょっとわからへん。それ
[00:36:17] はい。
[00:36:17] やって以来の試合やからあとはノックアウトにも試合出てるやん。あ
[00:36:20] あ、そう。ノックアウトで試合見た。
[00:36:22] テイクダウンしまくって。はい。
[00:36:23] はい。
[00:36:24] ま、だからノックアウトのあの試合でテイクダウンをいっぱいかつっていうのは、ま、想定できるわけやん。
[00:36:30] はい。松島選手ぐらいの実力があれば
[00:36:33] 今回これ難しいよな。
[00:36:35] どうかな。ま、未知数な部分あるっすからね。
[00:36:38] これは今回香原選手かな。
[00:36:42] マジっすか?
[00:36:43] 河原選手なんかやっぱこの得たの知れない得たは知れてんねんけどなんか見込みでちょっと強い。
[00:36:50] 僕ね、正直そんな映像見たわけじゃないんですけど
[00:36:53] 変わろと思う。
[00:36:54] 変わろ。
[00:36:55] ここに来たかとか関係なくなんかね、すいません。もうただのイメージでしかないんですけど。
[00:36:59] うん。
[00:36:59] 松島小って運が悪いイメージがあるんですよ。
[00:37:02] ああ、はいはい。
[00:37:03] なんかそんなイメージありません。
[00:37:04] なんかそうポイントでちょっとなんか違うところに
[00:37:07] うん。
[00:37:07] 行ったりとか
[00:37:08] でなんかこういう試合で負けちゃうような気がする。だから久人参戦で
[00:37:12] ああだから強いけどこう勝ったり負けたりの結構繰り返してるや。
[00:37:16] うん。強いんやけど。
[00:37:18] いやい。めちゃくちゃ強いやんな。
[00:37:19] めちゃくちゃ全部できるけど。
[00:37:21] だって松島小選手があんまり来人のファンの人が知ってない時期に
[00:37:25] はい。
[00:37:26] 格闘技業界には松島っていう強いおるねんでっていう感じの選手やったやんか。
[00:37:30] そう。うん。スピードがカの選手のがあるんじゃないかな。
[00:37:33] ああ。
[00:37:35] うん。パワーって感じますしま。これ僕のイメージとしては
[00:37:37] うん。ま、だから打撃で結構制圧しそうな感じもするよな。カファ原選手は。
[00:37:42] そうっすね。
[00:37:44] 組んだらどうやろうな。松嶋選手のがまあ
[00:37:46] そうすね。組んで決めるのは難しい気がするな。カバロもう
[00:37:50] でも打撃のスピードの違いでいやわからんな。松島も強いもんな。
[00:37:54] 実際自分が試合するってやったら松島小結構嫌じゃない?
[00:37:57] 嫌っすよ。全部できるし嫌な相
[00:37:59] なくできるから。
[00:38:01] まあまあそうやね。これはうん。カファロ選手の勝利。
[00:38:06] うん。僕も僕はKOカバロ
[00:38:09] なんかすごい言い流れな気がする。なんか今すごい人気出てるじゃないですか。
[00:38:12] どっちが
[00:38:13] カバロ。
[00:38:13] あ、そうなん。
[00:38:14] めっちゃ出てます。SNS
[00:38:14] めっちゃ頑張ってて。え、知らないですか?
[00:38:16] 知らん。
[00:38:17] ワンもた武尊の応援に行ってて。
[00:38:19] うん。
[00:38:19] ただのなんか日本人日本の格闘ゲファンに媚びてるかなと思いきやた尊の大ファンで実際にた尊るの
[00:38:25] T
[00:38:26] シャツで来て入場とかやってたんですよ、過去に。
[00:38:27] え、マジで?
[00:38:28] はい。そんなんもあってすごい交換持たれてて
[00:38:30] これ日本日本のファンの心を掴んでる。
[00:38:33] そうそうなんすよ。
[00:38:33] うん。
[00:38:34] めっちゃそうやってファンのファンの心掴んで。
[00:38:36] そう、そう、そう、そう、そう。この店来てくれたも嬉しかったしんで僕と変わろう。
[00:38:40] やっぱ託ってやっぱ合ってるんちゃう?
[00:38:42] 決託してる。いや、なんか使い方絶対違うと思うな。
[00:38:45] いや、みんなってちょっと、ま、間違いてるけど合ってるよ。
[00:38:49] まあ、まあまあ、決託ってなんか松島小読みをはめようとしてるみたいな感じします。
[00:38:57] 2
[00:38:57] 人で力合わして
[00:38:58] 俺託なんか言葉ほんまにこの数年使ったこと記憶ないん
[00:39:02] ですよね。
[00:39:02] なんで今日託って言葉が出たんや
[00:39:04] けうん。
[00:39:06] なんか最近なんかその弁護士系の
[00:39:09] なんかヤザ系のドラマとか見てんねん。
[00:39:11] はいはいはい。
[00:39:12] それでなんか決受けやすいですからね。け
[00:39:14] 受けたな。うん。
[00:39:17] じゃあ、じゃ、これは、ま、あの、香川選手の勝利ということで一応予想で
[00:39:21] はい。はい。
[00:39:22] じゃ、次行きましょう。次はボ選手とパトリック。
[00:39:26] はい。
[00:39:27] この試合ですよ。うん。
[00:39:28] うん。
[00:39:29] この試合はもうストライカー同士の対決。
[00:39:31] 絶対パトリックって言うんでしょうけど。
[00:39:33] いや、ほらちゃんと俺ちゃんと言うよ。
[00:39:35] うん。絶対パトリックってね、練習してるから言うんでしょうけど。忖度で
[00:39:38] どうですかね?いや、忖度じゃないよ。俺はもうお父さんとも仲いいから絶対それはもう間違いない。関係ない。
[00:39:43] いや、もうこれはもう昭に関しては忖度なしやから
[00:39:47] こさんと結果聞いたら忖度かなしって分かるよ。
[00:39:50] はい。ど
[00:39:51] 僕は
[00:39:52] うん。
[00:39:53] あー、結局微妙な試合になってうさミの判定がち
[00:39:59] ああ、判定。
[00:40:00] はい。
[00:40:01] これ試合は俺判定に行かんと思う。
[00:40:05] ま、俺も、ま、言うけど、ま、パトリック
[00:40:09] うん。ま、
[00:40:09] 1ラウンドけよ。
[00:40:11] 勝利
[00:40:12] でもつも行かなくないすか?
[00:40:14] いや、今回行くんちゃう?
[00:40:16] いや、でも今回入ってると思うぞ。さすがに。
[00:40:17] そんでヤンボ選手も行くと思うよ。
[00:40:20] ヤンボー選手確かにボー選手が行くから噛み合うかもしれないですね。
[00:40:24] うん。だからボー選手行くと思うから。ただこれね、ヤンボ選手のやっぱリーチ長いからそこちょっと気になるかなって感じかな。はい。
[00:40:30] うん。
[00:40:31] 中に入ってしまえばって感じやけど。
[00:40:33] ま、でもKO
[00:40:33] もできそうな気がするな。うさミが。うミが
[00:40:35] KO
[00:40:35] 負けはやっぱちょっと想像できない。でも膝蹴りだったらありえるんじゃないかと思うけど。
[00:40:40] うん。
[00:40:41] 天夜選手を決めて、あの、仕た
[00:40:43] はい。だ、だからボ選手がやっぱ勝利するんであれば
[00:40:48] 2
[00:40:48] ラウンドで行こうとかなってくんちゃう?
[00:40:49] うん。房選手ってテイクダウン行くんすかね?見たことないんですけど、僕が見た中では。
[00:40:53] いや、俺も試合何度か見てるけどうん。打撃
[00:40:57] ね
[00:40:58] ばっかりやな。
[00:40:58] うん。だから来的にやっぱうさミすよね。
[00:41:01] さすがに打撃で
[00:41:02] うん。
[00:41:03] 慶王負けは考えづらいし
[00:41:05] でも行けんと思う。
[00:41:06] ま、でも宇からは行かんと思うけど、さ、下が噛み合って異性にはなるかもしれないですね。
