[00:00:02] はい。え、5月10日に行われるライジン
[00:26:01] それにどう思いますか?
[00:26:02] 多分そんなに彼試合やる時はそんなに問題ないなと思いますね。もう今が欲側練習に戻ったし最初がね打でだけでやるからね。
[00:26:12] だからもう1番最初がMMA
[00:26:14] にるからちょっとがあ、どうしようなと思ったけど、今ボクシングルールから似てる。ボクシングルールだからだからもうそんなに問題ないなと思います。
[00:26:23] 大丈夫じゃないかと。絶好長の平本レガ来るんじゃないかと。打撃がもう長いでやってるからね。
[00:26:30] はい。
[00:26:30] それでは今の話を踏まえて勝敗予想お決ししましょう。よ一斉にどうぞ。
[00:26:37] お選手が3ラウンド平本選手のKO王。
[00:26:43] お鈴木選手はドロー。
[00:26:48] あ、五藤選手もドロー
[00:26:53] もう1ラウンドKO王
[00:26:55] 平選手ですね。
[00:26:57] 今回選手から
[00:26:59] はい
[00:27:00] 解説お願いします。
[00:27:01] はい。
[00:27:01] ドロー。
[00:27:02] ドローです。もう
[00:27:03] 判定はないですかね。反転になったらドロー。
[00:27:05] 反転ドローという、ま、ボクシングも上手だけど、目的にはやっぱ蹴りの強さあってのパンチだったの。なんで
[00:27:11] K1では、
[00:27:12] あの、かなりこうきつい系も見てるので、
[00:27:15] で、その中で浩司選手は行っちゃえば耐えたらドローじゃないですかっていう。だからこうぐっと耐えてしっかりガードしてね、品カミアンのパンチも耐え切った男のうん。
[00:27:25] 確かに。
[00:27:25] うん。だからそこのタフマンコンテストっていうんですか。はい。
[00:27:30] ぐっとこの身構まえる状態をやられたら
[00:27:33] 浩司選手が
[00:27:34] はい。
[00:27:34] うん。さすがの平本選手ももう
[00:27:36] ただ煽られてこのぶち切れてたらわからないですけどね。
[00:27:39] はい。ああ、なるほど。ありがとうございます。では五藤選手お願いします。ドロー
[00:27:43] 判定ないんで。
[00:27:44] また一緒っすね。
[00:27:46] 違う。
[00:27:48] あれ梅の選手とも山北シングスタンディングバウト。
[00:27:54] はい。
[00:27:54] はい。
[00:27:55] 倒してましたね。
[00:27:56] そうですね。
[00:27:56] あれの倒さないバージョンとか
[00:27:58] あ、
[00:27:59] ま、ずっと打撃当てて
[00:28:01] 慶王には至らないけど一方的に
[00:28:05] 平選手が当てて
[00:28:06] 終わる
[00:28:07] で内容的には平選手が
[00:28:09] はい。
[00:28:10] 圧勝だけど倒すことはできないみたいな
[00:28:12] はい。
[00:28:12] 感じですかと思います。
[00:28:14] おお。では佐藤選手お願いします。
[00:28:17] 3ラウンドK。
[00:28:19] はい。
[00:28:20] 平本がイスピードと投選手がもう強いし、えっとでも工事がえっとよく我慢でできるとやられてもあまりが倒れないからだからすぐではないなと思います。だからもう大体が梅の選手やった時はえっと
[00:28:34] 3ラウンドで
[00:28:36] ちょっとポンチができてからだからもイメージが大体が同じぐらいなと思いますね。
[00:28:40] ああ、なるほど。海の線のイメージで
[00:28:41] はい。
[00:28:42] ああ、
[00:28:43] でも魚時チャンスがあるけどもうでももうどれもチャンスがあるなと思いますね。
[00:28:50] がね、横がディフェンスと我慢ができるからね、難しいですよね。でも
[00:28:55] ちょっと平本が
[00:28:57] 3ラウンドけ王ができるなと思います。
[00:28:58] お
[00:29:00] うん。
[00:29:00] なるほど。ありがとうございます。僕はもうこれはこうハードル上げるっていうかもう、
[00:29:07] ま、1年9
[00:29:08] ヶ月、ま、ま、本人はね、怪我で大変だったと思うんですけど、待ったんでファンは
[00:29:13] もうここはしっかりその強くなった平本連を見せてほしいなっていう。うん。うん。うん。
[00:29:18] こう倒れない男浩司選手を、ま、
[00:29:21] 1
[00:29:21] ラウンドでぶっ倒してほしいなって感じですね。期待も込めてですね。
[00:29:24] うん。確かに
[00:29:25] 幻想が欲しいです。
[00:29:26] あ、
[00:29:26] この2
[00:29:27] 年間分の待った分のうん。今回も実演技術解説をお願いしたいと思います。鈴木選手には浩司選手ならこう戦う、僕が平本選手ならこう戦うっていうのを解説していきたいと思います。はい。では僕が平本選手ならこう戦うという実演をします。
[00:29:46] どっちもできますもんね。ま、
[00:29:47] 両方やります。
[00:29:48] こうやるからもう連打じゃないですか。ま、ま、まあまあ。
[00:29:51] ガードのとこはもうボディすよね。ボディ。ガード硬いんで下攻めて最終的にはパンチを当ててケオです。はい。え、鈴木選手お願いします。浩司選手ならどう戦うか。
[00:30:04] まずやられないというこうしっかりと顎を食い縛ってはあってやると思うんでで来るタイミングで詰めてもう頭の位置と顎上げないでボディとまフック打つんでしょうね。
[00:30:18] というこうなんやられないようにそのポジションをしっかりキープするんじゃないかなと思います。
[00:30:23] なるほど。平本レ
[00:30:24] vs
[00:30:25] 工事予想は難しいですが是非本番をお楽しみください。続いてのカードはメイベント来人ライト級タイトルマッチです。急遽の王者挑戦ながら選手から大座を奪った野本選手が初の防衛戦に挑みます。
[00:30:45] 挑戦者は来人初費から参戦して
[00:30:47] 2
[00:30:47] 度目の王者挑戦を迎えるグスタボ選手。両者との対戦経験のあるサト選手。それぞれの印象を
[00:30:55] 2
[00:30:55] 人ともやった時は
[00:30:57] 1
[00:30:57] 回で勝て1回で負けでも2
[00:30:58] 人ともがちょっと試合早いからね。
[00:31:01] ああ、そうですよね。発だ。
[00:31:03] でも本当にはもう面白いね。2人ともが
[00:31:05] 攻めるくるからね。なから面白いなと思いますね。のモが元が膝とキが使ってるし。
[00:31:18] 白いなと思いますね。はい。
[00:31:20] なんか2
[00:31:21] 人ともこうリングでた迎え合ったじゃないですか。
[00:31:24] その印象とかあります。やっぱグスタポの方がプレッシャー強いとかいやの字目危険な似てる。はい。同じぐらいなと思います。だからもう
[00:31:33] 面白いカツが難しいけども面白いの試合なと思いますですね。
[00:31:38] ストライカーだと思うんけど、ま、立出身の鈴木選手は両者の大どう見てますか?
[00:31:44] どっちも
[00:31:45] はい。
[00:31:45] ブラックアウトして終わるイメージは湧きます。
[00:31:48] おお。
[00:31:49] どっちも湧きます。だから
[00:31:51] どっちの勝ちもありえる。
[00:31:52] どっちの毛勝ちもありえます。
[00:31:54] おお。
[00:31:55] の字目のイメージ。もう今ねイメージが強いですけどやっぱチもの目ある。
[00:31:59] はい。どっちかというとこのシャープなこのなんだろう。
[00:32:02] はい。
[00:32:02] ボクシングというか、ちょっと、ま、ロシアンボクシングのトレーニングして、で、ただあの、ま、膝もそうだし、このロングレンジの前蹴りていうで、えっと、グスタボ選手はどっちかっていうとクラウチングでこう戦うので当たるイメージももちろんあるっていう。
[00:32:17] うん。
[00:32:18] 五藤選手はどうでしょう?このストライカー同士の戦いですけど、組み技とかどうすか?
[00:32:23] なんかそこはまだあの尻も選手見えないところもまだあるんで。
[00:32:29] 組のところてよりも別の観点でこう
[00:32:33] のモフ選手のなんだろうがこう大きくなってるというかも
[00:32:37] 超すごくマックス今
[00:32:39] すごいはいとんでもなく強いみたいな
[00:32:41] はい
[00:32:41] 状態の中でグスタボ選手もこないだの大君との試合で
[00:32:45] 結構覚醒した感じ
[00:32:47] うん
[00:32:48] 感じたんですよとやっぱスタイルもちょっとグスタボ選手変わってる
[00:32:52] ええ
[00:32:53] 印象が
[00:32:54] どういう感じですか?
[00:32:55] 前は結構ラウンド始まってすぐ
[00:32:57] 距離取っ
[00:32:58] こう相手がプレッシャーかけてきた時にちょっと下がったりする場面もあったんですけど
[00:33:03] 結構プレッシャーかなり大君との試合の時もかけたりしてて
[00:33:07] ああ言ってましたね。
[00:33:09] はい。覚醒したグスタボがどう戦ってくのかみたいなところは
[00:33:15] ちょっと楽しみだなタイ
[00:33:16] なるほどありがとうございます。では今の話を踏まえて勝敗予想いきましょう。伊勢どうぞ。
[00:33:22] はい。
[00:33:24] おお、グスタボの
[00:33:27] 1から2ラウンドでTKO
[00:33:29] サ選手、鈴木選手も
[00:33:32] グスタボ
[00:33:33] おんな
[00:33:34] で2ラウンドKO五藤選手はノジモフの
[00:33:37] 1ラKO王
[00:33:40] 僕もグスタボの1ランドKO王ですね。
[00:33:43] うん。
[00:33:45] え、今回選手からお願いします。
[00:33:48] そうですね。私のイメージが1ラウンドか
[00:33:50] 2
[00:33:50] ラウンドがだけはちょっと分からないからね。でも私のイメージがちょっとグスタブ
[00:33:54] TK
[00:33:55] を勝つなと思います。ともね、しりが最初がプレッシャーが強いからね。そのタイミングでグスターブがポンチが当たってうん。
[00:34:03] うん。
[00:34:03] の島も蓋をしてその後にでもまだ生きてるけどそれからもなんかグスタブがもっとポンチ当たるからそれ勝つなと思いますですね。はい。
[00:34:11] はい。じゃ、グスタボのパンチの方が先に当たって
[00:34:15] のモが、ま、ダウンしてみたいなダメージ溜まってみたいな。
[00:34:18] 長いの試合がグスタブもう見たことあるけど
[00:34:21] のモフはもうまだ本当にわからないの。全分の試合がもうすぐ慌てるし。
[00:34:26] 雷来人では結構短時間が多い。
[00:34:29] この試合がグスタフ持ったチャンスあるなと思いますね。はい。
[00:34:32] あ、仮に佐藤選手の予想が当たるとするじゃないですか。実は王者はグスタボになるじゃないですか。
[00:34:39] うん。実はどっちと戦いたいんですか?
[00:34:42] モフ。
[00:34:42] お、
[00:34:43] ベルトじゃない?
[00:34:44] そう、ベルトじゃない。それその次はもうベルト私のもちろんがベルトが日本に戻ってほしいだけど
[00:34:51] でもとりあえずがね、リベンジが
[00:34:55] まだそのことが自分の心があるからね。はい。
[00:34:58] じゃあ理想としては野モフがチャンピオンのまま里選手が挑戦してベルトとリベンジ同時に一緒にやるのが
[00:35:05] 1番いい。うん。はい。
[00:35:06] あ、なるほど。
[00:35:07] ベルトなくても問題ないね。
[00:35:09] だけがやりたいですよね。本当に。でも
[00:35:12] 本当にあれですよね。悔しいっていうか。
[00:35:15] うん。そう。何も見せないから。それで
[00:35:16] 1番悲しい。
[00:35:17] ありがとうございます。鈴木選手お願いします。
[00:35:20] はい。あのロングレンジのま、前蹴りもしくはそれこそ膝蹴り当たっちゃえば
[00:35:26] もうそれこそ1ラウンドでね、K
[00:35:28] がちする可能性もすごいあるし、それを買いくぐって言わえるこのパンチを当てたら、ま、グスタボ選手が勝つんじゃないかっていう
[00:35:37] 感覚なんですけど。1
[00:35:39] 回このボケと無になって考えてみたにそっちの絵が頭に浮かんだのでこうしたんですけど
[00:35:44] ボロゲと
[00:35:45] はい。おぼげと
[00:35:47] 見えてきたんです。
[00:35:49] この2ラウンドKOっていう
[00:35:51] ま、願望としてはそれこそ野島不選手に買ってもらってんか
[00:35:56] で彼がリベンジするところを見たいっていうの
[00:35:58] ベルトとリベンジを同時にってことですね。
[00:36:00] そうです。
[00:36:01] なで、ま、本当にこの一緒にやってる仲間、ま、セコンドとして勝負でしか返せないものってあるので、それはやっぱりあのタイトルでやって欲しいっていうのが
[00:36:10] ああ、ま、それ一番いいですよね。最高のシチュエーション
[00:36:13] 願望です。
[00:36:14] お藤選手、お願いします。1
[00:36:16] ラウンド。そう、
[00:36:17] KO、選手の、
[00:36:18] 選手は
[00:36:20] はい。
[00:36:21] 考える時間があるかどうかだと思ってて、その島フ選手ってこうクリエイティブというか打撃の引き出しがすごくて、
[00:36:30] いろんな膝だ。だったり、
[00:36:31] 前蹴りだったりあるんですけど、こうやる時に
[00:36:34] はい。1
[00:36:35] 回こう見合う場というか、
[00:36:36] ええ、
[00:36:37] こう考える時間ができて
[00:36:39] はい。
[00:36:40] そこであ、今当たるって言って前切り蹴って当たったりとか
[00:36:44] そういうこう考える時間
[00:36:46] ま、みたいなのが
[00:36:47] あるなと思っててはい。なんでグスタボ選手が
[00:36:51] その考える隙も与えず最初からもうガンガン行ってうん。
[00:36:56] 行けばそれができれば
[00:36:57] はい。
[00:36:58] フィニッシュして逆にグスタボ選手が
[00:37:00] KOで勝つと思うし、
[00:37:02] ただそこでちょっとでもこうプレッシャー感じて
[00:37:06] グスタボ選手が行けなかってこう見合う場面があった時に野島本選手の
[00:37:12] はい。
[00:37:13] なんかパンチなり膝なりそういう攻撃で
[00:37:15] はい。
[00:37:16] KOみたいな感じかなと思って。
[00:37:18] うん。
[00:37:19] じゃ、今回は見ちゃうんじゃないかとグスタボが
[00:37:22] そうですね。
[00:37:22] タイトルマッチでこう失敗できないみたいなプレッシャーだったり、こう大
[00:37:27] O1
[00:37:28] 番の中でちょっとこう見合う場面ができるんじゃないかっていうような予想ですね。うん。桜戦は結構行きましたね。
[00:37:35] もうガンガン行ってたんで。
[00:37:36] ああいう感じで行けば
[00:37:38] はい。
[00:37:38] グスタボが勝つ可能性もあるしと思います。
[00:37:41] ただああやって行けずに見ちゃうと野島選手に勝ちが傾くみたいな。
[00:37:46] はい。
[00:37:46] おお。
[00:37:48] だけど僕はそのイメージであの桜場大戦みたいに
[00:37:52] うん。グスタボが行ってグスタボがち
[00:37:55] 1
[00:37:55] 早いうちにでなんか慣れてくると対応しそうだけどガンガン最初行っちゃうとアわあわしてにもらっちゃうかなみたいな。
[00:38:05] なんでこう1
[00:38:05] ラウンド系って書いてるんですけど
[00:38:07] その圧勝とかじゃなくて本当にその
[00:38:10] はい。
[00:38:10] うん。
[00:38:11] ちょっとしたもので結果は変わると思います。
[00:38:13] あ、そのちょっとしたこの目の反応とか距離感とかで
[00:38:17] はい。
[00:38:18] で、本当こ行け行けるか行けないかみたいな細かいところでのモフがバンって倒すと
[00:38:24] お
[00:38:25] 今回も実演技術解説をお願いしたいと思います。鈴木選手には野本選手ならこう戦う、そして佐藤選手にはグスタポ選手ならこう戦うというのを解説していただきたいと思います。え、それでは鈴木選手からの野島選手ならこう戦うという実演をお願いします。
[00:38:42] はい。
[00:38:42] タイトルマッチだからって確じっくりこうガード固めてみる勝負になると多分いろんなこの動きの中で何を誘そうかなって考えながらそれこそこういうこと入れたりねやったりとか
[00:38:56] 色々あると思います。そういう意味では悩んでる最中にフェイントくさんのフェイントかけながら隙を見つけたら前蹴りをやるんじゃないかなと。ま、前蹴切りないし多分いろんな技を用意してると思うんで。
[00:39:08] はい。うん。
[00:39:08] では続いてサト選手、グスタボ選手ならこう戦うという実演お願いします。
[00:39:13] やっぱりがガンガンに来るからこだけこのタイミングがね、彼が欲が
[00:39:20] オベンドが
[00:39:22] なんか
[00:39:23] これも欲が
[00:39:24] やってるからね。はい。出すからそれで
[00:39:27] 勝つなと思います。
[00:39:28] ありがとうございます。え、実力者同士の来人ライト級タイトルマッチお楽しみに。
[00:39:39] え、ライジンフ3ここまで4
[00:39:42] 試合の勝敗予想を行いましたが、皆さん他に気になるカードあってしますか?佐藤選手どうでしょう?
[00:39:48] はい、もうまたライト球ですね。私の階級がよが見てますからね。えっと、うさミとえっとんポがね。はい。この試合も面白いですよね。
[00:39:57] ストライカー対決。
[00:39:58] そう。はい。2
[00:39:58] 人ともストライカーですよね。はい。
[00:40:00] はい。めちゃくちゃ楽しみ。
[00:40:02] じゃ、鈴木選手どうですか?
[00:40:03] 僕も、ま、同じ階級なんですけど、松嶋小選手とライアンカファロ選手が
[00:40:09] 気になります。
[00:40:09] あ、松島、どうですか?同じフェザー級でね、え、来ジ
[00:40:14] 3戦ですけど、
[00:40:16] かなり強い選手ですし
[00:40:18] そうですね。もうずっと強い強いっていう、ま、もちろんワンでね、試合してるのも見てるんですけど、なんかすごい強い選手なんですけど、この相手のライアンカファロ選手が、ま、よくこの
[00:40:27] SNSで
[00:40:29] 最近すごいよく出てくる。頑で、しかも
[00:40:32] 日本語でこうなんなら技術解説もしながらこのあ、めちゃめちゃこう告知というかこの逆にこうやって気にさせられたというか。
[00:40:40] そう。あ、ちょっと嬉しいすよね。日本語で
[00:40:43] なんか色々アピールしてくれるとね。
[00:40:45] うん。多分いい人なんだろうなっていうのすごい伝わりますけど。
[00:40:48] なるほど。
[00:40:49] 五藤選手は
[00:40:50] 自分も同じ階級なんすけど、あの大キライトイヤー選手
[00:40:56] と梅選手。
[00:40:57] 梅選手。
[00:40:58] 梅選手。
[00:40:59] 梅選手はうん。ま、今までちょっと同じストライカー出身の
[00:41:05] MMA
[00:41:06] ファイターとやってきて、これ初めてこの本当の
[00:41:09] MMA
[00:41:09] ファイターに挑戦みたいな感じなんですけど、
[00:41:12] これどう見ます?はい。大キライトイヤ選手って自分対戦したことあるんですけど、昔シュート、シュートでシュートでええ、
[00:41:19] 本当にオールラウンダーって感じです。
[00:41:20] そうですよね。全部できて、ま、カ太平洋チャンピオンとかですよね。シュートのはい。
[00:41:24] はい。組の展開とかでどういう
[00:41:26] あ
[00:41:26] 感じになるのかなっていうのと元々その梅の選手とかあのラジャ
[00:41:31] 取った時とかすごいリスペクトしてて
[00:41:34] はい
[00:41:35] うわすごいなこんな無隊すごい選手いるんだてないってたら気づいたら面白て
[00:41:43] すごいよねそういう扱いしていい選手はないよみたいな
[00:41:46] はいもうすごい医業を成し遂げてる選手
[00:41:48] 日本無隊大会の司法に対していうはい本当に新しい梅の宣言な
[00:41:54] 新しい世界を来人が開拓しちゃいましたね。
[00:41:57] はい。なったんでもう
[00:41:58] それを本人も楽しんでますからね。多分
[00:42:00] ちょっと楽しんでますよね。
[00:42:01] 楽しみですね。
[00:42:02] 確かに無営隊MMA
[00:42:04] をこのオールランダーの大キライトイヤー選手どう見せんのかね
[00:42:09] 注目ですね。そんなわけで今回も全カード見逃せません。え、来人
[00:42:14] 53
[00:42:15] はユネクストで全試合ライブ配信いたしますので是非お見逃しの内容をお願いいたします。
[00:42:22] ユネトでペパービューを購入すると
[00:42:25] 5名に出場選手の
[00:42:27] 3
[00:42:27] 位入りポスターが当たります。さて、最後になりましたがゲストの皆さんから改めてファンの方々へお願いします。佐藤選手お願いします。皆さんいつも応援してくれてから本当にありがとうね。また今年がまだ頑張りますね。
[00:42:46] まだそのもちろんがレベンジがしたいけどもう私の興味がまだベルトがね、絶対日本に戻りたいです。また今年が頑張りましょう。はい。ありがとうございます。鈴木選手お願いします。
[00:42:57] はい。え、この来人
[00:42:59] 53神戸大会ですね。あの
[00:43:02] G
[00:43:02] ライオンアリーナでこのやる大会、あの僕も見に行きたいと思ってるんで、一緒にこの大会楽しみましょう。
[00:43:10] ありがとうございます。では五藤選手お願いします。
[00:43:13] 最近めちゃくちゃ悔しいあの結果になって、あの本当に悔しい思いしたんすけど、ま、必ずあのみんなが思ってる以上にあの強くなって帰ってきたいと思ってるんで、引き続き応援お願いします。
[00:43:27] それでは皆さん本日はありがとうございました。
[00:43:29] ありがとうございました。
[00:43:30] はい。え、これからも
[00:43:32] U
[00:43:32] ネクストで格闘技をお楽しみください。ありがとうございました。
[00:43:37] よし。
