[00:00:01] ハロハロどうもジョビンですこの
[00:27:11] ラブシュミスラブって書いてるラブが入っ
[00:27:14] ていいの名前にファイターがラブって
[00:27:18] シュミ
[00:27:19] ラブコバル
[00:27:21] チェクコバルチェクちょっとこれもくで
[00:27:24] いいか
[00:27:26] なくでいいかなコバルチェクまコバル
[00:27:29] チェクだたらまだ覚えやすいかコバル
[00:27:30] チェクは食じゃなくてコバルチェクで
[00:27:32] 行こうでこの試合なんですけどま俺
[00:27:35] とりあえず上田きはもう大好きまこれ
[00:27:37] みんなそうと思うけど上田きはね大晦かな
[00:27:40] 試合でまちょっと相手の試合後
[00:27:42] インタビューとかがおかしかったっていう
[00:27:44] のもあってより人気出たよねもう人間的に
[00:27:48] 素晴らしいもんマジでも
[00:27:50] パーフェクトうんなんかめっちゃ頼りに
[00:27:53] なるよね俺インスタであのブレイキング
[00:27:56] ダウンの会場行くのあのネタじゃなくて
[00:27:59] ちょっとビビっててちょっとなんか
[00:28:01] チンピラとかに声かけられてなんかねあの
[00:28:05] なんかやるかみたいな感じで言われたら
[00:28:07] これどうしようかなと思っててねまビビっ
[00:28:09] てるっていうかねそんなん言われたらも
[00:28:12] どうしていいかわからんかそのストリート
[00:28:14] だったらお前に勝てるぜみたいなことをね
[00:28:16] わけわからんやつに言われたらもうどうし
[00:28:19] たらいいんかと思ってちょっと行けづらい
[00:28:21] なと思っててでインスタでそうそうイン
[00:28:23] スタのストーリーにですねブレイキング
[00:28:25] ダウンの会場に行くから神染めに来た会場
[00:28:27] でかられてもこっちはボンズを味方につけ
[00:28:29] てるから人安心それでもガンガン来るよう
[00:28:32] ならその場で上田きに電話するから俺仲
[00:28:35] いいからないつでも呼べるなめんなよって
[00:28:37] いう投稿したんですけどそしたらもう上田
[00:28:40] 君からもうすぐねDMが来て上田君とイン
[00:28:42] スタ繋がってるから電話待ってますってき
[00:28:44] てあの俺が上田君を読んでも頭悪すぎて
[00:28:47] それでもガンガン来るかもしれんけどその
[00:28:49] 時は大山マタさんも喧嘩売ってきたら
[00:28:52] 伸ばしてしまいって言ってたから2人で
[00:28:54] 戦おうなって送ったらおすってきてでもう
[00:28:56] マジ頼りになるかマジで来てくれると思う
[00:28:59] しな上きだったらマジで安心やなんかあっ
[00:29:03] てもいやマジで俺試合前でも来ると思うよ
[00:29:06] 優しいから絶対助けに来てくれると俺が
[00:29:09] なんかって電話したらませえへんけど上田
[00:29:12] 君ちょっと助けに来て今ちんぴらに絡まれ
[00:29:14] てボコボコにされてってつったら今今すぐ
[00:29:17] 行けますって言って住所教えてくださいて
[00:29:19] マジで来てくれると思う優しいもん頼りに
[00:29:22] なる本当に俺が女だったら上田右を好きに
[00:29:26] なるねこういうの彼氏にしてマジ頼りに
[00:29:29] なるしなんか命がけで守ってくれそう
[00:29:31] なんか俺やっぱちょっとメンヘラのとこ
[00:29:33] あるからあのなんか落ち込んだ日の夜とか
[00:29:36] 不安になった夜って上田きと一緒に寝たい
[00:29:39] 夜とかあるもんね寝たいってそう変な意味
[00:29:41] じゃないよそういうなんかそう勘違がさる
[00:29:43] のちょっといいやけどそのねあの変な意味
[00:29:46] じゃないんやけど上田きに腕枕してもらっ
[00:29:49] て寝れたら多分すっごい安心すると思う
[00:29:53] なんか不安なことあって大丈夫だよね
[00:29:56] みたいなことを腕枕してもらってる時上
[00:29:58] のきに言ってうん大丈夫だよって頭撫ぜて
[00:30:01] もらったら多分涙出るねなんか安心して涙
[00:30:04] 出てもう30秒後には俺もう睡眠深い眠り
[00:30:07] についてると思う何の話これ大丈夫かな
[00:30:11] これ恥ずかしいななんかこんでこれを
[00:30:13] YouTubeに投稿すると思ったらでも
[00:30:15] マジで冗談抜きで上でなんか不安になった
[00:30:18] 時とかうんなんかね嫌なことがあった日は
[00:30:22] 上上田みきおと寝たいなうんそいねして
[00:30:26] もらいたいすぐ寝れる腕枕してもらいたい
[00:30:29] そんな日がたまにあります本当に変な意味
[00:30:31] じゃないんではいでです
[00:30:33] ね何を言ってるんやろこれこれ動画に残し
[00:30:38] たくない
[00:30:39] なでマジ頼りになる例えばこれもうねあの
[00:30:46] のっこん寺とかになもうもうこれ雷人の話
[00:30:50] でのこテラだの話したくないけどもう
[00:30:53] なんか助けに来てくださいてもあれも
[00:30:54] でかいから頼りになるから普通やっぱでか
[00:30:56] いってすごいよねセキュリティとかも強さ
[00:30:59] とか必要ないもんでかいってだけでその
[00:31:01] セキュリティの仕事をねの役に担うって
[00:31:05] いうかノコテとか読んだらね来てくれるか
[00:31:08] もしれんけど多分ちんぴらとのね事件が
[00:31:11] 解決したらはい交通費じゃあ1万くれとか
[00:31:15] 言って多分言われると思うし帰りの
[00:31:18] タクシー代もさらに1万要求されそうやし
[00:31:21] リーチマイルドの分も出せみたいなあと
[00:31:23] この辺で宿泊するとかどんどん金を
[00:31:26] 釣り上げられて金取れそうな気がするうん
[00:31:29] のこ寺読んでもうたら上田だったらそう
[00:31:32] いう金を取ろうていうのも100%ないよ
[00:31:35] ねうんはいじゃあ勝敗予想行きましょうえ
[00:31:41] 勝敗予想なんですけど上田みきおとこの
[00:31:45] うんこいつラブちゃんでいいかシミラブ
[00:31:49] ラブちゃんうんこれね上田きが負けると
[00:31:53] 思えんかったんやけどその試合が決まった
[00:31:55] 時点で勝てるやつおるわけないと思った
[00:31:57] けどラブちゃんも結構危ない
[00:32:00] よ上田みきおちゃんがこれちょっと心配
[00:32:04] ラブちゃん結構強いうんラブちゃんのね
[00:32:09] ちょかこれラブちゃんのプロフィールも
[00:32:10] おもろかったんや俺そういえばラブちゃん
[00:32:13] ねあの方眼投げやってて学生時代にであの
[00:32:17] え幼少期から体格に恵まれており教師の
[00:32:21] すめで12歳から6年間はえ陸上の砲投げ
[00:32:26] とハンドボールを経験いずれもポーランド
[00:32:29] 国内大会で学校の代表として出場したって
[00:32:31] 書いて
[00:32:33] て
[00:32:34] あの学校の代表
[00:32:38] ってしぼすぎ
[00:32:40] やろもうちょっと
[00:32:43] もれポーランド国内大会に学校の代表とし
[00:32:47] て出場したせめて週とかやろ日本で言っ
[00:32:52] たら何々県何々県の代表だったら分かる
[00:32:55] けど学校の代表って
[00:32:59] 何にごる砲投おそらくポーランドでも人口
[00:33:03] 少ないやろそれ何人おる学校
[00:33:08] に学校の代表ってこれもう正直に言いすぎ
[00:33:13] やろラブちゃん俺もうバレへんよ
[00:33:16] ポーランドの代表とか言ったってせめて週
[00:33:18] のポーランドの地域の代表としてやろ学校
[00:33:22] ってこういう時はねあのラブちゃんねあの
[00:33:25] 距離種目でポーランド代表みたいこと言っ
[00:33:28] ちゃっていいと思うようんバレへんから
[00:33:30] ポーランドの記録俺みたいなこのネチネチ
[00:33:33] してる印出のやつでも調べようがないラブ
[00:33:35] ちゃんのポーランドの方眼投げの記録とか
[00:33:37] をうんだからもうバレんから次回から短
[00:33:41] 距離種目であの方眼投げの記録持ってる
[00:33:44] みたいなこと言ったらええんちゃうラブ
[00:33:45] ちゃん正直やな可愛いなそういうとこもで
[00:33:48] えラブちゃんがですね結構前にガンガン
[00:33:53] 来るんよなま普通にえでも上田きに勝とう
[00:33:57] と思ったらガンガン行くしかないと思う
[00:33:59] 中間距離で戦ったら蹴りでうんしなやかな
[00:34:02] 蹴りでどんどん上田のペースになって
[00:34:04] しまうから入るしかないと思う入っても
[00:34:06] 厳しいと思うけどでラブちゃんは入れる
[00:34:10] うんラブちゃんは入れるからちょっと怖い
[00:34:14] うんだから上田側に立ったらもう1
[00:34:16] ラウンドは本当様子で前蹴りとかね
[00:34:19] いろんな蹴りで多な蹴りで距離取って戦っ
[00:34:22] た方がいいと思うけどやっぱね上きもあの
[00:34:24] あれから成長してると思うんやけどスダ戦
[00:34:26] から正直チはちょっとひやっとするなって
[00:34:29] なんかねもらったら聞きそうななんか避け
[00:34:31] 方とかしてんのよねうんこれちょっとなん
[00:34:33] でそう思うかってちょっと伝えづらいけど
[00:34:35] までもそっからもうさらにパップしてると
[00:34:37] は思うんやけどうんラブちゃんパンチ力
[00:34:39] あるしちょっとそこだけ怖いな最初ガンガ
[00:34:42] 突っ込まれた時にうん冷静にいなして
[00:34:45] 少なくとも1ラウンドしいたらもうだいぶ
[00:34:47] 上田選手のペースと思うけどうんね
[00:34:51] ちょっとまここはでも上田選手がKOで
[00:34:54] 勝つ可能性が高いと思あとねそうラブ
[00:34:56] ちゃんねみものよ充実大会で何だったっけ
[00:34:59] ブラジリアン柔術でもアブダビコンバット
[00:35:01] ポーランド杯BJJ中級+100km級で
[00:35:06] 100km上級で優勝するんだとってそう
[00:35:09] 充実もできるテークダウンもちゃんとして
[00:35:11] たのコ狩りでちょっと嫌な相手マジでこれ
[00:35:14] 勝手当たり前と思われてるから余計に
[00:35:16] きついと思うけどまあでもね上田き組み技
[00:35:21] もできるでしょうしここはね上田強が敬王
[00:35:26] で勝つでしょう
[00:35:28] うん1ラウンドだけちょっと怖いけど2
[00:35:30] ラウンドうん蹴り
[00:35:33] でうんどうかなまたハキックで形する気が
[00:35:36] するけどハイキックで上で右をのはい形
[00:35:41] 勝ち勝利予想にしておきます上田手頑張っ
[00:35:44] てください終わったらあの腕枕1回だけで
[00:35:46] いいんでちょっと昼寝とかでもいいんで
[00:35:48] ちょっとお願いしますはいでは次行きます
[00:35:52] あもうあと2試合え第8試合レベル小池V
[00:35:57] 不安アーチレッタ
[00:36:00] うんこの試合これは勝負のあるよねこれ
[00:36:04] めちゃくちゃ面白いカードうんでも俺この
[00:36:07] 試合ねめっちゃ自信があるよなこの
[00:36:10] 予想これは不安アーチレッタがうん警護士
[00:36:14] もおかしくないと思うけどま完封すると
[00:36:17] 思う判定3対0うんまもちろんねえク
[00:36:21] レベル攻撃は必殺技があるんで分からんと
[00:36:23] 思うんやけどでもうんま予想は自信あるね
[00:36:28] うんアーチレッタが普通に完封すると思し
[00:36:31] ても相性最悪と思うまずテイクダウンが
[00:36:33] 難しいと思うもんなかなかクレベルコイケ
[00:36:40] とかほとんどないと思うしそうあのねうん
[00:36:45] 何度もこの話してるけどミックスにも買っ
[00:36:47] てるからね過去とはいえうん誰とやっても
[00:36:50] なんか決められそうな気合もないしでまず
[00:36:53] テイクダウンできんと思うしなでパンチも
[00:36:56] うんもち軽量オーバーとか色々あったけど
[00:36:59] 朝倉会にめっちゃ熱てたしな
[00:37:02] うん最後までは打撃全然熱てたもんなも
[00:37:05] タックルあきの話やけどうんでアーチ
[00:37:08] レッタは格闘技IQも高そうやしそんな
[00:37:12] バカなことやらんと思うしなまテクだいく
[00:37:15] かもしれんけどどうなんかな戦略は
[00:37:17] ちょっと分からん
[00:37:18] けどこれはレベル攻撃は厳しい試合になる
[00:37:21] と思うけどなうん結構チレパンチもらうね
[00:37:26] イメージあるんやけどクペル攻撃のパンチ
[00:37:29] も当たるかもしれんけど当たると思うけど
[00:37:32] 1発ないからうんケすんのは難しいと思う
[00:37:36] しうま肘とか膝は有効な気がするけど
[00:37:40] レベル小池の際とかも含めていやでもこれ
[00:37:45] 厳しいと思うなピットブルピットブル戦
[00:37:47] みたいになる気がするクベル湖池は光を
[00:37:50] 消されてうんアーチレッタの判定勝ちが
[00:37:53] 濃厚なんじゃないかなうんこれも1本で勝
[00:37:57] だったすごい今ねでちなみにあのクベル
[00:38:00] 小池がなんかジムを出してえこの時期に
[00:38:03] ジム出してるしそんなねあの練習環境的に
[00:38:07] も名古屋でジム出したよねさしても
[00:38:10] おそらく練習できてないし練習環境的にも
[00:38:12] これは厳しいんじゃないかみたいなこと俺
[00:38:14] は他のチャンネルで言ったんですけど格闘
[00:38:16] キャストで言ったのかな言ったけどなんか
[00:38:18] それは関係ないっぽいよねちゃんと自分の
[00:38:20] 練習に集中しててATTに出こととか言っ
[00:38:23] てるみたいでそこはごめんなさいあのはい
[00:38:25] 勉強不足でした多分そこは問題ないし
[00:38:28] ばっちり練習できてると思うんやけどいや
[00:38:31] それでも相性悪いと思うな俺ケラムフにも
[00:38:34] 相性悪いと思うクベル湖池はうんでアーチ
[00:38:38] レッターまそう階級をバンタムから
[00:38:40] フェザーにあげるんやけどうん絶対こっち
[00:38:43] の方がいいと思うやっぱりね階級下げる
[00:38:46] より上げる方が俺ねめっちゃいいと思って
[00:38:48] てうんてかもう適正やもんフェザーが俺
[00:38:51] フェザーでも軽量オーバー大丈夫かなって
[00:38:54] 心配があるフェザーにあげるから通常体重
[00:38:56] も増ししていいなみたいになってうん
[00:38:59] なんか水抜きも全然大丈夫やなっていつも
[00:39:01] の感じでやろうとして水抜きの幅をそれで
[00:39:04] オーバーっていうのも全然あると思うな
[00:39:05] アチレッタうん前回正直そんな反省してる
[00:39:09] ように見えんかったしうんここはうん
[00:39:12] フィジカル的にもバンタムから上げてきた
[00:39:14] アーチレッタやけどアーチレッタのが
[00:39:16] だいぶフィジカル上の気がするうん打撃も
[00:39:20] ね見えづらそうやしなあの組み混じてくる
[00:39:22] からうんいやこの試合はチレた硬いと思う
[00:39:25] けどなまただレベル攻撃が何らかの形で1
[00:39:28] 本勝ちしたらめちゃくちゃ盛り上がると
[00:39:30] 思うしそうなったらそうなったと面白いな
[00:39:32] と思うけどねうんあチレッタのこの
[00:39:36] フェザー級の存在面白いと思う
[00:39:38] よ
[00:39:40] うんそうあチレッタに平本レントか勝てる
[00:39:43] と思えへんもんなうんねいや超楽しみです
[00:39:48] この試合でも俺はちょっと普通にうん
[00:39:51] アーチレッタの判定勝ち予想にしておき
[00:39:53] ますはいで次行きますえ最後え第9試合
[00:39:59] 堀口教授Vセルジオペティス
[00:40:02] これねマジ2点3点して自分の中で最初に
[00:40:07] 映像とかもあんまり振りえ見直さずにあの
[00:40:12] ね細川バレンタインとのコラボで言った時
[00:40:14] はうんなんか再戦した場合どんな形であれ
[00:40:18] 1回目買った方が再戦した場合に差が開い
[00:40:22] て勝つっていうケースが多いっていう俺
[00:40:24] 本当に今までいろんな試合何百試合何千
[00:40:27] 試合も見てるかもしかしたら格闘技をで今
[00:40:31] までの経験上そういうパターンが多いの
[00:40:33] もちろん全部じゃないんやけどうん堀口対
[00:40:36] 朝倉貝とかそうじゃなかったしリベンジも
[00:40:38] あるけどでもそういうケースが多いと思う
[00:40:41] うん俺の経験所ねでうんペティなんじゃ
[00:40:46] ないかなってパっと見考えたんやけどで
[00:40:50] 昨日前日になってインスタのストーリー
[00:40:51] 載したんやけどちょっと映像見てたらうん
[00:40:55] 堀口とペティのそれぞれのやっぱこれ堀口
[00:40:58] 勝てるなとか思ったのも3ラウンドやし
[00:41:00] 日本やしホームやしリングに慣れてんのも
[00:41:03] 一応堀口と思うしうんねリングと刑事問題
[00:41:07] 俺そんな差はないと思う結局強い方が勝つ
[00:41:09] とは思うんやけどまどっちかって言ったら
[00:41:11] そのリングは堀口の方が有利になるよね
[00:41:13] 若干やけどうんで堀口かなと思ってイン
[00:41:16] スタのストーリーにねやっぱ堀口が勝つと
[00:41:18] 思って書いたんやけど昨日でも今日また
[00:41:21] 改めて色々映像見て考えに考えにいた結果
[00:41:25] セルジオペティスがと思いますもうどっち
[00:41:28] かって予想され予想しろって言われたら
[00:41:30] もうどっちがかってもおかしくないけど
[00:41:34] うんまずねいやうんセルジオペティスは
[00:41:38] こんなこと言ったら怒られそうですけど
[00:41:40] あのUFCとか本当のトップソには通用
[00:41:43] せえへんと思うなぜならレスリングは弱い
[00:41:46] もんそんなフィジカル強くないうん本当の
[00:41:49] トップソには通用せえへんと思う結構簡単
[00:41:52] にテイクダウン捉えるよね堀口線もそうや
[00:41:54] しえアーチレッタ戦とかも見たしミックス
[00:41:57] 戦も見たうん結構あっさりテクダウン
[00:42:01] 捉えるそんなフィジカル強いタイプじゃ
[00:42:02] ない
[00:42:04] うんで堀口教授とペティもう1回見たんや
[00:42:09] けど俺もっと堀口教授が途中まで圧倒し
[00:42:12] てるイメージだったんやけど今見たらそこ
[00:42:15] までさないよね堀口教買ってると思うけど
[00:42:19] うんテイクダウンしても結構あっさり立た
[00:42:22] れてしまうし別に有効なシーンそんな
[00:42:25] なかったしテイクダウンしても
[00:42:27] うん雷人だったら特にテイクダウンだけで
[00:42:30] はそんなポイントにもならん
[00:42:32] しうんねで今回ある程度研究してくると
[00:42:36] 思うしな対策もしてくると思うからいや
[00:42:39] これマジ難しいんやけどうんでも3
[00:42:43] ラウンドやもんな3ラウンドやっぱ堀口
[00:42:45] 有利と思前回4ラウンドか5ラウンド目に
[00:42:46] 負け4ラウンド目だったっけにKで負け
[00:42:49] てるけどまその同じ技はなかなか食と思う
[00:42:52] んやけどあのバックハンドブロ堀口教授側
[00:42:54] もで負けか1本負けはなかなかないと思う
[00:42:59] けどやっぱセルジオペティスが要所で
[00:43:01] 上回ってギリギリ判定で勝つんじゃないか
[00:43:04] なと思っちゃうなやっぱまず堀口教授は1
[00:43:07] 回フライ級に落としてそうそれもでかいと
[00:43:10] 思うフライ級の体を作ったと思うのうん
[00:43:14] 通常体重も若干下げてでそれでバンタムに
[00:43:17] 戻すっていうのでうんやっぱそこはペテの
[00:43:22] 方が対面で有利と思ううんペテはもう完璧
[00:43:26] にバンタムの体でで口はま上げるのは
[00:43:29] 下げるよりはいいと思ってるんやけどでも
[00:43:32] フライ級の体で絶対ねここ何年か作った
[00:43:34] はずなのにそれをバンタムにまたあげざる
[00:43:36] を得ないっていう無理やり増やすていうの
[00:43:38] でねうんねやっぱそういう面で体格差で
[00:43:43] ペテが有利と思うよ
[00:43:46] なうんねで年齢的にももう34で堀口教が
[00:43:52] まそんな最近落ちてるようには見えん
[00:43:54] けどであと1試合目1回てるっていうのも
[00:43:58] ペティにペティの方が俺有利と思う
[00:44:01] だんだんなんか見切れてたもん最後の方
[00:44:04] うんやっぱもう瞬発力が半端さないから
[00:44:06] 堀口強のスピードってうんやっぱ慣れが
[00:44:09] 必要で1試合1回やってるってでかいと
[00:44:12] 思う1試合る時点でほとんど有効では
[00:44:15] なかったしねペデ側にうんただ俺めっちゃ
[00:44:19] 考えられんのがホ教がテイクダウン行って
[00:44:23] あのリング街に出るテスが流れの中でで
[00:44:26] イエローテスがもらって堀口が判定がちっ
[00:44:29] ていうのなんかめっちゃあるような気が
[00:44:31] するリングに慣れてないしで試合後に
[00:44:34] みんなに格闘ファンにやっぱもうリングは
[00:44:36] ダメだみたいなこと言われる絵がすごい
[00:44:38] 想像できるなと思っちゃったうんでも
[00:44:42] どっちが有利どっちが有利ってわやぱ若干
[00:44:45] ペティと思うなうんもうガード硬いし
[00:44:49] めっちゃプレッシャーかけれてんのよね
[00:44:50] ペティがうんプレッシャーを逆にペスが
[00:44:54] かけられてる時は負けてる気がするうん
[00:44:57] レッタには買ってるんやけどティスそう
[00:44:59] ハーチレッタに買ってんのよねうんでも
[00:45:02] チレッタ戦はそんな下がってあのそんな前
[00:45:05] に行けてなかったけどな堀口戦はめっちゃ
[00:45:07] 行けてる感じがしたでミックス戦は負け
[00:45:09] てるけどやっぱめっちゃ下がってたペテの
[00:45:12] ペースで戦えてなかったけど堀口線は1試
[00:45:15] 目から結構前に行きてるし2回目なんか
[00:45:17] 余計に行くと思うよ1回目やって慣れて
[00:45:19] るってのもあって大体手のう分かってる
[00:45:21] からうんで最近のジャジでやっぱテク
[00:45:25] ダウンだけではなかなかポイントにならん
[00:45:26] と思うよなでプレッシャーとテかずで若干
[00:45:31] ペティが上回って堀口はテイクダウン
[00:45:34] できるとは思うんやけど立たれて
[00:45:37] うん若干ペティが優勢で終わるんじゃない
[00:45:41] かなっと思うけどうんただもちろん俺堀口
[00:45:44] え応援やしここで負けたらねきついよねま
[00:45:49] 階級が本来の階級とは違うとはいえここで
[00:45:52] 負けてやっぱUFCのね絵の道もされると
[00:45:56] 思う
[00:45:57] うんきついとじ買って欲しいけど買った方
[00:46:00] が絶対面白いと思うんや
[00:46:01] けどうん有効だ当てれん気がするけど
[00:46:05] パンチうんねどうなんかなマジわからん
[00:46:09] マジ難しいもんけど俺はとかペテが前に前
[00:46:13] にガンガン行って若干手数と有効だでうん
[00:46:17] なんか上回って判定がち予想にしておき
[00:46:21] ますやっぱピットブルが体調悪いか知らん
[00:46:24] けど階級落としてきたやけどそれに勝って
[00:46:27] もでかいしな干渉してるし戦績もすごい
[00:46:30] もん23勝六敗うんまレスラー系には
[00:46:33] 負けると思うけどちなみにやっぱり完全な
[00:46:35] レスナーには負けると思うけどここは
[00:46:38] PTSの判定がち予想にしておきますはい
[00:46:42] そんな感じかな今日も長々と喋ったけど
[00:46:44] はいえねうんそこまでえ盛り上がってない
[00:46:49] 大会かもしれませんがもちろん当日えね
[00:46:53] 解説配信第1試合目からやらせていただき
[00:46:55] ますので皆さん何卒よろしくお願いします
[00:46:58] はいでチャンネル登録5万人行きそうなの
[00:47:00] で登録してない方は是非あのチャンネル
[00:47:03] 登録してくださいはい今日はそんな感じで
[00:47:06] 終わりたいと思いますはいご視聴
[00:47:08] ありがとうございました終わります
