[00:00:01] [音楽]
[00:36:54] そのサウスで常にこの変化させて
[00:36:58] 戦えるのが強いですよねあの感じ
[00:37:03] 庭3つが
[00:37:05] ゴリゴリゴリゴリドンドンドン詰めてたら
[00:37:07] どういう
[00:37:08] 田し方するのかなっていうのをちょっと見
[00:37:10] てみたいですねもし戦うとしたら
[00:37:13] 詰めていくやつしかないんだよね
[00:37:16] どうにか捕まえてっていう
[00:37:19] 感じかな
[00:37:20] 距離で戦ったらやられちゃうよなぁそうっ
[00:37:23] すよねあのフットワークからの
[00:37:25] 交易のバリエーション
[00:37:27] フェイントもすごく細かいのでなんか相手
[00:37:30] はどんどんどんどん惑わされ続けてで行っ
[00:37:33] たところにこれですね
[00:37:34] 持ってるしでレスリングもでき
[00:37:36] るってなるとなかなか
[00:37:39] 崩すのが難しいよなとは思いますどう戦い
[00:37:42] ますか
[00:37:43] 普通に追って行ってもこうずっと逃げられ
[00:37:45] てしまうのでなんかその組の攻防とかで
[00:37:48] まあ上回られないにしてもクリンチして
[00:37:51] リズム止めたりとかいろんな攻防を用意し
[00:37:54] ないと
[00:37:55] いつの間にかはもう呆れたペースで
[00:37:58] 取り返せないみたいな感じになるのかなと
[00:38:01] すごい動くなっていうねこういう感じの
[00:38:04] スタイル
[00:38:06] 楽しみですよねこのどういう戦い見せて
[00:38:09] くれるのかっていう感じにもし戦うなら
[00:38:12] 戦うなら
[00:38:13] 戦わないなぁ
[00:38:22] 戦うんだったらもう
[00:38:24] 固めて出てくしかないかもしれないなんか
[00:38:26] セルジオ戦見てても
[00:38:28] 打撃結構穴があるというか
[00:38:30] 近距離の穴があの結構あるんで
[00:38:34] じゃあそれでは対するライジン代表のキム
[00:38:37] スーチョル選手についてですがまずは
[00:38:40] VTRがあるのでそれを見てみましょう
[00:38:48] 腰めっちゃ強いですよねこの人なんか
[00:38:50] この間もね
[00:38:54] リズムも
[00:38:55] すごい独特な方なんで
[00:38:58] 強要しますよね
[00:39:00] 至近距離をとにかく
[00:39:03] 絶対年上だわと思ったら同い年だったから
[00:39:09] 頭の話やね
[00:39:10] 見た目ですね
[00:39:14] 相手選手は
[00:39:16] 手は全然わかんないんだよな
[00:39:18] 弱くないですよね
[00:39:28] こういう練習してないのに相手が仕掛けて
[00:39:31] きたからって付き合っちゃうと途中から
[00:39:33] もう大変なことになっちゃいますよね
[00:39:36] これ3ラウンド行くぐらいでやってそう
[00:39:40] ですね
[00:39:42] ダメじゃないけどできないですよね
[00:39:46] こういう試合がすごく
[00:39:48] キムスチョウ印象だったんですけど
[00:39:50] 荻窪線ですごく
[00:39:52] 打撃やりますよね
[00:39:53] めちゃくちゃちゃんと唾液やってしかも
[00:39:55] すごい上手だったんですよね
[00:39:57] 打撃やりつつしか行ける強要してますね
[00:40:02] 適正万端ですか
[00:40:03] バンタムじゃないですかね1個上でもやっ
[00:40:07] てるですね
[00:40:08] だから本当か嘘か知らないけどあの前回の
[00:40:11] おきょうさんの時は
[00:40:12] フェザーだと思って入ってきたって言って
[00:40:13] ましたなんかあったんですよね
[00:40:26] はいってことでね
[00:40:35] キム選手の映像を見ましたけどどんな印象
[00:40:37] ですか
[00:40:38] 八千選手はいやすごい試合でしたね今の
[00:40:41] 試合に関しては本当にあんだけ前出るのも
[00:40:44] やっぱ強みっすよね
[00:40:46] タフなんだろうし
[00:40:47] 自分の戦い方持ってる選手ですねこの
[00:40:51] 試合を見るとやっぱりあの数値の選手の
[00:40:52] そのクリンチの強さがなんか見れますよね
[00:40:55] もう首相とかが多分得意だと思うんです
[00:40:57] けどそっから膝打ったり
[00:41:00] テイクダウン行ったりていう強みが見れ
[00:41:03] ましたね体も強いなと思います相当
[00:41:06] 自分でも自信あるぐらい
[00:41:08] タフな
[00:41:09] 感じして
[00:41:10] スクランブルやりたいんでしょうね立ちの
[00:41:12] それこそこう
[00:41:15] 近いというか共用して
[00:41:17] 相手が
[00:41:18] 優れるまでずっとプレッシャーかける
[00:41:20] みたいな感じですかね
[00:41:22] 佐々木選手は
[00:41:25] 推しですもんねやりたいんですね
[00:41:35] うーんですけど
[00:41:37] 僕はあってやりたい機会があったんです
[00:41:39] けどちょっとまあ
[00:41:40] 流れてしまっていつかやりたいんですけど
[00:41:42] 数値めちゃくちゃ強いと思ってるんではい
[00:41:44] アーチュレッタ
[00:41:46] 対アーチュレッタってめちゃくちゃいい
[00:41:48] 試合だと思う
[00:41:49] 確かにまさに見たい攻防が見れるかも
[00:41:51] 見れると思いますマジであの
[00:41:54] 逆に苦手だとねちょっと
[00:41:59] 戦いますか
[00:42:06] 前出る合戦で勝負するじゃないですか
[00:42:14] それで
[00:42:17] 選手の時はやっぱり引けないです
[00:42:20] 続いては大注目の
[00:42:22] 試合です
[00:42:24] フェザー級のマッチですね
[00:42:25] クルベル小池選手対をパトリシオ
[00:42:28] ピットブル選手ですね
[00:42:29] 格闘技ファンも大注目してるこの一戦です
[00:42:31] けども
[00:42:32] 試合の展開ですねどんなになると1本が
[00:42:35] KOでしょうねおお1本形はあるじゃない
[00:42:39] すかどっちですかお味噌かなしどっち
[00:42:45] ピットブルー選手が
[00:42:47] スコーンと打ち抜くのかな
[00:42:49] と思ってます
[00:42:52] 僕もそういう
[00:42:54] 感じですねもう殴ってKOが決めて勝つか
[00:42:56] どっちかっていう
[00:42:58] 風に思いますね
[00:43:14] では果たしてクレベル小池選手がどれだけ
[00:43:17] ピットブル選手にクライスことができるか
[00:43:19] になりますかねがポイントになる試合かと
[00:43:22] 思うんですけどもまずはピットブル選手の
[00:43:25] プロフィール紹介ですね例の選手にお願い
[00:43:27] しますはい
[00:43:28] ベラトール市場2人目の同時に階級制覇で
[00:43:31] ある
[00:43:32] 通算で
[00:43:33] 王女に4度も輝いているまさにベラトール
[00:43:36] の顔的存在
[00:43:38] ベラトールでの
[00:43:39] 戦績は21勝5敗最多勝
[00:43:43] 力を持ってますね
[00:43:44] キャリア
[00:43:46] 戦跡は34線5杯を誇る
[00:43:49] 兄パトリッキーピットブル選手はライト級
[00:43:52] 王者
[00:43:53] オーソドックススタンスの35歳です
[00:44:01] したらすごいなあ30床を超えてきて負け
[00:44:05] 1桁って負けモンスター
[00:44:10] 見てみましょうどうぞ
[00:44:14] これ見ると一回り全然ね
[00:44:21] 大勝軒の動きって感じ
[00:44:23] 相手のフェイントにもそんなに
[00:44:26] 反応しないで見極めて
[00:44:30] 姿勢がいいよね
[00:44:31] 姿勢が
[00:44:33] いい
[00:44:34] 無駄打ちしないですね
[00:44:37] しっかり決めのパンチまで打ちますよね
[00:45:00] めちゃくちゃ生き物的に強そうですよね
[00:45:01] やっぱりね
[00:45:05] 映像を見てもらいましたけど皆さんの印象
[00:45:07] をちょっと聞いていきたいです
[00:45:08] 本当皆さん行きましょう姿勢がいい
[00:45:11] 本当にでスッと入って
[00:45:14] シャっと打って出るみたいな
[00:45:16] 本当に無駄がなくて
[00:45:18] 軸もしっかりしててっていう
[00:45:21] 強いっすねもう
[00:45:23] 強い言葉が出ないぐらい強い
[00:45:26] 疲れて
[00:45:40] すごい凶暴な獣がもうなんか冷静に相手を
[00:45:44] もう仕留め切ったみたいなそんな
[00:45:46] 感じがしますね
[00:45:47] 冷静に相手を見て
[00:45:48] 仕留める時にもうしっかり持ってくって
[00:45:50] いうかちょっと
[00:45:52] 完成度が高すぎるというか
[00:45:54] 凶暴ですよね
[00:45:56] ピットブルがまた年末日本に来てくれ
[00:46:00] るってことですよね
[00:46:02] クリスマスの
[00:46:03] 休みも返上してね
[00:46:05] ヒゲがもうサンタさんみたいな
[00:46:10] 大好きなクリスマス休暇
[00:46:13] どういう試合見せてくれるのかな
[00:46:16] 楽しみにして
[00:46:19] めちゃくちゃ強いでしょ
[00:46:28] 合わせて
[00:46:29] ますからね
[00:46:32] すごいあれはこれ見たいっすよね本当
[00:46:35] 単純に
[00:46:36] 面白そうですねはいこれu-nextで
[00:46:40] 見れるんですよ
[00:46:41] ね
[00:46:46] 一節見れますよね大臣
[00:46:51] 代表の比べる小池選手ですが
[00:46:53] VTRを
[00:46:55] 見ていきたいと思います
[00:46:58] これでも直近で多分一番仕上がり良かった
[00:47:01] んですよね
[00:47:05] やっぱグレーありますグルメルそんな
[00:47:09] 決めに対してのブレはない気がしますけど
[00:47:11] この試合はもうなんか
[00:47:14] 初めに自分から打撃作ってテイクダウンし
[00:47:16] に行くっていういつものスロースタートと
[00:47:19] は全く違う試合展開でしたね
[00:47:22] 俺組んだ時に思ったの4つ強かったんです
[00:47:24] よねやっぱり
[00:47:29] 強いからあんまり感じなかったそんなこと
[00:47:31] ない
[00:47:33] 当時はそんなに4つ強くなかったかな
[00:47:41] こっから入るもんねいやここはね
[00:47:48] [音楽]
[00:47:49] ポペガってどういう意味ですかね決めたぞ
[00:47:52] みたいな感じで
[00:47:53] これ
[00:47:55] 頑張りましたね
[00:48:01] いやーうまいですねやっぱりじゃあ
[00:48:07] クレベル選手の映像を見ましたけれども
[00:48:09] どうですか
[00:48:10] ご確認
[00:48:11] 渡り合うにはどんな戦い方が必要ですかね
[00:48:14] まあ特に持ってくしかないですよね組
[00:48:17] 寝技の展開って寝技の展開にどう持って
[00:48:19] いくかなんじゃないですかねでもだって
[00:48:23] 夜も全然できるでしょう
[00:48:27] 手足長いですねハイト
[00:48:34] スタイルの選手なんでいかにその形を作る
[00:48:36] かっていうなんかポイント無視みたいな
[00:48:39] 感じがまあいつも比べるんですねそういう
[00:48:41] 感じなんで
[00:48:42] 本当になんかワンチャンスいろんなこう
[00:48:44] 仕掛けだとかを用意していくと思うんす
[00:48:46] けどねなんかでもピットブル選手が取ら
[00:48:49] れる
[00:48:50] イメージがないですよねー
[00:49:01] 対戦経験のある谷地選手から見て
[00:49:03] クレーベル選手の強みってやっぱり
[00:49:06] 君への嗅覚というかもうそこに持っていく
[00:49:09] んですよね絶対逃さないというかそこじゃ
[00:49:12] ないですかね
[00:49:14] 映像でもそこから入るみたいなのか
[00:49:17] すごい最後入り方でしょうね
[00:49:21] 斎藤選手に関しては
[00:49:23] 過去にクレベース選手と対戦する予定が
[00:49:26] そうですねもう時効
[00:49:38] そこはどのタイミングだったんですかそれ
[00:49:42] えっと1年ぐらい前じゃないですか1年
[00:49:44] ぐらいもう大変よってがあったってことは
[00:49:48] 多分対策もして
[00:49:49] 確かにですけどそうですね一応まあはい
[00:49:51] やる想定で色々あのいろいろやってました
[00:49:55] けどま試合でそれが
[00:49:57] 答え合わせみたいな形でできたらなって
[00:49:59] いう希望はありましたけどねちょっとだけ
[00:50:02] 聞きたい
[00:50:08] 僕だったら上乗ったらもうガンガン
[00:50:09] パウンドしたいなって思ってたんで
[00:50:13] あとあの組んだ時のそういう腰とか
[00:50:16] 崩しが上手なんでそこを自分がどう
[00:50:19] 対応できるかなっていうところが多分
[00:50:21] ポイントだったと思うんですけどね
[00:50:26] 奥さん
[00:50:30] いやーもう
[00:50:32] パンチでワンチャン狙うしかないですよね
[00:50:34] だからもうこういう
[00:50:37] いけそうな気がするじゃないですかレベル
[00:50:39] とかってそこがね
[00:50:42] 分かるよね
[00:50:47] 気がするって思わせるのも
[00:50:49] 手かもそれそういう強いよね
[00:50:52] リオンたけしとか
[00:50:58] ね
[00:51:04] それでは
[00:51:06] ラストにまいりましょう
[00:51:09] ねはいこの試合と思いますか
[00:51:14] 俺は
[00:51:15] 期待も込めてさて選手がスカッと1本
[00:51:19] 取るのかなと思ってますいやもう
[00:51:22] すごかったんで
[00:51:23] すごかったです
[00:51:32] やっぱそうぐらい
[00:51:35] すごかったっすねさとし選手取るなら
[00:51:37] やっぱり序盤がすごくあの
[00:51:40] チャンスがあるとは思うんですけど
[00:51:42] agmacky選手もここまで極端な選手
[00:51:44] とやったことがないとは思うんで
[00:51:47] 序盤チャンスあるなとは思ってますけど
[00:51:49] しのがれたら
[00:51:51] 逆にちょっと厳しくなってくるかなみたい
[00:51:53] なただ俺もそう思ったら序盤一覧で2つで
[00:51:57] もしのいで3つ目で仕留めようなるほど
[00:52:01] だけど1ラウンド終わったら
[00:52:04] めちゃめちゃ消耗しちゃった一瞬アタック
[00:52:06] されて一緒に逃げてで
[00:52:08] 質量もでかいしで一応だとめっちゃ疲れ
[00:52:12] ちゃって
[00:52:16] [音楽]
[00:52:17] 相手以上に
[00:52:19] ずっとマラソンで最後に勝って出るつもり
[00:52:21] だったんですけど2
[00:52:27] ラウンドの初っ端があったんですよあれで
[00:52:30] も一気に
[00:52:31] 復活しちゃったですよね多分
[00:52:33] グラップリングのその熱いやばいいや
[00:52:36] すごいもう仕掛けだ俺も上取ったら殴り
[00:52:38] たかったんですけど
[00:52:40] 殴れなかったですね
[00:52:42] すごいやつで下からのこれねあの
[00:52:45] 佐藤氏選手キメすごいじゃないですか
[00:52:49] 強さもみんな知ってるしこれにこの
[00:52:52] マッキー
[00:52:54] 選手勝ったらもうほんとちょっと絶望
[00:52:58] だそれかみたいなね
[00:53:04] はいじゃあなんでちょっとここはねサトシ
[00:53:08] 選手に頑張ってもらいたいんですけどそれ
[00:53:10] でもやっぱり言ってアメリカも今
[00:53:13] グラップリングめっちゃ
[00:53:14] 流行ってるじゃないですか今
[00:53:16] 前からこういう記念に特化した人いっぱい
[00:53:20] いると思うんですよね
[00:53:22] 対策は
[00:53:23] 絶対ねってると思うんでしかも農着だし
[00:53:27] パンチありでそういう人から決めれたら
[00:53:30] やっぱサトシすげー
[00:53:33] ポケモンゲットだぜ
[00:53:36] やりますね
[00:53:39] はいそれではお
[00:53:44] 願いします人気
[00:53:56] ファイター
[00:53:56] 戦績は19勝1杯
[00:54:00] ニックネームは傭兵を意味するまあせなり
[00:54:03] 父親ももっとベラトールファイターで
[00:54:04] コーチを務めます
[00:54:07] サスポースタンスの27歳
[00:54:09] なんですね
[00:54:22] サイド
[00:54:25] [笑い]
[00:54:35] キック多用するですよね
[00:54:42] [拍手]
[00:54:54] やっぱね
[00:54:57] 強い人しか入っちゃいけないスパッツ履い
[00:55:00] てます
[00:55:09] も同じ
[00:55:11] 竹のやつです
[00:55:12] [音楽]
[00:55:16] なんか動物的ですよね
[00:55:19] [音楽]
[00:55:21] これでいく
[00:55:24] すごいね
[00:55:28] これ全部いつもやるんすね
[00:55:44] [拍手]
[00:55:50] [笑い]
[00:55:57] [拍手]
[00:56:01] [音楽]
[00:56:05] では映像見ましたけど
[00:56:06] 印象よし君どうですかいや
[00:56:09] すごいあの喧嘩もできるタイプだなって
[00:56:11] いう
[00:56:12] イメージ
[00:56:13] ドットコムでも意外と危なっかしさもあっ
[00:56:16] たり
[00:56:17] あそうなんですか
[00:56:30] 試合中のエネルギーもそうだけど終わった
[00:56:32] 後もエネルギーがもう
[00:56:34] 溢れ出してるというかあんな全身でこう
[00:56:37] 戦い表現して喜びの表現するっていうか
[00:56:39] いいキャラクターしてますよね本当に
[00:56:42] すごい愛される気がしますね
[00:56:45] めちゃくちゃ性格悪かったらね面白いん
[00:56:47] ですよ
[00:56:52] ね最後の
[00:56:56] KOとかも
[00:56:58] ぴょんぴょんみたいなあれできたらいい
[00:57:00] なっていうもう
[00:57:03] すごい
[00:57:04] 楽しみなおさら楽しみになってそうですね
[00:57:07] もうやっぱ生物的に
[00:57:09] 強いでも永住末期エージマキって僕聞いて
[00:57:12] た時にこう見た時に一番最初思ったのが
[00:57:16] 全然綺麗にmmっていうのが第一印象で
[00:57:19] なんか強い人って結構綺麗になってくる
[00:57:23] じゃないですかもう多分ずっとあのままな
[00:57:25] のかなぐらいの影響で
[00:57:28] ずっと続いてるのがすごいすごいですよね
[00:57:30] なんかやっぱ基礎をこう教えられるじゃ
[00:57:33] ないですか
[00:57:34] 顎引きなさいとかいただいてくださいね
[00:57:39] 体強くてでも途中でつまずいて
[00:57:42] スタイルがチェンジしてください
[00:57:49] [笑い]
[00:57:52] 強みというか
[00:57:55] フィジカル的にね
[00:57:57] リーチもあるします
[00:58:05] やってみないとわかんないですけど
[00:58:11] 弱みどこだと思いますまだアラサー
[00:58:14] ちょっとあったんでそこなのかなっていう
[00:58:17] ぐらいかな今見た感じだと
[00:58:19] 強みもう打撃でも倒せるでサブミッション
[00:58:23] も
[00:58:24] 確かに撮ってたんでだから打撃も寝技も
[00:58:27] もちろん首もできると思うんでなんか
[00:58:30] オールラウンダーとかっていうのとはまた
[00:58:32] ちょっと
[00:58:33] 違う特殊技で買ったりもするから
[00:58:35] 本当に返さないと大変だなと思います
[00:58:38] よね
[00:58:50] VTRを見てからですね見ましょう
[00:58:57] めちゃくちゃ打撃を当たりそうなんですよ
[00:58:59] ねサトシ選手
[00:59:03] [音楽]
[00:59:04] すごい
[00:59:05] [音楽]
[00:59:07] 徳留くんの左ストレートも
[00:59:09] ちょうどいいますからね
[00:59:18] [拍手]
[00:59:19] [音楽]
[00:59:20] [拍手]
[00:59:24] 今が入り
[00:59:26] すごいね
[00:59:38] いや強いっすね
[00:59:40] [拍手]
[00:59:42] サトシ選手の映像見ましたけどあの末期
[00:59:45] 選手に勝つためにはどんな戦い方が
[00:59:48] 必要ですかね
[00:59:49] 疑問でもいいからでもね技でいく
[00:59:53] すねそこしかないんじゃないですかね
[00:59:56] 組んでくれますかね
[00:59:57] うわーどうなんだろう最悪
[01:00:02] 引き込んじゃってもいいのかなと思います
[01:00:03] けどね最悪天界作れないよりか今のこの
[01:00:08] サトシ選手に映像を見てしまうと
[01:00:11] AJマッキー選手の
[01:00:13] 勢いの良さが
[01:00:14] ズバッと
[01:00:16] 言うんじゃないかってこう思って今しまい
[01:00:18] ましたね
[01:00:20] 映像を見ると
[01:00:21] 生きがいいので
[01:00:22] 行ったところにこうやってあるんじゃない
[01:00:25] かなって
[01:00:26] 今ちょっと頭に浮かんでしまいました
[01:00:33] 予言者ただ序盤ですねそれはもう
[01:00:38] ので3人目なんでねあのしゃべることない
[01:00:42] んですけどあの
[01:00:45] 楽しみです
[01:00:46] それがu-nextじゃないですか
[01:00:50] それが
[01:00:52] u-nextで
[01:00:54] ライブで見れるんですよねこれすごいこと
[01:00:57] ですけど
[01:01:08] 楽しみですね
[01:01:11] 僕はまあ
[01:01:13] 打撃をどこまでこう
[01:01:15] クリアできるかなっていう問題がまず大臣
[01:01:18] の課題になってて
[01:01:20] 僕
[01:01:20] 結構多分サイト選手と
[01:01:22] 予想は多分似てると思うんですけど
[01:01:27] 僕は
[01:01:29] 汗かく前ね
[01:01:31] かなと思うんですけどそれはでもその
[01:01:34] 唾液をクリアするのが前提
[01:01:36] 条件でそこをクリするのってだいぶ
[01:01:40] ハードル高いんですけど
[01:01:43] わけわかんないAJの唾液を買いくぐれて
[01:01:46] わけわかんないあれをかいくぐってくんの
[01:01:48] は
[01:01:49] 相当難しいんですけどそれをクリアしたら
[01:01:51] サトシ行くんじゃないかなと僕は思います
[01:01:54] AJは思い切ってきますかねちょっと
[01:01:57] 警戒とかしますかねいやえじゃあ多分
[01:01:59] 思い切って唾液やってただAJって寝技
[01:02:02] 付き合うんですよね
[01:02:05] 技付き合うんでもうそしたらサトシって僕
[01:02:07] 次元がちょっと
[01:02:09] 違うやってますよね1
[01:02:16] [音楽]
[01:02:36] 回目はもう
[01:02:37] 速攻マウント取られて
[01:02:38] 逃げ
[01:02:39] 別に
[01:02:40] レフリーストップ
[01:02:41] でその後タイトルマッチでまた
[01:02:45] でも攻撃力ですよ寝技の強みは
[01:02:50] 早いあと
[01:02:51] 仕掛けがね
[01:02:52] え打撃のプレッシャーとかどうでした
[01:02:54] わそんなになかったけどやっぱり
[01:02:58] 踏まれたくないっていう気持ちがあるから
[01:03:01] プレッシャーもなんか感じてしまうしま
[01:03:03] あと右振ってベタの右振って組みたいな
[01:03:06] それ
[01:03:08] 以外でもらっちゃうっていう
[01:03:10] で理にかなった戦い方やっぱ知ってますよ
[01:03:12] ね
[01:03:13] そんな大きいんですねなんか小さい
[01:03:16] イメージなんですか顔ちっちゃいからです
[01:03:17] かねわかんないですか
[01:03:19] 多分当日
[01:03:21] 超えてんじゃないかなそんなにいやそれ
[01:03:23] ぐらい10キロ以上だと思う俺
[01:03:26] 体感では
[01:03:28] 動いてかかった
[01:03:29] 選手ってめちゃくちゃ俺フィジカルあると
[01:03:31] 思ってるんですよ
[01:03:34] めちゃくちゃあると思うんですけどそれを
[01:03:35] そう言わせて
[01:03:40] 決めに行くまでのスピードが速すぎて
[01:03:42] ちょっとこう
[01:03:44] ディフェンスする間もなくもう
[01:03:45] 形入られて
[01:03:47] るっていうちょっとまた違ったこう
[01:03:50] 仕掛けというか
[01:03:51] 決め方をしてますよね
[01:03:52] バーンって取るような感じで
[01:03:54] でも気づいたらもう
[01:03:56] 取られてるみたいな
[01:03:57] 感じなのかなと思ってやりたくはないです
[01:04:00] よね
[01:04:03] 弱点というかウィークポイント的なのは見
[01:04:05] た感じは
[01:04:06] 攻めるとしたら狙撃とかですよね
[01:04:10] 先に組まれてその
[01:04:12] 得意な形作らせたらなかなか逃げるのも
[01:04:15] 確かに
[01:04:15] 消耗する大変だと思うんでその前に何か
[01:04:18] 何かしらのダメージとか
[01:04:20] 精神的にこう
[01:04:22] 誘引に立たないときついなっていう感じ
[01:04:23] ですね
[01:04:24] 逆に
[01:04:27] ガンガン来るってことで
[01:04:29] みんなそういう誤点のある
[01:04:31] 相手とは慣れてると思うんですけど
[01:04:33] 逆にその
[01:04:35] 宮迫が来る人に対してサトシがどう
[01:04:39] 組み立てるかっていうのをちょっと見たい
[01:04:41] ですねそれいや地区に参考にしてもらって
[01:04:45] ね
[01:04:47] 3度目のシューズ
[01:04:49] 頼みますよ
[01:04:50] じっくり見たいと思いますu-nextで
[01:04:52] 言うね
[01:04:57] u-nextで
[01:05:00] 家で見たいと思います
[01:05:06] 全試合を深堀させていただきました
[01:05:11] 当日
[01:05:11] 楽しみですね
[01:05:12] 情報量が多いんですよ
[01:05:15] みんないい選手だから
[01:05:23] 次の動画ではいよいよですね皆さんが
[01:05:25] 大好きな
[01:05:27] 試合の勝敗予想ですねこのメンバーでやり
[01:05:31] たいと思います
[01:05:32] 是非チャンネル登録とグッドボタンを
[01:05:34] よろしくお願いいたしますそして12月
[01:05:36] 31日大晦日開催の雷神4は今年も
[01:05:41] UXでね
[01:05:51] ライブ配信いたしますので
[01:05:53] ぜひ概要欄からお留めくださいはい
[01:05:56] よろしくお願いします
[01:05:58] それではまたバイバイ
[01:06:05] すごい
[01:06:06] 揃った削って削ってガッツ勝ちですよね
[01:06:10] 辛い戦い厳しさになるだろうなとは思うん
[01:06:12] ですけどあのなんとなく
[01:06:14] [音楽]
[01:06:16] 外から見せてこっち外させて
[01:06:19] [拍手]
[01:06:21] くるのがあ風に
[01:06:23] すいません
[01:06:28] [音楽]
