[00:00:01] きしょきし
[00:25:21] 高いからめっちゃめっちゃいい選手やもん
[00:25:23] 。う選手そっから4連敗中ですよ
[00:25:27] 。うん。で、なんでこれで出れんのとも
[00:25:31] 思っちゃうけど今日ね。4連敗中で本戦で
[00:25:35] うん。まあね、浅選手の相手がおらんかっ
[00:25:38] たんでしょうけど。
[00:25:40] うん。
[00:25:42] 浅工事でいいやんとも思うんやけどね。
[00:25:46] うん。ま、もうさっきこれが決まってたん
[00:25:47] でしょうけど。で、フジテレビをこれ
[00:25:50] やめる可能性があるん。でもすごいよね。
[00:25:51] フジテレビ入れるって。うん。めっちゃ
[00:25:54] これ頭良く長いと難しい気がするんやけど
[00:25:56] 誰でも入れないでしょ。フジテレビ
[00:25:58] めちゃくちゃなんかね、競争率高い気が
[00:26:02] するんやけど。ま、それやめる可能性もあ
[00:26:03] るっていうね。うん。ただま、不祥時に
[00:26:08] 揺れるフジテレビに対して自分がリングで
[00:26:09] 戦う姿を見せることで勇気や立ち上がる姿
[00:26:12] を見せたい。自分が戦うことで届けられる
[00:26:15] 、え、言葉があると僕は信じているとか
[00:26:18] 言ってそれで賛成を賛成を自価談パとか
[00:26:21] 言ってるけどもう意味わからんけどね。
[00:26:23] うん。フジテレビが揺れてるからってなん
[00:26:25] でうつが試合してそれで勇気与えれんのっ
[00:26:27] て?フジテレビが嫌がってる言ってんのに
[00:26:29] ね。フジテレビがこの試合参戦やめてく
[00:26:32] れって言ってんのに。意味が分からんけど
[00:26:34] 。それに関してはいと思いましたけど、ま
[00:26:37] 、これは、え、普通に浅がパンチでも蹴り
[00:26:41] でも圧倒して、え、ね、浅井選手打たれ
[00:26:45] 強いイメージもあるしやっぱ難しいと思う
[00:26:47] な。で、構えはめっちゃいいんやけど、歌
[00:26:49] 強い選手蹴リもらう時にこう下向いちゃう
[00:26:52] よね。うん。やっぱ蹴リかされると三日月
[00:26:55] とかミドルとか、え、蹴リめちゃくちゃ
[00:26:57] 強いんで。あ、サが蹴りまくって、え、1
[00:27:00] ラウンドに1回ダウン奪って2ラウンドで
[00:27:02] KO勝ち。はい。
[00:27:05] 予想にしておきます。はい、では次行き
[00:27:07] ます。次が、え、ジョンドットソン
[00:27:12] Vス高き。はい。えー、この試合はね、え
[00:27:19] 、ベアナックルールでやってて、その時に
[00:27:21] ジョンドットソン買ってて、これなんか
[00:27:23] KO王がちのイメージがあったんやけど、
[00:27:25] あれ判定ですよね。うん。一応全部見まし
[00:27:28] たけど。うん。さ高選手ね。
[00:27:33] 毎回こんなカードでいいのかなって俺は
[00:27:35] ちょ正直ちょっと思っちゃうんやけど、ま
[00:27:37] 、さやたきは悪くないしこういうねカード
[00:27:40] が求められてるんでしょうけど、え、ま、
[00:27:42] 打撃しかやらんからこういう試合やったら
[00:27:45] そうやったの試合はもうね、毎回盛り上が
[00:27:47] るって感じで雷人に選ばれてるんでしょう
[00:27:49] けど。うん。やっぱテイクダウンとか寝技
[00:27:52] の武器がないからこういうシェイクを
[00:27:54] ずっと組まれ続けるよね。で、本当
[00:27:56] ダメージとかも心配選手のま、殴り合いが
[00:28:00] 好きなんでしょうけど今日ね。でもそれ
[00:28:01] だったら別にキックボクシングとか
[00:28:03] ボクシングに転候したらいいと思うしね。
[00:28:05] で、これMMAルールね。MMAなんで
[00:28:08] そうやったかきはもう打撃にこだわらずに
[00:28:10] テイクダウン行けばいいと思う。でも
[00:28:12] できると思う。それもそしたら全然あり
[00:28:15] 得るんじゃないかと思うけどな。うん。で
[00:28:18] 、ジョンドットソンとベアナックルールで
[00:28:21] 試合できてるっていうのはそやきにとって
[00:28:24] 俺有利と思うけど。うん。そやきの方が
[00:28:28] 有利と思うな。なんかジョンドットソンっ
[00:28:29] てあの遠い距離からの踏み込みの速さで
[00:28:32] パンチまとめてあれ最初試合したら面
[00:28:35] 食らうと思うけどそこにやっぱ慣れて
[00:28:36] るっていううん。どういう攻撃?うん。
[00:28:38] 来るかってそうやった書き側も分かってる
[00:28:41] から、それ全然ね、やっぱ有利に働くよう
[00:28:43] な気がするんやけど俺。で、で、ジョン
[00:28:46] ドットソンはパンチ1発打ったらめっちゃ
[00:28:49] まとめてくるから。それっていいとこでも
[00:28:50] あるんやけどジョドットソンでも絶対
[00:28:52] まとめてくるからそこにタックル入れば
[00:28:54] 取れると思うけど。で、下になったら
[00:28:57] もろい。全然何もできてなかった。うん。
[00:29:01] 大きく久保戦であれを見る限りさ選手上に
[00:29:05] なれたらいけるんじゃないかなと思うんや
[00:29:07] けどね。うん。で、俺は、えー、この試合
[00:29:12] は、え、大体の人がジョンドットソン
[00:29:14] でしょうけど、俺もジョンドットソンって
[00:29:16] 言った気がしますけど、それ、え、勝利
[00:29:18] 予想にしときます。はい。行けるんじゃ
[00:29:21] ないかな。でもこれでうん。もちろん本人
[00:29:24] の自由なんですけど、戦い方。これで
[00:29:26] ボクシング1ペンとで行ったらバカなん
[00:29:29] じゃないかなと思っちゃうけど俺。ごめん
[00:29:31] 。あの、マサぎDに嫌われてるんですけど
[00:29:33] 。うん。こっちの方が嫌いやけど。こっち
[00:29:35] の方が嫌いやし、俺よりもきしいなと思っ
[00:29:37] てるけど。ま、Dのこと。だからもうどう
[00:29:40] 思われた別にいいんですけど。うん。ここ
[00:29:43] で打撃パンチだけで行ったら何やってんの
[00:29:46] かなってマジ思っちゃうわ。うん。別に
[00:29:48] 本人の自由ですけど。ま、もちろんね、
[00:29:50] パンチでも別に何発も当ってたし勝てる
[00:29:53] 可能性もあると思うけど、これMMA
[00:29:55] ルールなんで。はい。MMAなんでマジで
[00:29:58] 。はい。うん。で、フィジカル強いし、
[00:30:01] そやた選手は少なくともテイクダウン取レ
[00:30:03] んでも混ぜていったら混ぜていったら
[00:30:06] 全然いけると思うんけどな、これ。ただね
[00:30:10] 、やっぱダメージ溜まってんのやっぱ心配
[00:30:12] やな。もうダウンせができてると思う。
[00:30:16] 仕留べられんかっとしたってやっぱダウン
[00:30:17] はしてしまうと思う。ずっと打撃でやっ
[00:30:19] たら
[00:30:20] 。うー。ま、これ戦い方
[00:30:24] し第がテイクダウン行くっていうのは
[00:30:26] なかなか考えづらいけどそやったかきは
[00:30:29] 行けばいいとま、もちろん打撃やりながら
[00:30:31] でいいと思うけど打撃混ぜていってで上
[00:30:35] 取ったらあんま竜そぶりも見えんかった
[00:30:38] から結構寝かせれるんじゃないかと思う
[00:30:41] けどな
[00:30:42] 。うん。そういう練習もしてるはずやし
[00:30:45] 練習環境はめちゃくちゃいいと思う選手ね
[00:30:47] 。大き保選手とか大田とかとやれてるはず
[00:30:51] なん
[00:30:52] でうん。いけんじゃないかなと思う。ま、
[00:30:55] わからんな。こればっかりは。でも選手
[00:30:57] どの程度寝るかってもう未数なんで俺なら
[00:31:01] この試合組まれた時点でも組まれる前から
[00:31:03] かそっちの練習もやりまくるけど。うん。
[00:31:08] やりまくるけど。でもやりまくってたら
[00:31:10] ベアナックルール受けてんのかなって疑問
[00:31:12] もあるけど、ちゃんと技とかを覚えてその
[00:31:15] ね、テイクダウンとか寝技とか、え、付け
[00:31:18] 切る技術とかも覚えてるんだったらうん。
[00:31:22] 元々ベアナックルとこの打撃ばっかりやる
[00:31:24] かなって疑問もあるんやけどね。やっぱり
[00:31:27] ジョンドットソンに商売要素変更にして
[00:31:29] おきます。はい。すいません。やっぱり
[00:31:33] ジョンドットンな気がしてきた。
[00:31:34] ポテンシャル的に別に曲げると思えへん
[00:31:36] けど。ごめん。ちょっと途中変更。うん。
[00:31:39] しちゃうけどやっぱドンドットソンかな。
[00:31:43] やっぱダウン癖できてしまし。あのベア
[00:31:45] ナックルだったからね。立ち上がれたけど
[00:31:49] オープンフィンガーの方が立ち上がれへん
[00:31:50] 気がする。やっぱ外償のダメージはでかい
[00:31:52] と思うけどベアナックルの方が結局
[00:31:55] やっぱり孝選手がごめんね。ちょ打撃戦を
[00:31:58] やってしまって単長もらってパウンドで
[00:32:02] レフィリストップ
[00:32:04] 。はい。すいません。途中変更ですけど。
[00:32:08] うん。そんな気がするな。テイクダウン
[00:32:10] すらいかんのじゃないかな
[00:32:12] 。うーん。そんな気がする。行けばでも
[00:32:16] 全然勝てる相手だと思いますけど僕は。
[00:32:19] はい。そう思いますがでもジョンドット
[00:32:23] ソンうん。1ラウンドTKをガチ予想にし
[00:32:26] ておきます。では次行きます。で、第5
[00:32:29] 試合、え、
[00:32:32] ヒヤスし塚た。ハロハロー。今日は
[00:32:37] バイタスの、え、リポソームビタミンC
[00:32:40] 紹介したいと思います。え、僕はあの
[00:32:42] バイタスのビタパワーを毎日毎日飲み続け
[00:32:45] てるんですけど、こちらのリポソム
[00:32:47] ビタミンCはビタミンCに特化した
[00:32:49] サプリメントになっております。え、5
[00:32:51] 種類のそれぞれ違う特性を持ったビタミン
[00:32:53] CとビタミンCをより吸収しやすいような
[00:32:56] ポートする成分が2種類含まれてます。え
[00:32:59] 、美容を気にする方はビタパワーと
[00:33:01] リポソームビタミンC両方併経用して飲む
[00:33:03] ことを1番お勧めします。
[00:33:08] [音楽]
[00:33:13] え、ヒや
[00:33:15] Vし塚た
[00:33:18] 。この試合ですけど。うん。ま、これね、
[00:33:22] 昼や勝利予想が多いし
[00:33:25] 。うーん。これ俺どっちって言ったっけ?
[00:33:30] うん。どっちって言ったかちょっと覚えて
[00:33:31] ないんですけど、ま、し塚たつには期待
[00:33:35] できるし。うん。うん。平本レンて、え、
[00:33:40] 今はね、そうでもないけど距離がめっちゃ
[00:33:42] 近いじゃないですか。キックボクシング。
[00:33:45] え、ね。で、そっからMMAの距離に
[00:33:48] アジャストすんのってだいぶ時間かかった
[00:33:50] と思うやけど、ま、朝倉三クル線とかのね
[00:33:52] 、距離感めっちゃ良かったけどでも時間
[00:33:54] かかったと思うんやけど。うん。白塚
[00:33:57] たつきは元々遠いよね。うん。だから俺
[00:34:00] 向いてる気がする。ただ線が細いし組みの
[00:34:04] 筋力は絶対ついてないと思う。まだ。うん
[00:34:06] 。こっから伸びるとは思うけどね。うん。
[00:34:09] 距離感的にはでも平本レンよりアジャスト
[00:34:11] しやすいんじゃないかなと思う。で、
[00:34:14] パンチがね、一級品で、え、なんか
[00:34:17] ボクシングで通用しなかったとかね、言わ
[00:34:19] れてるけどそんなことないと思うけど今日
[00:34:21] ね。いや、そんなことないと思うというか
[00:34:23] 、そ、通用しなかったんでしょうけど。
[00:34:25] うん。今やったら全然そんなことないと
[00:34:27] 思うけど。うん。なんかボクシングのが上
[00:34:31] みたいな感じで言われんのなんか嫌なよね
[00:34:33] 。今のだったら全然いけると思うよ、俺。
[00:34:36] 前がそうだっただけで牧シング技術もそっ
[00:34:38] からね、めっちゃ伸びてると思うし。うん
[00:34:40] 。で、え、MMA思考が元々強いんですよ
[00:34:43] ね。川尻さんに教わりましたけど、え、
[00:34:47] 17歳の時に、え、堀口教事隊、え、
[00:34:51] デメトリアスジョンソンをね、感染してて
[00:34:52] すごい楽しみしてたっていう。で、17歳
[00:34:54] は中学生じゃなくて高校生だって言われて
[00:34:56] たけどね、コメント欄で。うん。高校生の
[00:34:58] 時でしたけど。はい。え、で、ずっと
[00:35:01] イメージできたと思うんやけど、MMAに
[00:35:03] で、平本連のね、活躍とかも間近で、え、
[00:35:05] 見てたでしょうしうん。で、1回流れたの
[00:35:08] もいいよね。大晦が広谷戦に向けてし塚も
[00:35:12] MMAずっとやってたでしょうし、結構
[00:35:14] 時間を経てマを自してのこの試合。うん。
[00:35:19] で、この試合こそ富沢対山本アーセの時
[00:35:23] 言ったけど、この試合こそアッパーだと
[00:35:27] 思いますが。で、白塚アッパー得意やし。
[00:35:30] うん。それ全然あり得ると思うよ。新塚た
[00:35:35] がタックルに合わしてのアッパーうん。
[00:35:38] それでの京王がちとかは全然あり得ると
[00:35:40] 思う。うん。で、ひやも距離が近いよね。
[00:35:46] うん。距離が近いっていうのが良くないと
[00:35:49] 思うけど、ま、それも対応して
[00:35:50] くるっていうか、ちゃんとしてくる気が
[00:35:52] するけどね
[00:35:54] 。うん。ま、所戦とか距離近かったけど。
[00:35:57] あれはまだ打撃で行こうと思ったからかな
[00:35:59] 。も、今回やってくるとは思うけど、
[00:36:02] やっぱあの時とかよりちゃんと距離を遠く
[00:36:04] にしてしまタモンキー戦だったかな。でも
[00:36:07] それは距離悪くなかったか。うん。一歩
[00:36:10] 距離を遠くしてそっからなんか打撃とか
[00:36:13] 軽く見せて打ち合う必要はないけど軽く
[00:36:16] 見せてテイクダウンに行きたいよね。うん
[00:36:20] 。で、これはま、昼が勝たないといけない
[00:36:22] 試合
[00:36:23] でしょうと思うんですけど。で、篠塚た側
[00:36:26] が1番なりそうで1番良くないと思うのが
[00:36:29] 昼やの、え、テイクダウンを警戒していつ
[00:36:33] もの構えと変えて腰を低くして膝の
[00:36:36] フェイントごめんごめん。さっき富沢と
[00:36:37] 山本合わせの時同じこと言うて本当それっ
[00:36:39] て良くないと思ってんの俺。うん。そうさ
[00:36:41] れればされるほどやりやすいよ。相手は
[00:36:45] タックルを警戒して腰を低くして膝の
[00:36:47] フェイントとかしてずっとうん。ゴテゴテ
[00:36:50] になってそうなったら拾えペースになって
[00:36:52] くるもん。うん。相手のペースに合わせ
[00:36:54] てるも相手の戦い方に変えない方がいい。
[00:36:57] 構えも戦い方も打撃と同じで行けばいい。
[00:37:00] し塚はその代わりもちろん、え、タックル
[00:37:03] を意識はするべきやし、それまでに散々
[00:37:06] 練習するべきやけどね。その構えで、え、
[00:37:08] タックル対応できるようにうん。距離を
[00:37:10] しっかり取ってうん。でもちゃんと構え、
[00:37:13] 本来の1番やりやすい構えで戦うべきと
[00:37:16] 思うけど。うん
[00:37:17] 。どうなんかな、これ。え、ヒやはここは
[00:37:21] ね、勝たないといけないと思うけど。うん
[00:37:25] 。でもね、し塚なんかこういう時も当て感
[00:37:29] あるし当てそうな気もするけど。ま、1回
[00:37:32] 目のタックルを切りたいよね、しの塚は。
[00:37:35] うん。で、これ前に行った方がいいと思う
[00:37:36] よ。しの塚は前に、え、タックルを警戒し
[00:37:40] て後ろに下がるより絶対プレッシャーかけ
[00:37:42] てタックルを頭に入れながらプレッシャー
[00:37:44] かけていつもの構で前に行けば消は
[00:37:46] 見い出せる気がするけど。うん。え、なん
[00:37:50] か朝倉ミクルがね、あれライコンだったか
[00:37:52] なで、バックついたら足をすぐ入れろって
[00:37:55] ね、言っててうん。で、ひやもそれ頷いて
[00:37:58] だからそういう練習してると思うよ。JT
[00:38:00] 全体で。うん。それが前はあんまできて
[00:38:03] なかったよね。ひやってテイクダウン取っ
[00:38:05] て、え、祟れ際にバックついても足入れ
[00:38:08] るってことね、全然できてなかったけど、
[00:38:11] ちゃんとそういう練習がJTT全体ででき
[00:38:13] てるんじゃないかなと思ってて、今。うん
[00:38:16] 。そうされたら余計にきついよね。うん。
[00:38:20] しの塚はうん。何度も言ってる話ですけど
[00:38:23] 、テイクダウン切ろうと思ったら、え、
[00:38:26] 後ろ向いた方がいい。うん。寝かされたと
[00:38:29] しても立とうと思ったら後ろ向いた方が
[00:38:30] いい。ただそれのうん、一歩先でバック
[00:38:33] キープがね、できたらもうそれ発下がりに
[00:38:35] なっちゃう。でもヒロは前はできなかった
[00:38:38] 。でもライコンで本当あの映像でしかない
[00:38:41] けど一瞬のうん。そこを意識する練習を
[00:38:44] 取り組めてるような感じがしてて、JT
[00:38:45] 全体で。うん。で、今回もそこが俺きいと
[00:38:50] 思うんやけど、ひやはそれは練習してる
[00:38:52] でしょう。しのが絶対後ろ向くと思うよ。
[00:38:55] で、それで足を入れられたらもう
[00:38:57] めちゃくちゃ嫌と思うし塚は。で、その
[00:38:59] 練習はしてると思うんで。うん。やっぱ
[00:39:02] ヒやがバックキープとかしてここは決めて
[00:39:05] 欲しいけどな。うん。ここ決めれんかっ
[00:39:08] たら誰を決めれんのと思っちゃうぜ。
[00:39:09] デビュー戦で。MMAの。ここはひやが1
[00:39:13] 本勝ちかな。さすがにここはヒロや買って
[00:39:17] くれる気がするけどヒヤが寝かしていって
[00:39:22] バた2ラウンドぐらいに、え、ヒヤが、え
[00:39:24] 、後ろ向いたし塚にバックでキープして
[00:39:28] チョク1本勝がち。はい。ただ篠塚のね、
[00:39:32] 今後のMMAにめっちゃ期待やし、ま、
[00:39:34] その返なっていうここのMMAファイター
[00:39:37] としてのしの塚ね。うん。ね、そういう
[00:39:40] 見してもらいたいなと思いますが。はい。
[00:39:42] ここはひや勝利予想にしておきます。では
[00:39:44] 次行きます。次、え、ダニーサバテロ
[00:39:49] V。これが第6試合
[00:39:51] 。この試合なんですけど、大田の部のこと
[00:39:55] は僕大好きなんですけど。
[00:39:58] え、で、ダニーサバテロ。えー、ね、なん
[00:40:03] でこんな選手読んだんて感じだけど今日ね
[00:40:05] 。うん。本当に試合が面白くなくて地味な
[00:40:10] 選手です。はい
[00:40:11] 。地味で打撃はもう全然やらずにテイク
[00:40:16] ダウン行きまくってそっから特に何もなく
[00:40:19] つけ切って勝つみたいな1番多分観客が見
[00:40:23] たくない試合。それがえダニーサバテロで
[00:40:26] 複数試合契約ね結んだみたいでこれもしね
[00:40:31] サバテルが負けたらどうすんの?今後誰が
[00:40:34] 相手してくんのくれんのって感じやけど。
[00:40:37] はい。え、で、この試合なんですけど、
[00:40:40] まあでもダニーサバテロってめちゃめちゃ
[00:40:42] 強いよ。うん。地密用で嫌な相手やけど
[00:40:47] これに対応できるとしたらやっぱ大田の
[00:40:49] しかおらんよね。パッと思いつくのが。
[00:40:52] うん。大田の部だったらとは思わせて
[00:40:54] くれるけど。うん。大田の部はまだね、
[00:40:58] もうそこが見えない部分もあるけど
[00:41:00] 。どうかな、この試合。うん。ね、
[00:41:04] レスラーなんですけど、サバテロ。うん。
[00:41:07] で、下のタックルばっかり行くけど。うん
[00:41:10] 。大田の方は基本的に4つの投げですよね
[00:41:13] 。うーん。どっちなんかな、これ。うーん
[00:41:17] 。レスリングの実績とかレスリングで
[00:41:19] どっちが上取れるかってなったらそれ大田
[00:41:21] の部なんでしょうけどね。でもこれね、
[00:41:24] MMAなんで何よりも経験値が違う気が
[00:41:27] するけど。ベラトールで何試合も何試合も
[00:41:30] やってる。え、ダニーサバテロ
[00:41:33] 。うん。俺はね、ダニーサバテルの方が
[00:41:36] 有利なんじゃないかなと思っちゃうよな
[00:41:39] 。うー。ダニーサバテルが有利な気がする
[00:41:43] 。うん。で、決めそうな気もするよな。
[00:41:48] チョクで1本勝ちしてる試合とかもあっ
[00:41:51] てうん。だんだんだんだん削っていって
[00:41:54] 最初は1ラウンドとか互角なんでしょう
[00:41:57] けどパンチの殺傷能力で言えばうん。圧倒
[00:41:59] 的に大田忍ぶと思うけど。うん。サバテロ
[00:42:03] はうん。基本的にやっぱファイトスタイル
[00:42:06] は買えない方がいいと思って、相手によっ
[00:42:07] て。うん。作戦とかを変えるべきやけど
[00:42:09] ファイトスタイルは変えない方がいいと
[00:42:11] 思って。ダニーサバテロも大しが
[00:42:13] オリンピア、え、レスニングで銀
[00:42:15] メダリストだからと言って、え、打撃勝負
[00:42:18] なんかやらんでいいと思うけど、テイクタ
[00:42:19] 行きまくったらいいと思うんで、最初は
[00:42:21] 取れへんかもしれんけど、ひたすら行けば
[00:42:23] いい。うん。で、スタミナ面で私の方も
[00:42:26] スタミナあると思うけど、やっぱりMMA
[00:42:29] の経験値とかも含めて、え、サバテルの方
[00:42:31] がスタミナあると思うんやけど、俺は。
[00:42:34] うん。え、打撃なんか行かずに打撃行っ
[00:42:37] たら、ま、それでもさてるのが有利だと
[00:42:40] 思いますが、1発は大田の場あるから結構
[00:42:43] 危険やし。うん。だけ聞かずにテイク
[00:42:48] ダウン行きまくってどっかの流れで、え、
[00:42:51] バックついてサバテロがただなかなかつけ
[00:42:54] へんと思うけどね。レスナー相手にバック
[00:42:55] つくのって。うん。レスニングのルール
[00:42:58] 分かったんけど、バック使れんの絶対良く
[00:43:00] ないもんで。なんかバックはなかなか使っ
[00:43:02] てくれへんと思うけど、でもど、どんどん
[00:43:04] 削っていって、え、最後の方にやっぱ3連
[00:43:07] にバックついて、あ、でもやっぱ一本
[00:43:10] ガチャ難しい気がするな。うん。そこの
[00:43:13] 対索とか対応できると思うしょ、私の分。
[00:43:16] うん。あんまり差がない中、うん。佐藤
[00:43:20] 商校と
[00:43:21] かうん。元やの1戦目みたいな感じで光を
[00:43:25] 消された私の部がさてる判定がち。うん。
[00:43:30] ただ、大田の分に買ってほしいけど、ここ
[00:43:33] うん。全然価値もあると思うんですけどね
[00:43:35] 。うん。勝ちもあると思うんやけど。うん
[00:43:39] 。ギロチン取られてる試合があって、
[00:43:41] サバテロがガブられてて、その体勢に持っ
[00:43:45] てこれたら大田が本当世界超トップと思う
[00:43:48] んで。ガブりたいよね。うん。ガブりたい
[00:43:53] 。タックル来たとこにガブってそうやな。
[00:43:55] そしたら結構消見えるよな。切るだけじゃ
[00:43:59] なくてガブってそっからマジ強いと思うよ
[00:44:01] 。大しの部そしたらなんか勝てそうな気も
[00:44:04] する。そっからダー子とかもあるね。ある
[00:44:06] けどね。うん。ガブりたいなあ。ガブって
[00:44:11] そのままね、切って4つで組んだりとか
[00:44:13] 切って離れるんとかじゃなくてガブって
[00:44:15] そこでキープできたら正期は見える気が
[00:44:17] するけど。はい。ただ僕の予想すいません
[00:44:20] 。ダニーサバテロがえも有効だでまさって
[00:44:24] サバテルがうん。タックルとね、打撃両方
[00:44:27] 待せてくるからなかなか集中できんと思う
[00:44:29] 。打撃におの部は有効タで負けてうん。
[00:44:33] テイクダウン切るけど最後の方はテイク
[00:44:35] ダウンされてバックとか捉えて判定がち
[00:44:37] 予想にしておきます。はい。僕がでも
[00:44:40] バンタム級のファイターだったらサバテロ
[00:44:43] がこの試合に勝とうが負けようが受けない
[00:44:45] です。はい。絶対断ろうと思ってます。
[00:44:48] はい。はい。そんな感じではい。次行かせ
[00:44:50] ていただきます。サバテロが、え、
[00:44:53] ダウトベックが回級落としてバンタブでね
[00:44:55] 、やっても普通に活用気がするな、
[00:44:58] ダウトベックに。うん。サバテルは本当嫌
[00:45:01] なファイターです。はい。では次、えー、
[00:45:04] 第7試合中村大輔桜場大勢。はい。この
[00:45:10] 試合なんですけど、
[00:45:13] えーね、え、ま、これ絶妙なカードです
[00:45:17] けどね。絶妙なカードですけど、ま、UF
[00:45:21] のね、Uの魂を持った2人の戦いで、え、
[00:45:26] 改めて言わしてもらいますけど、僕はそう
[00:45:28] いうファイトスタイルは好きじゃないし、
[00:45:31] 上には行けないんじゃないかなと思ってる
[00:45:32] んですけどね。うん。ま、でもそれぞれが
[00:45:34] それぞれのスタイルを追求すればいいと
[00:45:36] 思うんで。はい。えー、まず2人とも
[00:45:41] ポジションをうん。全然気にしないタイプ
[00:45:44] で、え、ま、テイクダウンの上取るかどう
[00:45:48] かもあんま気にしないですよね。桜場の方
[00:45:52] が気にすると思うけど。うん。中村大輔は
[00:45:55] 別に下になっても全然いいって感じと。
[00:45:57] うん。で、えー、2人とも弱点としてうん
[00:46:02] 。サブミッションディフェンスにも弱い気
[00:46:04] がする。うん。そこ弱い気がするなあ。
[00:46:09] うん。で、ポジションもあんま気にせんし
[00:46:12] 。うん。ね、技はね、どっちが取るか
[00:46:15] わからん
[00:46:16] けどうん。双方にアームロックの対策は
[00:46:20] きちんとしておいて欲しいよね。ま、それ
[00:46:23] できる気がする。基本的にやっぱ得意技
[00:46:25] ってうん。ま、桜大将のアームロックを見
[00:46:28] たことないけど、ま、でも多分すると思う
[00:46:29] やけど基本的に得意技ってディフェンスの
[00:46:33] やり方も分かるはず。うん。で、鍵となん
[00:46:37] のは足観な気がするけどね。うん。両方
[00:46:41] とも足感が得意
[00:46:43] でうーで桜場大勢といえばね、あのな、
[00:46:49] 何て選手だったっけ?え、内葉選手か?
[00:46:52] 柔道金メダリストの内選手から組みのね、
[00:46:54] デビュー戦でクインテットかな。で、1本
[00:46:57] 勝ちしてて、それが膝十字なんですよね。
[00:46:59] で、倉本戦ってかも見たんやけど、
[00:47:01] クインテットかな?対抗戦の。
[00:47:05] えー、それね、足感良かったし、やっぱ足
[00:47:08] が1番の必殺技な気がする。うん。で、
[00:47:11] 中村大輔も足監督と結構得意やけど、
[00:47:16] 桜場の方が精度上なんじゃないかな。うん
[00:47:20] 。てかね、ま、勝った予想でしかないけど
[00:47:23] 、中村大好きにそういう練習相手いない
[00:47:26] でしょ、おそらく。
[00:47:27] 今足観ができる。あんま見たことないけど
[00:47:31] 。うん。過去にはいろんなね、足観特選手
[00:47:34] とやってきたんでしょうけど、そういうね
[00:47:35] 、え、ま、打撃もそうだと思いますか。
[00:47:37] うん。そういう過去の経験値でやってると
[00:47:40] 思うけど、今で、それでいいと踏んでるん
[00:47:43] でしょうけど、今年収できてる桜場と今ね
[00:47:47] 、少なくともお父さん足観得意なんでうん
[00:47:50] 。とさんとかもやってるっぽいし、今ね、
[00:47:54] そういう足間とか、え、決めが強い選手と
[00:47:57] 練習できてる桜選手と中村大輔ではうん、
[00:48:02] やっぱり桜選手の方が有利なんじゃないか
[00:48:04] なと思うし、ま、まずこれ階級が、えー、
[00:48:07] 71km契約なんですよね。体重。うん。
[00:48:11] そこがまず桜場に合わ、え、合わせてる。
[00:48:13] 中村大輔ね、結構原料きついみたいです
[00:48:16] けど、フェザーでやんの。うん。で、
[00:48:18] やっぱダメージもあると思うしな。
[00:48:21] うー、ダメージ丸5秒戦でめっちゃね、
[00:48:24] フラフラなって、もう1ラウンドから記憶
[00:48:26] なかったらしいし、そっからまだ間もない
[00:48:29] し、ダメージも残ってるし。うーんね。
[00:48:36] どうなんかな。で、中村大輔の攻略法とし
[00:48:40] て俺は蹴っていけばいいと思ってるんや
[00:48:41] けどガード下げて蹴りはめっちゃもらうし
[00:48:44] 、足は止めたままなんで。うん。で、桜場
[00:48:48] 体勢は蹴れる。それは八裕介さん改めて見
[00:48:50] たけど、めっちゃ蹴ってた。うん。うん。
[00:48:54] 蹴りが超有効な気がするしで、めっちゃ
[00:48:57] 蹴ってきたら中村大輔が足を掴んで足感に
[00:48:59] 行くと思うんやけど、そっからもうん。足
[00:49:03] 感って基本的に相手にも決められる状況に
[00:49:07] なるから足感の取り合いになったら桜のが
[00:49:09] 有利だと思うんで、俺は
[00:49:11] 。それ全然ありえそうやな。桜場がミドル
[00:49:15] とか蹴っていって、中村大輔が足掴んで足
[00:49:19] 噛んにくんやけどそれをうん。逆に桜場に
[00:49:22] カウンターでアンクルホールド捉えるって
[00:49:25] いううん。なんか1番得意なのって
[00:49:27] アンクルホールドなんじゃないかなって俺
[00:49:28] 思ったけどアンクルホールド
[00:49:31] から膝十字の流れとかうん。
[00:49:36] 桜場が足感とる気がするな。ま、打撃も
[00:49:39] ちょっと見てみたいけど俺。桜場のうん。
[00:49:43] なんかジャブとかも良かったし。うん。
[00:49:45] 主に右フックが1番得意なんじゃないかな
[00:49:47] 。打撃は。最後八戦は左ストレートだった
[00:49:49] けど、ちょっと見てみたい。中村大好き
[00:49:52] からKOするってかなりすごいと思うしね
[00:49:55] 。うん。ちょっと見てみたいけど
[00:49:59] 。うーん。でもうん。やっぱ蹴りを掴まれ
[00:50:04] て中村大輔が足カ行ってカウンターで足感
[00:50:07] を取
[00:50:07] るっていうのがなんかそれを想像できる。
[00:50:11] それかテイクダウンも行くと思うし、桜ボ
[00:50:14] 大生がそれをあっさり下になるでしょうし
[00:50:16] 、中村大輔力も使わず全然下になっても
[00:50:18] いいよって感じで。うん。なんかアーム
[00:50:21] ロックも見たいけどな。双方の桜場大生の
[00:50:25] お父さんの桜かといえばアームロックなん
[00:50:27] で。双方のアームロックを見たいけどな。
[00:50:30] うん。いや、もう1番可能性あるのが
[00:50:33] やっぱ足観の取り合いになってうん。中村
