[00:00:02] 2024年首都圏初開催になりますヨボ
[00:25:40] たからテストしてでもちゃんと確認作業し
[00:25:43] てるんですよだからぶっつけ本番じゃない
[00:25:46] んですよねこれが1回目61kmで動く
[00:25:49] じゃなくてあの1回その予習してから本番
[00:25:53] なんでだから別になんからそこで動けない
[00:25:56] 原料みんなが心配してるような原料で動け
[00:25:58] ないんじゃないかっていうことは起きない
[00:26:00] と思うんですようんまでけだけどでも太田
[00:26:03] 選手のレスリング力やっぱ銀メダリストっ
[00:26:05] て半端ないんではい本当にレスリング体力
[00:26:07] もあるしあと組んだ時ほんまバンタム級の
[00:26:10] 選手じゃないんですよ組みからがはいはい
[00:26:13] はいびっっくりすぐらい強くてええなん
[00:26:16] じゃこりって思わず笑ってまうぐらいた
[00:26:18] はいスパーリングの時とかももうパワーが
[00:26:21] すごいんではいまそこの対応牛選手がどう
[00:26:24] するかまこの試合非常に難しいしすごい
[00:26:27] 見物ですねおおキラ選手どうですかブロ
[00:26:29] カートに関しましていややっぱそのATT
[00:26:33] アメリカントップチームに行ってなんか
[00:26:35] どれぐらいこうやっぱ海外にま僕も行った
[00:26:39] じゃないですかでそれで牛さんもこう行っ
[00:26:41] ててうんまやっぱそれをこう日本で
[00:26:45] 持ち帰ってきてどのぐらい伸びてんのかな
[00:26:47] とかなんかやっぱ僕も言ってるみなんで
[00:26:49] なんかすごいまそこは楽しんだなっていう
[00:26:51] のとうんまでもまこういうなんて言うん
[00:26:54] ですかね僕の大晦とちょっと似てて絶対
[00:26:56] 負けるって結構言われてんのかなっていう
[00:26:58] のがあるんでまそういうところはその太田
[00:27:01] 選手が負けるって言われてんのかなと思う
[00:27:03] んでまそういうところは結構見所のある
[00:27:06] ようなま同じなんて言うんですかね2人
[00:27:08] ともにちょっと似たようななんかあの
[00:27:11] 気持ちがあってまそういう部分で僕自身ま
[00:27:14] すごい楽しみな試合ですねうんうんうん
[00:27:16] なるほどさそれではですねえ早速皆さんに
[00:27:20] 勝敗予想にはいえ入っていきますがあもう
[00:27:24] 書いていただけますねそれではフリップ
[00:27:26] オープン
[00:27:28] え湯沢選手は3ラウンド判定で牛選手の
[00:27:31] 勝ちえそして白川選手も3ラウンド判定で
[00:27:35] え牛選手の勝利とそして広谷選手がえ大信
[00:27:40] 選手1ラウンド慶王勝ちという攻めるな
[00:27:43] 予想されてますね最後に聞いてみましょう
[00:27:46] さそれではまず伊沢選手はいえこちら3
[00:27:49] ラウンド判定で牛選手が勝つという予想
[00:27:51] ですがどうですかそうです展開
[00:27:54] はま太郎さんやっぱりレスリングすごい
[00:27:59] 上手になってるし元々組強いのでそこに
[00:28:03] テクニックが合わされ合わさって
[00:28:06] めちゃくちゃ多分テイクダウン取りづらい
[00:28:08] かなとはい思いますでその中で純太郎さん
[00:28:12] 打撃すごい上手なので打撃でプレッシャー
[00:28:16] かけて前出てってでま所々ポジション取っ
[00:28:20] たりキープしたりしながら判定で太郎さん
[00:28:24] が勝つのともう1着の様子はいはいがえ膝
[00:28:31] とかを合わせて形がちする可能性もあるか
[00:28:34] なと思ってますなるほど大田選手のタック
[00:28:37] に対して膝を合わせるとそうですおお
[00:28:39] めっちゃあの純太郎さんの膝で結構病院
[00:28:43] 送りになった人いっぱいいるんでへえあの
[00:28:46] めちゃくちゃ鋭いあそうなんや斎藤豊選手
[00:28:49] とね戦ってと今膝蹴り当たって斎藤選手
[00:28:52] 出血してったことありましたもねでそれが
[00:28:55] 生かされる可能性もあるなと手だうので
[00:29:00] そこもちょっと楽しみですなるほど
[00:29:02] なるほどうんさあそしてえ白川選手はい私
[00:29:07] もえ牛選手が判定がちていう予想なんです
[00:29:10] けどまもうこれも本当にもう難しいですね
[00:29:13] はい難しいんですがやっぱこう牛選手
[00:29:17] っってやっぱオールラウンダーで打撃も
[00:29:20] やっぱうまいんですよねうまいしあのミク
[00:29:24] 君が言ってたんですけどディフェンス力が
[00:29:26] 半端ともうなんかとか売ってももうタイヤ
[00:29:29] 殴ってるみたいな張れ返ってくるみ言って
[00:29:31] たんですあとでディフェンスがほ硬いんで
[00:29:34] まともにこうなかなかパンチを入れれない
[00:29:36] だディフェンス力もあるしで打撃の作り方
[00:29:40] もうまいですしでやっぱ太田選手もう
[00:29:43] 間違いなく低弾取ると思いますク選手から
[00:29:45] これはもう絶対に取ると思うんですがもう
[00:29:48] そこをしいでまたスタンディングに持って
[00:29:50] いってちょっと削っていってだから結構
[00:29:53] 佐藤翔選手との試合に似てるんじゃないか
[00:29:55] なっていうあの圧倒的なさとか絶対ない
[00:29:58] ですも絶対ないしそんな差開く判定も結構
[00:30:02] 難しい試合ないようになると思うんです
[00:30:03] けどうんあのままトータル的に牛選手がま
[00:30:09] 原料の心配もないですしう判定で勝つん
[00:30:13] じゃないかなとはいありがとうございます
[00:30:15] はい広谷選手は実は1点して太田選手の1
[00:30:19] ラウンドKOという予想そうですねまあで
[00:30:22] もほぼ8割ぐらいはま本当ま2人とま同じ
[00:30:27] 意見でま正直ま判定でま負け
[00:30:30] るっていうのが
[00:30:32] まそういう予想ではあるんですけどま
[00:30:35] どちらかと言えばこれ勝敗予想っていう
[00:30:37] よりはま僕としては応援かなっていうま僕
[00:30:39] としてもやっぱ大晦かと同じまメンタルだ
[00:30:43] と思うんでやっぱいろんな人から負け
[00:30:44] るって言われてでもここで勝てるともう
[00:30:47] ほと全然違うのかなって思うんでま応援
[00:30:49] みたいなもんですねちょっとうんうんま
[00:30:52] 一緒練習したこともあるしまそれも入っ
[00:30:54] ちゃってるんでまあれすけどまでもあの
[00:30:57] クラ選手とまやった時みたいに1ラウンド
[00:31:00] でま1発入れてまそのテイクダウンを
[00:31:02] ちょっと警戒してバンて入れて勝つって
[00:31:04] いうことはま全然あるんかなっていう風に
[00:31:06] は考えてるんでうんはいなんでま1ラの
[00:31:10] 京王勝ちかなっと思いますなるほどういう
[00:31:12] どもやろなま太田選手のスタイルは攻める
[00:31:15] スタイルってま決まってるし変わらないと
[00:31:18] 思うんでまだからそこをこ太田選手はもう
[00:31:22] 強引に牛選手のこのディフェンス力を崩し
[00:31:24] ていくしかないすよねもう勝ち筋といい
[00:31:26] ますかうんそうですね
[00:31:29] 練てんも分かなり分析してると思うんよ田
[00:31:33] 選手のことそうするとお前に必要な練習は
[00:31:36] これだっていうカリキュラムが組まれてる
[00:31:38] この期間だった思うです今準備期選はい
[00:31:41] どこが変わるかっていうでも純太郎さん誰
[00:31:45] だっけこの萩原選手との試合してて堀口
[00:31:50] さんがセコンドついてたですけどはい一切
[00:31:54] 言うこと
[00:31:58] 言ってますカリキュラム組んでもそれを
[00:32:01] 全部無視すんのやったこと何も出してない
[00:32:05] じゃんて堀口選手が言って言ってましたよ
[00:32:08] ねえだからそれもまたどうなるのか見れる
[00:32:13] のかやってきた技術がそれではこの後のえ
[00:32:16] 実践技術解説お願いしますが伊沢選手には
[00:32:19] 元同門の内純太郎選手ならこうすると
[00:32:22] そしてえテイクダウンの得意な平谷選手に
[00:32:24] は太田選手ならこうするといった解説を
[00:32:26] ですねこの後見せていただきますえ続いて
[00:32:29] の技術解説はえ牛純太郎選手と大田信選手
[00:32:33] の一戦になりますがまずはえ牛選手の元
[00:32:35] 同門ということで伊沢選手祝選手とちお
[00:32:38] 願いしますはいやっていきますはいまず
[00:32:40] 最初グローブタッチするって確認しますで
[00:32:44] ま安全にやるって言ってタッチして始まる
[00:32:48] とで太田選手がめっちゃタックルくると
[00:32:50] 思うんでそれをちゃんとグって対処して
[00:32:54] そのまま打撃で当てて削って削って
[00:32:57] しっかりあの立ってきた時のあの誰とやっ
[00:33:00] た時倉本選手とやった時のあの離れ際見
[00:33:04] てるんでしっかり離れた後もしっかり固め
[00:33:06] てで打ち返すとかまでやってくと思います
[00:33:09] で流れの中で純太郎さんカーフとか膝とか
[00:33:12] 入れて結構おのたくり行くけど切られちゃ
[00:33:15] うっていうところでパーっ
[00:33:19] てなるほどなるなるそこでパーってやって
[00:33:23] そのまま判定になるんじゃないかなと思い
[00:33:26] ますパが見られるということはい楽しみに
[00:33:29] してますはいありがとうございますさあ
[00:33:31] 続いてえ黒選手太田選手の動きなんです
[00:33:35] けれどもどうですかはいま太田選手ま最初
[00:33:39] までもその牛選手が結構プレッシャーで
[00:33:42] 最初中心取るの牛選手になんのかなってま
[00:33:45] 僕的には思っててまそこがそのなんて言う
[00:33:49] んですかねまもしま真ん中取られたんで
[00:33:51] あれば全然打撃で行った方がいいかなと
[00:33:54] 思ってまでもその代わりそのプレッシャー
[00:33:57] をかけのであればテイクダウン行っても
[00:33:59] いいのかなて思ってフシかけれたらテイク
[00:34:01] ダウンおこうシ選手こうこうガードがい
[00:34:05] しっかり高いのとしっかりあのあのま
[00:34:09] ストレート系も全部ガードできるように
[00:34:11] なってるんでだからここでまテイクダウン
[00:34:13] 1発取れるんかなっていうイメージがあっ
[00:34:15] てでまそれが消えてきたら本当ま下から
[00:34:18] パンパンって上ですねまここもうこれこれ
[00:34:22] かなっていう正直おほうほうほうほま打破
[00:34:25] 方法これしかないんかなっていう風に思っ
[00:34:27] てですねでパーってしてきたチョキ出すっ
[00:34:29] てあ言ってましたね言ってました言って
[00:34:32] ましたまグー出した方がいいです
[00:34:34] 負け
[00:34:38] グじゃんなんかやってる場合じゃ
[00:34:41] ないそもチャンスでパンチだとなるなそう
[00:34:45] ことですねえ牛選手のパワは出るん
[00:34:47] でしょうかもう名物になってますねえそれ
[00:34:49] では牛純太郎選手と大田選手の一戦皆さん
[00:34:52] ご期待
[00:34:56] ください望プレゼンツラジ46勝敗予想
[00:35:01] メインイベントはラジフェザー級タイトル
[00:35:03] マッチです王者鈴木保選手そして挑戦者
[00:35:06] 金原正典選手の一戦ですえ圧倒的な打撃
[00:35:11] 武器に大座を掴んだ鈴木千選手ですがえ
[00:35:14] キックボクシングを主戦上とする期間が
[00:35:16] 長かっただけにえグラウンドの方はどうな
[00:35:19] のかという話も出てきていますえその弱点
[00:35:22] をですねえ当然知る百戦レマの風原選手が
[00:35:26] どのように戦うのか注目の戦がまもなく
[00:35:29] ですえそれでは勝敗予想の前に勝負の
[00:35:31] ポイントを皆さんに伺っていきたいと思い
[00:35:33] ますがまず伊沢選手どうですかそうですね
[00:35:35] まもうこの試合はえうん鈴木選手の勢いが
[00:35:41] 勝つか金原選手のうん頭の切れが勝つかっ
[00:35:45] ていう戦いかなと思いますもうやっぱ鈴木
[00:35:49] 選手絶対1ラウンド目から飛ばしていくと
[00:35:52] 思うのでそこで早期決着してしまう可能性
[00:35:57] もあるいしえっとそこをしっかりと大人の
[00:36:01] 今まで積んできた戦術とかを踏まえながら
[00:36:06] 金原選手がしっかりとその勢いを殺して
[00:36:09] 自分のペースに持ってって自分の試合を
[00:36:12] 作り上げていくかっていうところがもう
[00:36:14] 本当にどっちがその点でまさってるか
[00:36:17] どっちがもう本当に1ラウンド目が
[00:36:19] めちゃくちゃ見所だと思いますもう1
[00:36:22] ラウンド目でペース取った方がそのまま
[00:36:24] 勝っちゃうかなと思いますなるほどなると
[00:36:27] はい白川選手どうですかそうですね僕は
[00:36:31] ですね逆で1ラウンド目はなんか勢いで
[00:36:34] 鈴木選手が飲み込みそうな気がするんです
[00:36:36] よねで2ラウンド目から金原さんの老解さ
[00:36:39] が出てきておで3ラウンド目も金原さんが
[00:36:44] ちょっとこうテクニックで押し切るのかな
[00:36:47] みたいなイメージだったりとかしてるんで
[00:36:49] なるほどうんでも本当にこう鈴木選手は
[00:36:53] 本当も勢いと言いますかもうなんか
[00:36:56] うんうん
[00:36:58] あのもう作能力のあるパンチが武器じゃ
[00:37:01] ないですかあれって相当なプレッシャーに
[00:37:03] なると思うんででやっぱああいう武器が
[00:37:06] あるとミスを犯すんですよね相手が判断
[00:37:09] 判断ミスがうんえうんそういう
[00:37:12] プレッシャーがない相手だったら犯さない
[00:37:14] ようなミスをやっぱああいう殺傷能力の
[00:37:16] 高い1つのミスが命とになるんでそういう
[00:37:20] ヒヤヒヤ感というかそういうもうギリギリ
[00:37:23] なところで試合してるとやっぱ1個のミス
[00:37:25] がこうガっと崩れていったりするうんある
[00:37:28] のでうんだから鈴木選手がそういうところ
[00:37:31] を金原さんからこう取るのかうんはたまた
[00:37:36] 金原さんはもうまそういう試合をもう
[00:37:39] 乗り越えてきてるんでうんまそこをこう
[00:37:41] やっぱ金原さんらしいテクニックで
[00:37:43] 乗り切るのかもうここはもう超見物だなと
[00:37:46] 思っておりますなるほどはい平井選手は
[00:37:49] どうですかこのポイントははいえっとねま
[00:37:53] その金原さんがま本寝かすとちゃうのかな
[00:37:58] て思うんすけどその結構その鈴木千選手
[00:38:02] なんて言うんですかね喋るとまちょっと
[00:38:04] なんて言うんですかままだ若いってのは
[00:38:06] あるんでなんかちょっとおバカキャラなの
[00:38:08] かなって僕最初思っちゃってたんですけど
[00:38:10] でもこのやっぱ試合とかその会見とかの後
[00:38:13] のまトークとかず見ると結構その試合に
[00:38:16] 対する持ってきてる準備してるものが
[00:38:19] すごいいいものばかりでそのプランという
[00:38:21] かで多分そこチームとかも結構ちゃんとし
[00:38:24] てるのかなっていう風に思っててあの
[00:38:25] ケラモフ選手はい
[00:38:29] まそのピット選手とやったもそうしなんか
[00:38:32] そのちゃんと試合にして持っていくもて
[00:38:34] いうのがそのなんて言うんですか傲慢に
[00:38:36] その自分の自信だけじゃないというか
[00:38:38] ちゃんとしたテクニックを持ってその
[00:38:41] プラン立ててあの試合で持って行ってる
[00:38:44] なっていうイメージがあるんでなんか本当
[00:38:46] になんて言うんですかねまオールの全ての
[00:38:50] スキルで言うと金原さんがってるんです
[00:38:52] けどその試合のポイントだけで持って
[00:38:55] いけるんじゃないかなっていううん思っ
[00:38:57] てるですうーんなるほどま私もちょっとね
[00:39:00] 取材させてもらったんですけれども鈴ひ
[00:39:02] 選手って結構本能で戦うタイプのように
[00:39:04] 見えるじゃないですかそうすねでもね結構
[00:39:06] ね相手はこういう癖があるそうなんです
[00:39:10] こうしてきた時にこうするっていうそう
[00:39:12] いうカードをいくつも持ってですよね結構
[00:39:14] 的確すよねなんか僕の試合も解説してくれ
[00:39:17] ててでそれとかも本当なんかあのハイ
[00:39:19] キックが当たるとかってずっと言ってて
[00:39:21] はいあ本当になんかそういうところを
[00:39:23] しっかり見抜ける選手なんだなっていう風
[00:39:25] に思ったのでやっぱなんかそういうところ
[00:39:28] でもちょっと結構楽しみかなっていうのは
[00:39:31] その場の分析力も優れてるんですよねいや
[00:39:32] すごいっすよねうんさあそしてえ金原選手
[00:39:36] はねもう皆さんからの説明ありました
[00:39:37] けれどもやっぱりあの廊下さっていう
[00:39:39] ところが1つの特徴であったりあと
[00:39:41] やっぱりキャリアていうところではねもう
[00:39:43] 50戦やってますからものすごくねえ
[00:39:47] しかもMMAだけじゃなくて一時期あの
[00:39:49] キックボクシングの試合出てますからね
[00:39:51] うんそうなんですよね打撃もめちゃくちゃ
[00:39:53] 強いんですよねこの人はいうんでやっぱね
[00:39:57] はサーボもう抜群に強いですしでもう知識
[00:40:01] もやっぱすごいですしま鈴木選手も
[00:40:03] もちろん分析力もすごいですけどやっぱ
[00:40:05] 金原さんも分析力もすごいですし
[00:40:08] テクニックも持ってますしうんなかなかね
[00:40:12] 難しいすよね同じフェザー級っていう
[00:40:15] ところで言うと金原選手の怖さっていうの
[00:40:17] は白川選手から見るとどうですかああいや
[00:40:21] もうあのシンプルに打撃うまいのに寝技も
[00:40:25] うまいんかいっていう感じですはいも
[00:40:27] シンプルですほんまにでは打撃そんな強い
[00:40:31] のに寝技もそんなに強いんですかあなた
[00:40:34] みたいなおじゃやめてくださいよみたいな
[00:40:36] こんな感じですねうんちなみにあの
[00:40:38] ストライカーとしてのその目線で見ると
[00:40:41] 金原選手の打撃の特徴っていうのはどうな
[00:40:43] んですかああ打撃の特徴だかいや特徴的
[00:40:47] っすよねなんか金原さんのパンチってうん
[00:40:51] 見た目じゃそんなに効かなさそうな見える
[00:40:53] んすけどほほストレートとかまっすぐこう
[00:40:56] スパで力をもう100%伝えてるんではい
[00:41:00] めっちゃ効くんすよねダウン取ってます
[00:41:02] もんね実際にねはい効くしなんかあとその
[00:41:05] ストレートを当てる位取りがめちゃくちゃ
[00:41:07] うまいですよねへえこまっすぐこの自分の
[00:41:10] この線に向かってのこの位取りをこうあ
[00:41:15] こういうなんかこういう構じゃないですか
[00:41:16] 金原さんでなん徐々に徐々にこう前蹴りと
[00:41:19] かキローキックとかでそこを取っていって
[00:41:22] もうそこにたったらスポーンってノー
[00:41:25] モーションで打ち抜くんでうん厄介ですよ
[00:41:29] ね確かにねはいさあそれでは皆さん勝敗
[00:41:32] 予想に移りましょうえフリップえ書いて
[00:41:35] いただいていますえそれでは皆さん
[00:41:37] フリップ
[00:41:39] オープンさえまず伊沢選手がえ金原正典
[00:41:44] 選手3ランド反転しり大座獲得そしてえ
[00:41:48] 白川選手が3ラド1本勝ちでえ金原正典
[00:41:53] 選手が大座ダシュとはいそして選手鈴木千
[00:41:58] 選手が1ラウンド慶王勝利で大座防衛と
[00:42:01] いうですねおえ予想していただきましたさ
[00:42:04] それで
[00:42:05] はもうね広谷選手ね常に違いますねね
[00:42:09] 面白いですねそこら辺も含めて聞いていき
[00:42:11] たいと思いますがまず伊沢選手えこちらの
[00:42:14] 回答至ったあ理由と展開を教えてください
[00:42:17] はい
[00:42:18] えまさっきも色々話してたんですけど金原
[00:42:23] 選手ってすごい相手の嫌なところをつくの
[00:42:26] がすごい上手なんですよで鈴木千選手も
[00:42:31] すごい一緒になんかの番組で一緒になった
[00:42:34] 時にすごいやっぱり分析力すごいあってで
[00:42:40] まこの選手の時はこういう風に戦えばここ
[00:42:43] で勝てるっていうのを確実に持ってる選手
[00:42:47] なんですけど金原選手って結構その自分の
[00:42:51] 穴をどんどんどんどん減らすっていうか
[00:42:54] リスクをどれだけ少なくしながらうん自分
[00:42:57] がこう優位に優位に進められてくかって
[00:43:01] いうゲームの作り方がすごい上手なので
[00:43:04] あんまりそのここなら行けるぞっていう
[00:43:07] リスクを見せ隙を見せずにそのコツコツ
[00:43:11] コツコツ自分の展開に引きずりこんでくと
[00:43:14] 思うのでその見つけてきた勢いを出そうと
[00:43:20] するんですけどそこをうまくいなされて
[00:43:23] 出しきれずに寝技でま片目だったりうん上
[00:43:29] からのまポジションはいキープが
[00:43:32] めちゃくちゃ上手なのでうんパウンド
[00:43:34] コツコツ打ちながらポジション取って移動
[00:43:37] してカカめ行ってで押えながらパウンド
[00:43:41] 打って決めれそうで決めなそうでみたいな
[00:43:45] うんそのじわじわしたいつでも決めれる
[00:43:48] ぞっていうプレッシャーを与えながら
[00:43:50] ポジションキープを長い時間コントロール
[00:43:52] してって勝つんじゃないかなってなるほど
[00:43:55] 打撃の好き多分見せないんじゃないかなと
[00:43:58] ええそれ封じてしまうとおお思いますああ
[00:44:02] そう聞くと確かにその可能性ありますね
[00:44:04] はいうん金原選手だとよりねはいう白川
[00:44:08] 選手どうですかはい
[00:44:10] えあの自分もえまそんな感じもう本当に
[00:44:15] こう似たような感じなんですけどま1
[00:44:17] ランド目は鈴木選手のケスになるんじゃ
[00:44:19] ないかなと思っております勢いとはいはい
[00:44:22] はい
[00:44:23] あのこうえダウンとかも意外に結構
[00:44:28] ディフェンスするんじゃないかなとロープ
[00:44:30] ギアでも多分4つとかめっちゃ強いと思う
[00:44:32] んでディフェンスがあの鈴木選手っって
[00:44:35] うんだから金原さんもうわあちょっと取ら
[00:44:38] れへんなみたいな感じになると思うんです
[00:44:40] よね1ラウンド目で逆にこう鈴木選手が
[00:44:44] こうプレッシャーを与えていって金原さん
[00:44:46] がちょっと下がるシーンだったりとかえ
[00:44:48] そういうシーンが多い1ラウンド目で2
[00:44:51] ラウンド目からその打撃を打たしてからの
[00:44:55] 金原さんの同タックルうんタックルで結構
[00:44:58] やっぱクレモ選手からももうスコンて鈴木
[00:45:00] 選手あの手段取られてたんでそういう
[00:45:03] ドンピシャのタイミングで入られるテイク
[00:45:05] ダウンの反応ってちょちょっとこうまだ
[00:45:07] 対応不足なのかなと思ったりするんで
[00:45:10] テイクダウン取られると思うんですよい
[00:45:11] テイクダウン取られたら
[00:45:13] 多分なんもこうそっからのあ何もちょっと
[00:45:18] できないんじゃないかなと金原さんにうん
[00:45:21] で2ラウンド目はまそれでもあの凌ぐと
[00:45:24] 思うんですよねうんうんで3ラウンド目も
[00:45:26] 同じの展開になってでもう3ラウンド目の
[00:45:29] その片方め僕は決められないんじゃなくて
[00:45:31] 片固めであの決めちゃうんじゃないかな
[00:45:34] はい3ラウンド目にっていう予想すねでも
[00:45:38] 鈴木選手も勢あす強いし
[00:45:42] あのこう絶対こう見せ場て絶対作ると思う
[00:45:46] んですけどうんはいもうなんだかんだ
[00:45:48] やっぱこう3ラウンド目にこうもうもう
[00:45:51] はあはあ言いながら片目もう金原さんが
[00:45:53] 決めるんちゃうかなと思ってますうんお
[00:45:55] はいなるほどはい1本がちはいねさあ
[00:45:59] そしてえ鈴木千選手をはいえ予想した勝者
[00:46:04] として予想した広選どうですかいや稲妻
[00:46:08] 落とすんじゃないですかねお思ってるです
[00:46:10] はいまそのなんて言うんですかねやっぱ
[00:46:14] なんて言うんですかねそのま最近の鈴木千
[00:46:18] 選手の体もそうなんすけど見てて多分
[00:46:20] だいぶ変わってるんですよあの筋肉量がも
[00:46:23] すごい変わっててま動画で僕見てたんです
[00:46:26] けどまだい
[00:46:27] フィジカルが多分強くなっててテイク
[00:46:29] ダウンディフェンス能力すごい上がってる
[00:46:31] んじゃないかなっていうのとまリングで
[00:46:33] やるんでまその分ちょっとテイクダウン
[00:46:35] ディフェンスしやすいんじゃないかなって
[00:46:37] いうのがまやっぱあってでまどういう風に
[00:46:40] テイクダウン来るかっていうのも多分ある
[00:46:41] 程度考えてると思うんでまそのうん点も
[00:46:45] そうですしま1発入れたら結構その金原
[00:46:49] 選手と同じで嫌なところを見つけるのが
[00:46:52] すごく早い選手なのかなと思っててはい
[00:46:54] ピットブル選手とま試合したも入れた時に
[00:46:57] もう聞いてるのがすぐに分かってまそこ
[00:46:59] から作って行ってまとめて倒したっていう
[00:47:02] 感じだったんであれは結構豪快に倒してる
[00:47:05] ようでましっかりちゃんと入れたところ
[00:47:07] しっかり確認してま抑えるとこ抑えてま
[00:47:10] 作ったKOOなのかなと思っててうんうん
[00:47:12] まその今回ま何が1番かって言うとやっぱ
[00:47:15] フィジカルがすごく変わってんのかなって
[00:47:18] いう印象があるんでま公開経のあの公開
[00:47:21] 練習の時のまミッドであったりとかまそう
[00:47:24] いうのを見てまそこがちょっと1番なんか
[00:47:27] まそれまでは僕金原さん勝つかなっていう
[00:47:29] 風に正直思ってたんですけどまはいうん
[00:47:32] やっぱ結構フィジカルで変わるのかなって
[00:47:36] いう風にまこの試合思っててうんまその
[00:47:39] 年齢の差もありますしまそこが見所かなっ
[00:47:42] ていうまそういうところで僕1ラウンドで
[00:47:44] 敬するんじゃないかなっていう風に思って
[00:47:46] ですうんそういうことですねじゃ最新の
[00:47:48] あの肉体を見た上でもそういう判断が
[00:47:50] できるとはいいうことなんですね今平谷
[00:47:52] 選手からの解説がありましたけれども白川
[00:47:54] 選手どうですかいやも全然その展開もある
[00:47:57] と思ってますだけどあしかもその金さん
[00:48:00] やっぱりこうこんだけの戦歴ですからうん
[00:48:02] やっぱ年齢もありますし絶対打たれ弱く
[00:48:05] なってるんですよね絶対に絶対れ弱くなっ
[00:48:07] てるしそれに鈴木選手の左フックとか
[00:48:10] 当たっちゃったらもう結構こううんダウン
[00:48:15] してるイメージとかも全然湧くんですけど
[00:48:18] うんですけどって感じですねですけど
[00:48:22] やっぱ金原さんもそんなにうん打撃の
[00:48:26] ディフェンとかも全然そのもろくないです
[00:48:28] から
[00:48:29] はいそうすね
[00:48:34] まあ鈴木選手がその見ばあるって言ったの
[00:48:37] はもうそ絶対聞かすっていう展開は絶対
[00:48:40] あると思うんですけどまそれでもこう金原
[00:48:42] さんがはいうんうん勝ち切っちゃうんじゃ
[00:48:44] ないかなっていうこの予想は変わりません
[00:48:46] なるほどはい伊沢選手どうですか平井選手
[00:48:49] の話を聞いてそうです
[00:48:52] ねま正直もうどっちもうんあるな予想はし
[00:48:58] てるんですけど自分はあの金原さんの大人
[00:49:03] の魅力がとても好きなので個人的にね
[00:49:07] なるほどね個人的試乗ねそれ
[00:49:09] オケーなので金原さんが勝つという予想は
[00:49:14] 変わりませんはいそうことですね変わり
[00:49:16] ませんでしたねまでもそうするとあのま
[00:49:20] 今回ね予想は金原選手じゃないですかはい
[00:49:22] はいでまたチャンピオン変るってことに
[00:49:24] なるわけですよ確かにうんはいラジ
[00:49:27] フェザー級のベルトっていうのはどうなっ
[00:49:29] てくんですかねはい予想これからどうなっ
[00:49:32] ていくでしょうね白川選手だって目指し
[00:49:35] てるわけじゃないですかあそうです
[00:49:36] もちろんはいどうなってくと思どうなって
[00:49:38] くでしょうねなんかまあそうすね来年
[00:49:40] あたり僕が巻いてんじゃないですかねはい
[00:49:43] どういう風にこう自分の中で誰とやっ誰と
[00:49:47] やってどういう風笑い方が悪いかしあの
[00:49:51] いやこ未来をソズ未来をソだ白川選手は誰
[00:49:54] を倒してて大を掴んでる自分はいイメジて
[00:49:57] のがあるそうすねちょっとまXでも
[00:50:00] ちょっとこうアピールしまししたんです
[00:50:01] けどちょっと真島選手やっぱ実力者で
[00:50:05] やっぱイシ銀な感じのああいう選手をまあ
[00:50:08] 倒していて本当にこうフェザー級前線と
[00:50:12] コロコロ変わっていくと思うんそう誰が
[00:50:14] こうチャンピオンになってもはいおかしく
[00:50:16] ないおかしくないしでその外人選手も冒頭
[00:50:19] で喋ったように入ってくるじゃないですか
[00:50:22] もしかしたら外国の選手がベルト巻いてる
[00:50:25] 可能性もありますし
[00:50:27] だからま次もしかしたら僕外国の選手かも
[00:50:30] しれないですしそう分からないですしでも
[00:50:32] はいそうですね勝ち続けていってうーま
[00:50:37] 金原さんがベルト巻いてるんやったらまあ
[00:50:39] 金原さんに挑戦したいですしうんはい防衛
[00:50:43] した人っているんですかあの牛選手が1回
[00:50:45] あの斎藤選手リッチでリマッチで
[00:50:48] ダイレクトリマッチでねも防衛はその後
[00:50:51] ないんですよもう変わってますよねロコね
[00:50:53] 当こんなに変わる階級ないすよねそうっす
[00:50:56] よねレベル選手がね絶対政権気づくのか
[00:50:58] なって思ったじゃないですか確はいさんが
[00:51:01] 来てそしたらまさかのはい大場バがあっ
[00:51:04] たっていう大座剥奪っていうねもうほっと
[00:51:07] このフェザー級のチャンピオンベルトだけ
[00:51:08] はわからない確かにもしかしたらでも僕
[00:51:11] フェザー級じゃなくてもしかしたら
[00:51:12] バンタムに落とすかもしれないですから
[00:51:14] またそういう流れになってくるもう萩原
[00:51:17] 選手がバンタム急に落としててでしかも
[00:51:20] 武田選手はライトからフェザー系落として
[00:51:21] て今なんか大ブームになってるじゃ原回変
[00:51:26] 階を落とすブームになってるじゃないです
[00:51:28] かはいはいそうすねえバンタムいけます
[00:51:30] いや僕元々適正バンタムなんでだからなん
[00:51:33] でフェザーにしたかていうとその雷人仕様
[00:51:36] にしたんですよねフザにしたのは雷人って
[00:51:38] 結構やっぱ急遽なオファーが多いですし
[00:51:41] やっぱこの前みたいにこう急にみたいな
[00:51:44] チャンスも取りこぼさないようにあの
[00:51:48] フェザー仕様にしたんでだから実質僕
[00:51:50] バンタムの人とあんま変わんないで通常
[00:51:52] 体重へえあそういうことですかから
[00:51:55] ちょっと結構迷てね僕も言うてもう33な
[00:51:58] んでもうゴールもま最終勝じゃないですか
[00:52:03] 言うたらえ今いくつですか33なんで
[00:52:05] まだまだです
[00:52:07] まだまだすいませんあの無責任なこと言無
[00:52:09] 責任なこと言いましけれどもさあという
