[00:00:01] せーの。
[00:21:57] デリカシーな発言いっぱいしてるから。
[00:21:59] あ、デリカシー持たなきゃだめだよ。そこは大
[00:22:04] やってくれたっていいやん
[00:22:05] ね。めっちゃ見たい。大さんがどんな感じなるか知らないし。俺顔も知らないし。
[00:22:09] そう南さんとかね。ま、川じさんとかそうそうたのメンツの中に大使って言たかったんですよ。
[00:22:14] いや、素晴らしい。
[00:22:15] 大使の人事実生聞きたかったし。
[00:22:17] うん。ああ、深掘り見たい。
[00:22:18] はい。
[00:22:18] そんな再生数伸びないだろうけどね。
[00:22:20] テンプレヤーをオープンさせるまでの道のりテンプレオープンさせた。
[00:22:24] 大阪で
[00:22:25] はい。
[00:22:25] 僕のメンバーシップを送り込んだこともあるんですよね。
[00:22:27] へえ。
[00:22:28] たけってます。あのテキラを共容する最近奥田って名前に解明したんですけど苗字にはい。もう滝ははい。もあの白としました。
[00:22:36] で奥田が
[00:22:37] うん。
[00:22:38] 10
[00:22:38] 代のやつ連れて僕のメンバーシップの連れて行ったんですけどもうねオープン結構してすぐ
[00:22:44] ま何ヶ月か2
[00:22:45] ヶ月しか経ってない頃ぐらいと思うんすけど行ったんすけど
[00:22:48] 大使はもうすにおらんかったと。
[00:22:50] へえ。
[00:22:51] 週末だけ出るみたいなスタイルで。は
[00:22:53] みんなそうなります。印象。
[00:22:54] だっての店って売り込んでるわけじゃないでしょ。さんの店って売り込んでジョビンさんいなかったあれだけど別に大使さんはオーナーだから別にいてもいいなくてもいいんじゃないの?
[00:23:04] まあでも大使にはいくる人もいるんじゃないですか?そメ
[00:23:07] そんな影響力あんの?
[00:23:08] はい。
[00:23:09] ただの一般人じゃないの?
[00:23:11] まあね、まあてかま、別に戦かってもいいと思うけど
[00:23:14] うん。
[00:23:14] あ、そうなんだ。
[00:23:15] はい。て言ってましたけど大は会えなかったんて。え、会えなかったんだ。
[00:23:19] 僕たできんなんですかね。
[00:23:21] いやいや、いっぱいお金使ってくれるだろうから。
[00:23:24] むしろとかちゃんとか連れて
[00:23:26] 確かに
[00:23:27] 行ったら喜ばれんじゃない?
[00:23:28] いいですね。
[00:23:29] うん。
[00:23:29] 天下も行きづらいんですよね。
[00:23:31] そから天下は行ってくださいよ。
[00:23:33] いや、1回行ったことあるんすよ。
[00:23:34] あ、そうなの?
[00:23:35] 今行ったらどうなるんでしょうね。
[00:23:37] いや、それは喜ぶでしょ。
[00:23:38] 喜びませんと思う。
[00:23:40] 帰ってくださいって言われる。
[00:23:42] 今たらへこみますね。
[00:23:44] いや、そんなことない。そんな薄っぺならくないでしょ。
[00:23:46] はい。
[00:23:47] 朝倉さんは
[00:23:47] ブレイキングダウンのあの福岡大会もちょっと誘われちゃって僕
[00:23:50] 1人チケット買って一緒に
[00:23:52] ええ
[00:23:52] はい
[00:23:53] 行くんだ。
[00:23:53] まり子さんっていう僕は超絶お世話になってる方に
[00:23:56] ただ僕金食らってるんでどうなんのかなって私チケット買って行った。
[00:24:00] あ、豪華まで行って入れなかったら受けるね。
[00:24:02] X
[00:24:03] でみ口さんメンションして行きたいんですけど、この辺行ったらどうなるできんですかねって言ったらどうなるんすかね。
[00:24:09] あ、今やってみる。
[00:24:10] なんか喧嘩してましたね、そういえば。
[00:24:11] あ、喧嘩してないですよ。
[00:24:12] み口さんの友達みたいな人めっちゃ言われて俺あんだけさ
[00:24:19] 向こうから頼まれてさ、
[00:24:21] あの頑張ったのにさ、ジャッちもうすごい
[00:24:24] はい。
[00:24:25] あれな、縁の切れがあれなんすね。
[00:24:28] 僕もです。僕なんか3000
[00:24:29] 万行かれてます。僕も頼まれて震災やって。
[00:24:31] そうすよね。
[00:24:32] ま、関係ないですね。そういうの
[00:24:34] 関係ない。川かさんの方から余計なこと言いまくってたもん。それはしたの気持ちもわかる。
[00:24:40] いや、俺はみくるさんの力に慣れたらと思って、なんか俺もリスクあったけど色々やったんだけど、あ、そういうの全部ないんだなと思って。
[00:24:48] いやいや、俺の動画で俺が公開したっていう責任もあるすけど、そのギャラが下がった話とかでさ、それはみさんが怒ってでも仕方ないと思うっすよ。
[00:24:58] あ、そっかそっか。あれだいぶ広まってびっくりしたね。
[00:25:02] そんな意図なかった。面白いかなと思った。
[00:25:05] やっぱXって広がるっすよね。
[00:25:07] うん。すごいね。
[00:25:08] はい。
[00:25:08] まあまあまあまあ。
[00:25:09] はい。けど続気になりますね。
[00:25:11] 1
[00:25:12] 回だから今メンションしてみればいいんじゃないです。思い立った即でしょ。
[00:25:15] みさん福岡
[00:25:17] みやんで行こうかな。ちょっと下りやすいからさんみやん。
[00:25:20] 水やどうすか?いいすか?
[00:25:22] 行きたいんですよね。
[00:25:23] え、もうチケット買ったんでしょだって。
[00:25:25] いや、悩が行くなら僕のこさんが買ってくれるんでしょ。
[00:25:29] そうす。
[00:25:30] うわあ。
[00:25:31] で、うちの女の子も行こうってなっ。
[00:25:32] おお。それで序さんだけできんだったら厳しいね。
[00:25:36] はい。
[00:25:36] どう無理なんですかね?ま、無理で無理なことは無理やり俺も通さないし行ったりとかそんなつもりはないですけど。
[00:25:42] いや、さすがにファンとして行くのはいいんじゃない?それだけジョビンさん
[00:25:46] YouTube
[00:25:47] で取り上げてんのジョビンさん第
[00:25:49] 1任者でしょ。ブレイキングダウン
[00:25:51] ね。
[00:25:52] それでみんな知って興味持ってもらえるわけだからね。
[00:25:54] 行きたい気持ちもあるんですけど。ま、
[00:25:56] ね、ちょっと検討してみます。ま、どうなるのかわかんない
[00:26:00] ね。え、どうなるのか。
[00:26:02] はい。
[00:26:03] ま、いいや。
[00:26:03] で、とりあえず金太郎と田ブは
[00:26:05] ええ、マジでわかんない。ジョンさん結局結論出てないのか?
[00:26:08] いや、本当にわかんない。ジョビンさんの意見聞かしてください。
[00:26:12] 僕金太郎が前に行ければ金太郎行ける気がするんですけどやっぱ下がっちゃって大田シのブが組みやすくて組んでテイクダウンして下から足感とかサブミッションとかするけど大のがしいで
[00:26:24] うん。
[00:26:24] まあ、若干私のぶって感じの判定がつい。
[00:26:28] あ、
[00:26:31] なんか、あ、それちょっといいすか?
[00:26:34] はい。
[00:26:35] 金太郎って前もっと腰が重くなかった気がするんですよ。
[00:26:38] え、今そうでもない。
[00:26:39] あの、韓国人ヤジオ線でめっちゃ手奪われてのが気になったんですよね。
[00:26:44] 確
[00:26:46] あの中国人のところまでやった時ってなんで下になったんでしたっけ?上から行ったのか。
[00:26:50] あれ案されてパンド打たれ。
[00:26:52] そうですよね。でも
[00:26:53] パンド打たりそうなとことあったっけ?うん。
[00:26:56] ですよね。なんかま、でも寝技に持ち込まれても自信があるっていうのもあるかもしれんけど。
[00:27:00] あ、蹴リをキャッチしてテイクダウンされたんだ。
[00:27:03] 蹴リをキャッチされて
[00:27:05] なんか前はもっとグレシリ強いイ。
[00:27:07] 確かテクダウンディフェンス強いイメージだったけど確かにヤンジオ戦テイクラン再生なんだけされてるんだと太田にはされると思うんすよ。
[00:27:13] ああ、なるほど。
[00:27:15] はい。
[00:27:16] だ、太田選手のコンディションメンタル次第ですよね。
[00:27:19] そう。
[00:27:19] ただ上取られたからって別に何もされないと思うけど、その明確なことは。
[00:27:23] ああ、ガブリ膝とかさ。
[00:27:27] そうっすね。
[00:27:28] き上がりはガブリ超得意じゃん。グレ
[00:27:30] まだ膝が片方我してるから片方の膝しか打てない。
[00:27:33] そんなの関係ある?
[00:27:35] あるでしょ?全十字怪我してる。
[00:27:37] 踏ん張るのはあれだけローとか食らった間だけどさ、自分が膝打つのは関係なくない?
[00:27:41] 蹴ろという気にならないの?
[00:27:43] 全十字ってこだよ。だってここ関係なくない?
[00:27:46] いや、ちょっと当たるだけでもやばいでしょ。
[00:27:48] マジで
[00:27:49] 外れたりすんのかな?ずれたりすんのかな?
[00:27:51] 僕なら怖くて蹴れない気がします。
[00:27:53] ええ?いや、自分が打つのは関係ないような気がするけど。そうなのかな。ちょっとわかんない。なったことないから。
[00:27:58] すいません。川じさんの結論は
[00:27:59] ええけどそれ聞いちゃうとやっぱ
[00:28:01] そんな別に僕に影響される必要はないですよ。
[00:28:03] いや、影響っていうか確かにと思って
[00:28:06] ごもっとも
[00:28:06] 見てるでしょ。格闘技ちゃんと
[00:28:08] それを考えると
[00:28:09] うん。
[00:28:10] 確かに太田選手ですよね。
[00:28:13] え、でもじゃあ金太郎だったってことですか?前は。
[00:28:15] いや、だからコンディション良ければ
[00:28:17] 太田選手は普通に勝つと思うけど、それがわかんないけど、
[00:28:21] だから最近の金太郎選手見てたらテクランされてるなと思って、俺はずっとテイクランディフェンスは強いんでそう思ってたけど
[00:28:27] それを言われてあ確かここ
[00:28:29] 2戦されてるわと思っ
[00:28:30] もちろんヤンジオンが強いのもあるけどじゃあヤンジオと同っちがレスリング強いかそれ絶対思ったじゃないですか。
[00:28:35] うん。うん。じゃあ大野選手の判定がもう
[00:28:39] 変えたら完全に
[00:28:40] いや、変えてないよ。迷ってたの。
[00:28:42] マジでわかんないな。
[00:28:43] ここで良かったんじゃないかな。
[00:28:44] いやいや、マジでわかんないな。
[00:28:46] 金太郎選手と思ってなかったけどマジで読めないけど、それを見ると確かにテクランされそうだなと思った。
[00:28:53] でも金太郎が下になろうがそっからの寝技の金太郎の決めとかもあるかもしれからそこは楽しみですけど成長してると。
[00:28:58] ああ。
[00:29:00] いやけどさすがに下から取られそうな感じしないけどね。太田選手のフィジカルあれば。
[00:29:04] まあね。
[00:29:05] ぶっこ抜きそうじゃん。ま、前はね、腕じとか取られてたけどさ。
[00:29:09] うん。大選手すね。
[00:29:10] これ負けた方厳しいっすね。
[00:29:12] 厳しいね。
[00:29:12] から見る方面白いですけど。
[00:29:14] うん。これ厳しいよね。
[00:29:15] ね。
[00:29:16] ちょっともう正直来人トップどころもう
[00:29:20] 1回行くのは時間かかるよね。
[00:29:21] そうですね。
[00:29:22] うん。はい。
[00:29:24] で、お互いけどいい勝ち方すれば一気に
[00:29:26] そうすね。
[00:29:27] ジャンプアップできんじゃん。2
[00:29:28] 人とポテンシャルめっちゃ高いすからね。
[00:29:29] 金太郎選手がマジで太田選手をけようとかしたら一気にバンタム級トップ先制行けんじゃない?
[00:29:35] そうすね。
[00:29:36] うん。太田選手はも元々そういう評価あったしね。はい。
[00:29:39] うん。
[00:29:40] 分かりました。
[00:29:40] はい。
[00:29:42] じゃあラスト。これさんがなんか譲ってくれまして
[00:29:45] はい。いや、もうそれジョビンさんお世話になってんで。
[00:29:47] はい。そのボクシング考えられないですけど。
[00:29:50] ボクシングファイター
[00:29:53] はないんってボクシング素人がね
[00:29:56] ボクシング取っちゃったけど
[00:29:59] はい
[00:30:00] のモフ
[00:30:00] の地モフ対ルイスグスタボ
[00:30:02] いやあれそうじゃない
[00:30:05] はい割れないでしょ
[00:30:08] えもでしょ割れたグスタボ
[00:30:14] マジっすか?
[00:30:15] え、ちょっと待って。
[00:30:17] ああ。いや、でもこれわからんと思。
[00:30:18] 俺これ勝敗予想どっちにしたっけ?
[00:30:21] え、
[00:30:22] ユネクストの全然覚えてないけど現逆だったらごめんね。俺はグスタボだと思う。
[00:30:30] おお。しかもちゃんと名前言えてるじゃないですか。
[00:30:33] あ、言えてます。もちろん。今日、
[00:30:35] もうちゃんと染みついてるんで。グスタポが。
[00:30:36] いや、今日この今日コメントでグスタポってまた言ってたよってコメントが来たから。
[00:30:40] もうグスタポ。うん。
[00:30:42] あ、でここ割れてよかった。じゃ、ここですね。ここの
[00:30:45] 1試合にしましょう。
[00:30:46] だって梅のた大嫌いといそんな自信ないしここ。そう。
[00:30:49] あ、
[00:30:50] マジっすか?
[00:30:51] え、俺グスタポをグスタポだったよね。大事なところでバカ。俺のバカ。
[00:31:00] もう大事なところで今絶対言っちゃダメなとこ。言っちゃダメなとこ。絶対間違っちゃダメなとこだったら今恥ずかしい。
[00:31:08] 顔見られた真っ赤になって
[00:31:10] 全然スタバが勝つと思うんですか?
[00:31:11] いや、これはやっぱり総合力の字モフ見えなくない?フェザーキ選手すよ。ま、そ
[00:31:19] 確かにね。まず体重差はありそうすよね。
[00:31:21] フィジカルさもあるし。え、俺どっちにしたんだっけ?全然覚えてないや。小そ俺現時点でグスタボだと思うけど。
[00:31:33] う。それだら面白い。
[00:31:35] フィジカルさあるし。
[00:31:37] うん。
[00:31:38] なんか今までライト級でやってきた実績もそうだし、ま、連敗してたけどさ。
[00:31:43] はい。はい。
[00:31:45] ま、この前の桜場戦も含めてさ
[00:31:48] はい。
[00:31:49] ま、やっぱりなんかあの勝ちで昔みたいな前に行ける
[00:31:54] はい。
[00:31:55] 圧かけられるグスターボになって
[00:31:57] はい。
[00:31:58] その圧にやっぱ、ま、元々フェザー級のファイターだから
[00:32:01] はい。
[00:32:02] なんか下がっちゃうかな。パンチもらっちゃうかなみたいな。
[00:32:06] はい。
[00:32:06] で、俺は判定でかな?グスタボかな?
[00:32:10] KO
[00:32:10] もここの島フっていう多分意見多いと思うんすよ。なんか幻想あるじゃないですか?サトシに買った一応あるけど形であろうか
[00:32:17] 正直あれはまあまあこれ言っちゃうとあれ運的な要素もあったのかなと思う。
[00:32:25] はい。
[00:32:26] でも
[00:32:26] えだって
[00:32:27] はい。
[00:32:28] あれあれだよね。
[00:32:30] 山本空
[00:32:33] にあれ手くされてなかったっけ?
[00:32:37] 山本ソ空にされそうだった気がされて
[00:32:39] されそうだったのかいや結構
[00:32:42] 一瞬されたからまあでもちょっと技の展開ほとんどなかったもさ
[00:32:45] うんそうだね最終的にはケ用してるから
[00:32:49] いや僕でもあでもこれ僕これちゃんと見たいな改めてあのアゼルバイジャンでの試合
[00:32:56] みたいなこれが結構最高になる気がする
[00:32:58] あの相手がね
[00:32:59] ううん。
[00:33:00] むしろあの相手が注目だったんだよね、確か。
[00:33:03] あ、そうなんですか。
[00:33:03] うん。
[00:33:04] 世間的には
[00:33:06] それそれに勝っちゃったんでね。
[00:33:08] うん。
[00:33:08] いや、でもね、打撃をもらうイメージがないんすよ、そもそも。
[00:33:12] ああ、
[00:33:12] 距離感的に。
[00:33:14] で、
[00:33:14] そっか。ジム、
[00:33:15] あの、結構前のみりでグスタも来るじゃないですか。
[00:33:18] はいはいはいはい。
[00:33:19] で、あの、2
[00:33:19] すぐるを仕留めたような前蹴りとか膝ってめっちゃ脅威になると思う。グスタボからしたら。
[00:33:25] うーん。
[00:33:25] あのカウンターもめっちゃ危ない気がする。
[00:33:29] え、俺グスタポもらわないと思うけど、もうだって言った
[00:33:32] グスタポ
[00:33:33] もうだからもういいんです。
[00:33:34] え、ボって言ったって今
[00:33:35] ポって言いました。
[00:33:36] 言ってません。
[00:33:37] でか、僕もいいんすよ。僕ね、ローソすんのめんどくさい。もうポでいいんすよ。
[00:33:42] いや、ボディぼだから間違えても指摘しないでめどくさい。
[00:33:47] もうどっちでもいいって両方ありってことにしよ。
[00:33:50] 両方ありの時もポの視聴者も気になると思う。別にいいすよ。
[00:33:53] ポの時もポの時もあるよ。
[00:33:55] いや、でも川を諦めないでって前言ってたじゃないですか。
[00:33:58] ああ、確か
[00:33:58] だから僕はもういいですもあったけど諦めないて言うからボの時もポの時もある両面持ちで
[00:34:05] 両面持ち2
[00:34:06] つの名前があるとグスタポとグスタポ
[00:34:08] ある両方あるわかりました
[00:34:11] ね。うんでも伸びるし主も不が伸びると思ないですか?グスタボより
[00:34:17] うん。リーチは長そうだね。いやけど俺あの前蹴りとかはグスタボは食らわないと思う。
[00:34:21] おお。
[00:34:22] もうそれはだってさもうせキャリアがあるじゃん。
[00:34:26] 俺そんなことないと思うな。
[00:34:28] あれはま、2
[00:34:28] 位選手はカーフからの同じ軌道であれってやつでしょ。
[00:34:31] そう。桜場にめっちゃ蹴られてたもん。剣
[00:34:34] の対応がいいようにはごなかったっす。ま、桜場がいいのもあるすよ。
[00:34:37] 左効かされてたね。
[00:34:38] はい。膝も
[00:34:40] 確かに
[00:34:40] 桜場に
[00:34:41] 確かに
[00:34:42] 聞かされてたし蹴リの対応良くなかったもん。
[00:34:44] 確かにボ
[00:34:45] のモフの方が蹴りより早いしすごいと思うんすよ。
[00:34:49] けどあれはさ、グラップラーとして見てる桜場が蹴ってきたから当たっただけでさ、お互いストライカーだと思ったらさ、
[00:34:56] うん。
[00:34:57] 対応しそうじゃない?クスターボ
[00:34:59] でもうさミ戦とか前の試合見た蹴りまくってるから対応すると思うんすけどね。
[00:35:04] なんかね、
[00:35:06] あのバンダリーシーバって無え隊のイメージあったけど無え隊のイメージ全くなくないですか?グスタ
[00:35:10] ああ、
[00:35:11] ボクシングって感じなんですよ。ま、ケリもやらんことないけど。
[00:35:14] シはそうだね。無え隊だよね。首、
[00:35:16] 組とかも一切やらんし。
[00:35:18] 確かに
[00:35:18] なんかパンチのイメージしかないんですよ、グスタボって。
[00:35:22] で、やっぱのジモフの蹴りに僕対応できない気がす。まず
[00:35:25] へえ。
[00:35:26] 蹴りの方がより遠いじゃないですか。
[00:35:27] のモフの評価超高いね。
[00:35:29] 超高いす。
[00:35:30] いや、俺フェザー級では高いよ。
[00:35:31] はい。
[00:35:31] フェザー級ではトップだと思うけど、俺級差があるから
[00:35:34] はい。
[00:35:36] そこまでライト級では高くないな。
[00:35:38] でもタイとタ、あの、BAN
[00:35:40] の時も言ったけど、どんな形で平タ郎って言いそうだ。
[00:35:45] あ、びっくりした。
[00:35:46] 大平対バンドっても言ったけど、どんな形でもチャンピオンになるって普通じゃないと思って。持ってるし強いとかバが担当で買ったの。
[00:35:54] サトシってもう世界最強の一角で僕は思ってるんですよ。
[00:35:57] UCを含めてもそれにあの
[00:35:59] 1
[00:35:59] 回勝負で切りを当てたっていうのが普通じゃないと思うんですよ。もうめっちゃ持ってる強いと思うよ、僕は。
[00:36:05] 確か確かにその理論でいくとそうだね。だし俺もそう思ってできないじゃない。サトしにする。
[00:36:10] 突然じゃチャンピオンになんないね。
[00:36:12] グスタボ負けてるじゃないですか。
[00:36:13] はい。
[00:36:14] 中村太郎もそうやし、ま、早々のメンツが負けてきてるじゃないですか。
[00:36:18] はい。はい。
[00:36:18] それに買ったんすよ。どんな形でありまぐれと言われようが確かに
[00:36:22] そこの強さってあるんすよ。で、メンタル的にもそういうやつって
[00:36:25] うん。
[00:36:26] 強い証足より強くなってと思うよ。
[00:36:28] ああ、確かに変えるのあり。
[00:36:33] まだうまくない。
[00:36:34] 実績ないくせに喋りばできるでしょ。
[00:36:36] そのあれがうまくない。
[00:36:38] プレゼンが。
[00:36:39] はい。喋るはやっぱ
[00:36:40] 確かにって思った。
[00:36:43] そりはそうだよ。
[00:36:44] 実績だけ。
[00:36:44] マジマグレでチャンピオンになれるわけないよ。
[00:36:47] どんな形でもやっぱそっはすごいって。
[00:36:51] そっか。
[00:36:52] で、まずね、あれを普通のメンタルだったらのジモフと
[00:36:57] あのト手を見せられた後のジモフにパンチで行くの怖くないですか?打撃で行くの?
[00:37:01] ああ、
[00:37:02] あの膝を
[00:37:03] だってもうすでに自分の前で見せられてるようななんか自分試合中に見せられたような躊躇しちゃうと思うんすよ。
[00:37:09] まあま、グスタもある程度行けるかもしれんけど、
[00:37:11] 俺ああいうスタイル慣れてると思うんだよな。グスタバ無隊系。
[00:37:15] う、いや、でもやっぱ桜場の蹴りは対応できてなかったですけどね。
[00:37:18] けど、ま、桜は無名隊じゃないじゃん。で、野村も無名隊じゃないじゃん。
[00:37:23] で、野字も不衛隊じゃん。
[00:37:24] はい。
[00:37:25] で、シュートボクセじゃん。
[00:37:27] で、
[00:37:28] リマとかいるわけ。ダグラスリマだっけとかチムでしょ。無え隊系めっちゃ慣れてると思うんだよね。俺
[00:37:34] はい。かな。あ、
[00:37:35] で、ま、野村選手苦戦したのはだから全然無え隊系じゃないじゃん。桜選手も全然無隊じゃなくない?ま、蹴ってきたけど。
[00:37:43] ま、ま、でも同じようなスタイルであるんだ。蹴リには対応できてなかったっていうのは僕は。
[00:37:48] だからの野島のスタイルは結構対応できると思うんだよね。だから前蹴りとかもらわないだろうし。
[00:37:54] いや、でもクラボ場の膝がすごかったけど、あ、でくらってあそこまで効くのだったら終わらせると思てみれば確か思いっきり天みたいもら
[00:38:03] だってサに一発勝負で膝当てんのってマジ難しいと思うすよ。タックルに合わせてそれをやった男なんで
[00:38:10] 確かに確かに
[00:38:11] うん
[00:38:12] めっちゃに落ちる。
[00:38:14] はい。僕グスタブに膝合わせるんでそこまで難しいことと思う。だまっすぐ来るから。
[00:38:18] ああ、
[00:38:19] タックルに膝合わせるよりは難しくないと思う。
[00:38:22] ただ悲行く時ってパンチもちょっと危なかったりもするんですけど膝蹴る方もだからそのカウンターで逆にパンチフックもらって
[00:38:29] K負けもあるとは思うけど
[00:38:30] アーネストホーストそれで負けてるよね。
[00:38:32] そうね。
[00:38:32] あ、じゃない。ピーターツだ。ピーターツ。
[00:38:34] え、でもアスネストもなかったっけ?そ、
[00:38:36] そうだっけ?ピーターアーツ。それで負けてるよね。
[00:38:37] 1回天
[00:38:39] わかんないけど。天下顔に思いっきりパンチ合わされて。
[00:38:42] それありえるね。
[00:38:43] うん。
[00:38:44] いやあ。で、そう言うともう確かにもフだなって思っちゃうよな。
[00:38:49] で、値技の展開は多分ならないでしょ。
[00:38:51] く行くと考えてないんで。
[00:38:53] うん。
[00:38:53] もう帰なしですからね。
[00:38:55] え、まだありでしょ?まだ正
[00:38:56] いやなしでしょ、これ。
[00:38:58] いや、さっきあり、さっきありって言ってたじゃん。
[00:39:01] 何言うんすか?
[00:39:02] え、さっきの試合の時はいい、いいよって。あの、金太郎と牛、あ、金太郎と太田選手。
[00:39:08] いやいや、でもいい。それ言い切る前だったと思う。そう。僕が色々プレゼンしたらまたグラなんか
[00:39:12] あ、そうだっけ?
[00:39:13] 信念がないですね。なんか
[00:39:15] うまいんだよプレゼンが。
[00:39:17] いや、でもわかんないです。もちろんグスタボがパンチで席あると思うんすけど。
[00:39:20] 偶然でチャンピオンなれるわけないんだよ。
[00:39:22] そう。僕この理論があるんですよ。
[00:39:23] うん。
[00:39:24] チャンピオンになりるやつ。
[00:39:26] それ、それは間違いない。しもすごいチャンピオン相手にサにね、偶然で勝てるわけないよ。はい。もう
[00:39:31] 1
[00:39:31] 回やったも全然わかんないと思うんですよ。みんなサトシって言うけど
[00:39:34] まずサトシからしたらあのた、あの膝の怖さがありますってまともにタックル行けないと思う。普通の感じでちょっと怖がりながら入っちゃうし。躊躇しちゃうよね。
[00:39:45] はい。
[00:39:46] ええ。けどグスタボス。
[00:39:48] はい。ここ具は売ります。か、ではい。
[00:39:52] はい。
[00:39:52] KOか判定かはどうでもいいしょ。
[00:39:54] ま、もちろんもちろ。
[00:39:55] はい。
[00:39:56] ま、どっちはでもおかしくないと思うすけど。うん。
[00:39:58] まず距離に入れないと思う。蹴りで。
[00:40:00] え、じゃあ何?ちなみにモフの何?
[00:40:02] K
[00:40:03] 王膝
[00:40:05] う最終的にはパンチかもしれんな。でも分うん。だ、そもそも入れないと思うんすよ。なかなか
[00:40:11] 軽蹴りでその
[00:40:13] で無理やり入った時に膝のカウンターとかパンチとかのカウンターもあれると思う。
[00:40:18] いや、確かにそれ見えるな。その、その試合展開見えるな。
[00:40:22] もう焦らされてこ行ったスコンって天とかもらっちゃうパターンでしょ。
[00:40:27] はい。はい。
[00:40:27] 確かにあるな。それは大いに
[00:40:31] 僕はでも激戦だってグスタボもはい場面もあって。
[00:40:34] あ、マジで?じゃ、グスタポ
[00:40:35] いや
[00:40:36] じゃあ俺の地も
[00:40:39] てかそんなんで意見変えるのなんかダサいっすね。
[00:40:42] なんか
[00:40:43] 訓練をもっと思って
[00:40:45] 確かにけどあり得るな。
[00:40:47] めっちゃ僕の言葉に惑わされて
[00:40:49] い。俺フィジカルさでグスタポだとグスタポだとずっと思ってたけど
[00:40:55] 確かあり得るね。
[00:40:56] 事て前来たとか天下を
[00:40:58] はい。めっちゃ想像できるとか蹴りの対応悪かったから。
[00:41:00] ああ。いやけど俺は違うね。やっぱフィジカルさ、ライト級差と
[00:41:06] 無隊のスタイルになれてるグスタボが
[00:41:09] ま勝ちますね。
[00:41:10] これ打撃戦になるじゃないですか。おそらく
[00:41:12] 打撃性になりますね。
[00:41:13] 僕その場合は階級軽い方が有利だと思うんですよ。
[00:41:17] なんでスピード
[00:41:18] でいう面もあると思う。スピードで。
[00:41:19] あ、スピードとか
[00:41:20] スピードが一番重要なんで。
[00:41:22] ま、重かったりそこもプラスポイントもあるけど。
[00:41:24] うん。
[00:41:24] ま、とにかく僕はモフ
[00:41:26] じゃ俺グスタボ3
[00:41:27] ラウンド。KOでおはこれどっちつった
[00:41:31] KOもあり得るな判定かな。
[00:41:33] はい
[00:41:34] はい。
[00:41:34] ま、でも一緒になりそうすよね。
[00:41:36] グストボッテ絶対いい試合するから。
[00:41:38] ああ、確かに
[00:41:38] 誰とやったって。
[00:41:39] 確かに毎回いい試合になるね。
[00:41:41] しかも今回気合入れてくるでしょうしね。
[00:41:43] タイトルマッチだしね。やっとあれだもんね。サトシとやってタイトルでしたっけ?
[00:41:48] うん。確かそうだよね。
[00:41:50] サトシ大体いつもタイトルマッチやない?
[00:41:52] え、じゃあタイトルマッチだったんすか?
[00:41:54] うん。多分そうだよね。確か
[00:41:56] はい。
[00:41:57] 2度目の正直
[00:41:59] そうすね。も、
[00:42:00] ここはするもんがあるんじゃないですか?クスターボも。
[00:42:02] そうすね。
[00:42:04] いや、どうなるだろう。
[00:42:05] じゃあもこのメインの試合で
[00:42:07] はい。
[00:42:07] 僕らの感想動画の順番が聞ということで。
[00:42:09] あ、そうですね。
[00:42:10] はい。
[00:42:10] じゃあグスタボが勝ったら僕から
[00:42:13] はい。
[00:42:13] の木が勝ったらジョビンさんから。
[00:42:16] いや、楽しいですね。
[00:42:17] いや、けど俺これ自信あるだけどね。
[00:42:20] でもだいぶ自信なくなってきてますね。僕のプレゼンで。
[00:42:23] うん。
[00:42:24] え、これのジもあ、だから俺のモフでしょ。多分ジョビさんものじ、あ、じゃない。グスタボかなと思ったけどモフなんだ。
[00:42:30] はい。僕のジモフ。
[00:42:31] なるほど。
[00:42:32] やっぱチャンピオンになったやつごですって。
[00:42:34] うわあ。それを聞いて確かに由来だ。
[00:42:37] そう思でしょ。
[00:42:37] うん。まずマグレじゃチャンピオンになれないです。
[00:42:39] うん。BAN
[00:42:40] もそう思っちゃうんすよ、僕は。
[00:42:41] ああ、なるほど。
[00:42:42] はい。
[00:42:43] はい。
[00:42:43] ま、そういうパターンでも負けるパターンもちあるんですけどね。はい。
[00:42:46] ま、じゃあこんな感じで
[00:42:48] またじゃあ感想動画次の糸書いてるんですか?
[00:42:51] はい。帰ってきてまた
[00:42:52] えと、
[00:42:54] え、
[00:42:55] 何日?9日でしたっけ?10日。
[00:42:56] あ、10日か。
[00:42:57] 10日曜日なんで
[00:42:59] じゃあ月曜日11
[00:42:59] 日月曜日
[00:43:00] また同じぐらいの時間で
[00:43:02] はい。16
[00:43:03] 時でいいですかね?
[00:43:04] あ、いいっすよ。じゃ、16時で
[00:43:06] はい、多分大丈夫だと思います。
[00:43:08] はい、お願いします。
[00:43:10] お願いします。
[00:43:10] じゃ、さんの方でも、あの、残り半分やってるんでください。じゃ、終わります。ありがございありがとうござい。
