[00:00:01] えいよいよ今月29日に行われるヨボ
[00:27:41] 史郎選手役もキックボクサーでも相手に
[00:27:44] ならないぐらいは強いみたいな撃がはいえ
[00:27:47] 言ってたんですけどま金スチ選手が
[00:27:49] やっぱりこうなんかもう本当両手こう前に
[00:27:52] 出してはいなんか足バタバタさせながら
[00:27:54] こう前出てるシーンとかすごい印象的で
[00:27:57] やっぱこうそこがすごいやりづらいんじゃ
[00:27:59] ないかなガチガチしてるじはい逆に井上
[00:28:01] 選手はやっぱ序盤めちゃめちゃ強くて後半
[00:28:04] ちょっとペースダウンする試合が多いかな
[00:28:06] と思うのでまそこでやっぱりキムスチル
[00:28:09] 選手判定で勝つかなとほほ打撃戦になっ
[00:28:12] たらどっちKOあり得るとしたらどっち
[00:28:15] KOだとスーチル選手のがありそうですね
[00:28:18] その寝技だと井選手でKOあるんだったら
[00:28:22] スチ選手がその根性出し切って3ラウンド
[00:28:26] 目で
[00:28:27] あし切るっていうのはちょっと井選手
[00:28:30] あんまけど形ないんですよねあそうなん
[00:28:32] ですそうですね1本が多いんですよねそ撃
[00:28:36] のイメージあるけどうんで数値は結構KO
[00:28:39] もあるし日本人を
[00:28:41] ね1010連勝中なんです日本人キラー僕
[00:28:45] ら世代はキムスチアジアアジアのバンタム
[00:28:50] 級ナンバーワンで僕は思ってて本当10年
[00:28:53] 前ぐらい1回引退してるんだけど引退する
[00:28:55] 前で復帰してもまだ強いからすごい長いな
[00:29:00] と思ったらまだ32人ですねああん時
[00:29:03] 二十歳だったんだ敬語で話しかけちゃい
[00:29:05] そうになっ36あったからじゃこの試合も
[00:29:09] 実演技術解説お願いしたいと思いますそ
[00:29:12] 選手に数値よる選手のこう戦うっていうの
[00:29:15] を解説していただき井上選手はまた僕が
[00:29:18] やりたいと思いますはい
[00:29:21] えまずは井上選手の戦略を僕がしたいと
[00:29:26] 思いますじゃスーチョルの似してください
[00:29:29] スチこうこれこういう感じですあスチだ
[00:29:32] これなこうこう
[00:29:34] パスチョっぽいはいもう距離取ってジャブ
[00:29:38] カーフしかないですよねこれで距離取って
[00:29:40] 距離取ってはいでも来たらしっかり
[00:29:43] テクダン切れるかどうかすねここが多分
[00:29:46] ポイントになるうんしつこく来ると思う
[00:29:49] からそのしつこさに惑わされないで
[00:29:51] しっかり距離キープしてジャブロジャブロ
[00:29:53] で削って後半もまいないで戦えるかどうか
[00:29:56] だと思いますねではえじゃそや選手に周長
[00:30:00] 選手なこう戦うという実践をお願いします
[00:30:02] はいはい今ちょっとやったんですけど
[00:30:04] やっぱりここであとはまそのカーフとか
[00:30:07] やっぱ来るんでまやっぱここでスイッチし
[00:30:09] たりとかはいまやっぱすると思うんでそこ
[00:30:12] で惑わしてやっぱテク団に繋げてで
[00:30:14] スクランブルすごいスチ選手強いし井上
[00:30:18] 選手も強いんで強でもお互いこう上を
[00:30:21] どっちが取るかみたいな攻防があんな多い
[00:30:23] とやっぱりスタミナ消耗すると思消します
[00:30:26] ねスクランブ1番疲れるそこに持っていき
[00:30:29] たいなとスチルはスクランブルガテに
[00:30:31] 持ち込んではいスタミナで勝おおなるほど
[00:30:35] うんありがとうございますえどちらが新た
[00:30:39] な雷人バンタム教授になるのか楽しみにし
[00:30:41] て
[00:30:45] ください雷人48勝敗予想メインイベント
[00:30:49] は雷人ライト級タイトルマッチです者
[00:30:52] ホベルトサ選手vs挑戦者ルイスグスタボ
[00:30:56] 選手の戦ですえそれでは勝敗予想の前に
[00:31:01] 勝負のポイントを伺いましょうこれどう
[00:31:04] でしょうこの対戦グラップラー隊
[00:31:06] ストライカーこれ打撃か寝技なんかサ選手
[00:31:10] って意外に打撃バーンって倒してじゃない
[00:31:12] ですかあ前ね太選手右ハイキックでケして
[00:31:16] なんかそれが今回も起こりそうじゃない
[00:31:18] ですけど打撃でもそれじゃ倒しきれない
[00:31:21] けどパウンドでみたいな
[00:31:24] ああ宗谷選手どどうですか僕が
[00:31:27] ストライカーなのでやっぱグスタボ選手の
[00:31:30] やっぱちょっと打撃に期待しちゃうなって
[00:31:32] いうのはありますねま自分もストライカー
[00:31:35] として佐藤選手と戦うんだってこうやる
[00:31:37] みたいなのも考えつつはいまそうすねはい
[00:31:40] もうやっぱりもう寝技が圧倒的に強いし
[00:31:43] やっぱり組んだらま引き込む方も手段取れ
[00:31:46] なくても引き込む方もあるのでうんま必要
[00:31:48] 以上にこう前に距離を詰めてはいけないん
[00:31:51] ですけどまやっぱり自分が下がってもいけ
[00:31:53] ないっていうストライカーとしては難しい
[00:31:55] 試合ですそれでは今の話を踏まえて勝敗
[00:31:58] 予想を聞きましょう一戦
[00:32:01] どうぞはいケト選手がえサ選手の1本勝利
[00:32:05] え2選手がおサ選手のTK大勝ちはいでソ
[00:32:11] 選手が大久タポ選手の3ラウンドK勝僕も
[00:32:15] サ選手のが三角で1本ですねえじゃケト
[00:32:19] 選手予想の解説をお願いします鈴田選手が
[00:32:22] その打撃で攻めるとは思うんですけど試合
[00:32:27] 展回のイメージ的にはジョニーケース選手
[00:32:30] とサ選手がやった時みたいになるんじゃ
[00:32:33] ないかなと思ってジョニーケス選手も打撃
[00:32:35] で行ったんですけどまぐちゃぐちゃてなっ
[00:32:38] てレスリングでちょっと輩失敗したか
[00:32:40] なんかでま三角だったのではいイメージは
[00:32:44] その展開でまサト選手が三角とかはいそう
[00:32:48] いうのではい取るんじゃないかなと思い
[00:32:50] ますじゃ2選手お願いしますはい序盤から
[00:32:53] もう絶対グスタボ選手はガンガン来ると
[00:32:55] 思うんですけど多分サ選手は打撃にも最近
[00:32:59] 絶対自信を持ってるんでそこで引かずに
[00:33:01] 絶対バンってぶつかりに行ってでサ
[00:33:05] 選手が当ててそこを崩れたところをその目
[00:33:10] ざってるもパウンドでボンみたいな感じで
[00:33:13] あえ打ち合う打ち合ってサト選手が当てる
[00:33:17] 打ち合うってよりも多分グスタボ選手
[00:33:20] 向こうがそんな打来ると思わずに打撃行く
[00:33:22] からサ選手に一発ボンて当たっちゃって
[00:33:24] ガンて崩れたところに馬乗りになって
[00:33:28] マウントはいマウントでKOをケをガチ
[00:33:30] すると思いますはいじゃ宗谷選手はいま2
[00:33:36] 選手がおっしゃった通りあのま打撃多分
[00:33:39] 地震ちょっと出てきてちょっと打撃の攻防
[00:33:42] にもなるんじゃないかなと思ってで
[00:33:44] グスタボ選手なんかもうすごい独特な右の
[00:33:48] スイングフックみたいな頭下げてなんか右
[00:33:50] ストレート綺麗に打たないですね多分うん
[00:33:53] でそのそれがすごい多分見づらいだから
[00:33:56] 打撃はま当たるんじゃないかのまあとは
[00:33:58] もうこのあのこの目ですねうんもうこれ
[00:34:02] ちょっと普通じゃないのでこれ怖いすよね
[00:34:04] ちょっとこれはこれは相当修羅場を
[00:34:08] くぐり抜けてきたやっぱこの目をしてます
[00:34:10] ばちょっとそれに期待をしますサ選手それ
[00:34:13] を倒すヒーローみたいな顔し確かにこれ
[00:34:17] あれすね確かに確かにこれそうすねサトシ
[00:34:21] はなんかいい男でこの写真もちょっといい
[00:34:25] 男でこれ怖いすもんね怖い俺は普通じゃ
[00:34:28] ないいっす
[00:34:30] ね2人とも打撃でサトシが行くこれどケ
[00:34:36] 選手どうすか打撃で行くサ引き込んだりと
[00:34:39] かはない気がしますねタックル行って
[00:34:42] タックル行くハックルってそれこそ打撃で
[00:34:45] もつれてみたいな初めは打撃すると思く
[00:34:49] いやでもめっちゃ攻めるはないんいや
[00:34:51] わかるめっちゃ怖いけどねブラジル同士だ
[00:34:54] から自分はそこも含めて1でもなんか
[00:34:57] そんな引かなそうだたと思うんですよねサ
[00:35:00] 選手はそういうところああちょっと確かに
[00:35:04] 怖いキラーサトが見れるかもしれないです
[00:35:07] ねえ実演技術解説をお願いしたいと思い
[00:35:10] ますえ2選手にはサト選手のはコするそ
[00:35:14] 選手にはグスタボ選手のこうするという
[00:35:16] 解説をいただき
[00:35:17] ますまずは2選手からサ選手の戦略を実演
[00:35:22] お願いしますはい最初カンてなって多分
[00:35:24] ブスタ選手いきなり来ると思うんでそこで
[00:35:26] 多分負けといなっってバチンてなった時に
[00:35:29] 多分グスタボ選手がガクって崩れてそこで
[00:35:33] そこでなんかダンダンダンダン
[00:35:35] バンバンバンまめてすぐ終わると思います
[00:35:38] すぐ終わる1ラウンド1ラウンドTKOで
[00:35:41] ファーストアタック今のファースト
[00:35:42] アタックですおおはいもうすぐそこまで
[00:35:45] 読むはい見えてる見えました見えました
[00:35:49] それではえソ選手グポ選手なら高買うて
[00:35:52] いうのをお願いしますはい藤選手は結構
[00:35:54] プレッシャーかけるタイプじゃないですっ
[00:35:57] ねとそんなに自分からプレッシャーかけ
[00:35:59] るっていう結構下がってるイメージはある
[00:36:01] んでグスタ選手前に出てはいでまスイング
[00:36:06] フックとか見せてはい蹴りも見せてま
[00:36:09] 近づきすぎずにでもしまプレッシャーかけ
[00:36:11] て近づいちゃったとしてもまで組まれて
[00:36:14] 引き込まれたとしてもまリングの端っこ
[00:36:17] ロープ際でま寝技の勾配やりたいかなって
[00:36:21] いうこう下からやっぱコントロールしたり
[00:36:23] 1本取るのやっぱりロープがあると邪魔
[00:36:25] じゃないですかやりらいはいのやりづらい
[00:36:28] ところで目の攻防はしたいんじゃないかな
[00:36:31] と立ち位大事ですよね2人のどこで立って
[00:36:34] 戦うかうんそうですねなるほどありがとう
[00:36:37] ございますえ2人の話がポイントとなるの
[00:36:40] か試合にえ注目して
[00:36:47] くださいはいここまでご試合を解説して
[00:36:50] いただきましたが他にも注目カードは
[00:36:52] たくさんあるのでえ是非ね皆さんにこのR
[00:36:56] 48気になるカード
[00:36:58] え教えてもらいましょうケ選手他のこの5
[00:37:02] 試合以外で気になるカード牛
[00:37:04] 純太郎選手と佐藤翔子選手のカードが個人
[00:37:08] 的には楽しみですねはい同門ですよね選手
[00:37:12] そうですもう今ATTから帰ってきてで
[00:37:15] 朝連とかを一緒にまたやってるんですけど
[00:37:17] もう純太郎さんの調子が良すぎて良すぎて
[00:37:20] はいちなみに内選手って本当にあの天然な
[00:37:24] んですかめっちゃ天然ですあの話が自転車
[00:37:27] 乗ってすごい軽いですねて言ってスイッチ
[00:37:30] 入ってなかった自転車じゃん2人で話すと
[00:37:34] 噛み合わ
[00:37:36] ない話が全然進まなくなりますですはい
[00:37:40] これめちゃくちゃ面白いですよね佐藤翔選
[00:37:42] 藤翔選手もはい強い何でもできるイメージ
[00:37:45] がでもできるからあるので総力戦すねMの
[00:37:49] じゃ2選手はい気になるカード僕あの同じ
[00:37:52] 階級なんでダウトベック選手vs選手空手
[00:37:56] 選手ダウトベックやばいすよねあの石
[00:38:00] パンチを空手選手で耐えれるのかっていう
[00:38:03] とすごいオス空手ですかねはいオすって
[00:38:06] なんかそういうボディとかが絶対頼れてね
[00:38:08] みたいなイメージがあるんではいイメージ
[00:38:10] ありますよねそれを石パンチ食らっても
[00:38:13] できるのかっていうのがそう気はいあ確か
[00:38:15] に曲線のはボディで倒れたダメみたいな
[00:38:19] 絶対なんかそういうイメージんですけど
[00:38:21] イメージオスで行けるかどうか楽しみです
[00:38:24] ねここでね木下選手勝ったらめちゃくちゃ
[00:38:27] 面白いいやかっこいすねすごいですね個人
[00:38:30] 的には空手選手倒してほしいすねその日本
[00:38:33] 人の強さをここで見せつけてほしいですね
[00:38:35] あなるほどじゃソ選手はい他に気になる
[00:38:40] カード金太郎選手とはいま元々あの後輩で
[00:38:44] ある秋本京まあはい元ども秋本選手初めて
[00:38:48] のね雷人デビューなんですけど秋本選手
[00:38:51] はいはいどんな選手ですか18歳でえっと
[00:38:55] ま本当にストライカーですねはいサウスコ
[00:38:57] でですずっと一緒に練習やられていきた
[00:38:59] 練習はずっと一緒にやってたんですけど
[00:39:01] やっぱりもう目がものすごく良くてでこの
[00:39:04] 距離感をこう支配する能力にすごいけてて
[00:39:07] えはいまだ18歳で格闘歴3年でマジで
[00:39:12] すごい負けなし5000負けなしうん本当
[00:39:15] にセンス抜群ですよねいやま金太郎選手も
[00:39:19] 負けらんないですねここはうんそうですね
[00:39:21] 金太郎選手多分相当なんか体の力とか強い
[00:39:25] のか怪我が強やっぱり心配というかなんか
[00:39:29] 万全の状態ではい見たいですねなるほど
[00:39:32] はいで僕は元選手た太田しぶ選手再戦前線
[00:39:38] はね元屋選手勝ってるんですけどちょっと
[00:39:40] 太田し選手がねあの前線ベラトールで圧勝
[00:39:44] してやっぱオリンピックメダリストの
[00:39:47] フィジカル異常じゃないですかはい人じゃ
[00:39:50] ない人じゃないレスラて組まれたら
[00:39:53] ジェットコースター乗ってるみたいなもう
[00:39:55] ふわって持ち上げられちゃうんですよね
[00:39:57] そっか太田選手もどう思んだ太田さんも
[00:39:59] どう思んすねどうすか太田選手いや本当
[00:40:01] もう4つ組まれたらなんかなんかもう
[00:40:05] 耐えようがないみたいなこう組まれた瞬間
[00:40:08] 受け身のことちょっと考え危ないこやられ
[00:40:11] ないためにはいさて最後になりましたが
[00:40:13] ゲストの皆さんから改めてファンの方々へ
[00:40:15] メッセージをお願いしますじゃケト選手お
[00:40:18] 願いします雷人ファンの皆様rine48
[00:40:21] 是非えっとペーパービューでも会場の方で
[00:40:24] もえっと楽しんでみてくださいはい
[00:40:28] はいあはいあのラジ
[00:40:36] 48いあの言おうとしたこと全部言われた
[00:40:40] からいやこれだんだん言うことなくなって
[00:40:43] くる単純に本当全部言われちゃって
[00:40:45] パニクったパニクったすごいいいこと言う
[00:40:48] からねそうなんですまとめじゃ改めてもう
[00:40:52] 今今の瞬間で考えた分かりましたあの人
[00:40:55] 48とあのはい僕も楽しむんで一緒に
[00:40:58] 楽しみましょう
[00:41:00] はいじゃあそ選手はいそうです最後に
[00:41:04] えっと雷人48あの初出場の選手もはいと
[00:41:08] こうなんかこう雷人のこうまベテランと
[00:41:11] いうか常連の選手の戦いとかがあるのでま
[00:41:15] そこをちょっとこのね意地がどっちが勝つ
[00:41:18] かとかすごい楽しみなんではいあの僕も
[00:41:21] 会場ではい行くのではい皆さんに楽しみ
[00:41:24] ましょう皆さん本日ありがとうございまし
[00:41:26] たありがとうございますはいヨボ
[00:41:28] プレゼンツR48はUNNEXTで生中継
[00:41:31] しますので是非お見逃しの内容お願い
[00:41:34] いたしますはいUNNEXTで
[00:41:37] ペイパービューを購入するとえっとお出場
[00:41:40] した選手に試合を振り返ってもらう
[00:41:42] スペシャル解説動画や抽選でオリジナル
[00:41:46] グッズのプレゼントなどの特典があるそう
[00:41:48] です楽しみしてくださいそれではこれから
[00:41:51] もユNEXTで格闘業お楽しみください
[00:41:55] じゃあねDET
