[00:00:00] じゃあ50終わりますありがとうござい
[00:32:37] 来たんですね
[00:32:39] あ本当だうん
[00:32:42] 15勝のうち10勝が1本勝ち
[00:32:45] 充実で培った決めの強さを見せつける愛人
[00:32:48] デビュー戦を飾りたい
[00:32:48] [音楽]
[00:32:51] フィニッシュレート93%
[00:32:57] ですねグラブラで竹虎はまあ
[00:33:03] 決
[00:33:05] っていうよりはまあ判定が違いですからね
[00:33:06] どっちかって言ったら
[00:33:09] まあ戦績で言うと圧倒的にだけの選手
[00:33:12] 武田選手って前回あの
[00:33:16] ジョニーケースにかそうですねはい
[00:33:22] ひっくり返りましたよねなんか
[00:33:23] うん
[00:33:24] イメージがというか
[00:33:28] すごいアグレッシブにいい社して
[00:33:30] 上回った感じだったですね
[00:33:32] でもあの時すごいケース削られたじゃない
[00:33:36] ですかだけどまぁ
[00:33:40] ストライカーだから
[00:33:41] 削られてたけど今回の選手って
[00:33:44] 技ぐらいでしょ
[00:33:46] ってなると前回のようにはいかないのかな
[00:33:51] 寝たらもしかしたら
[00:33:53] 単純な寝技だけだったら相手の方が強いか
[00:33:55] もしれないですね
[00:33:56] うんで
[00:33:57] テイク取っても
[00:33:59] 攻められたりとかまあ下からの攻めがある
[00:34:02] かもしれないですね充実ってことであれば
[00:34:06] どんな
[00:34:08] レベルなのかわかんないですからね
[00:34:11] 選手はねそうなんですよだからその15勝
[00:34:13] と言っても誰とやって15勝なのかって
[00:34:15] いうところも大きいと思うんで
[00:34:17] うんまあ普通に言ったら武田選手なのか
[00:34:20] なーという気がしますけどねどうしても
[00:34:23] うーん
[00:34:25] 立ってほしいですね
[00:34:26] ちょっと初出場ですのザック全員選手の
[00:34:29] あんまり情報がないので
[00:34:33] 難しいですけど
[00:34:35] 僕は武田選手判定が強そうにします
[00:34:40] 一緒です
[00:34:42] 一緒ですはい今割れてられるのはないかな
[00:34:46] 全員同じですかね
[00:34:48] ペースね
[00:34:50] 全勝ですね
[00:34:54] 結構でも今回はわかりやすいっていうか
[00:34:59] 予想はやっぱこう
[00:35:03] 街になるような感じが
[00:35:04] 確かにしますけどね
[00:35:06] 言ったら外人はこう蓋開けてみないと全く
[00:35:08] わかんないのでそうですねかけられない
[00:35:11] ですよね逆にそうですね
[00:35:14] はいじゃあ次が家賃祐介選手対ボイド
[00:35:18] アレン選手
[00:35:20] でボイドアレン選手も
[00:35:23] 初出場ですかね雷神はいはいもっと
[00:35:28] efcフェザー級者
[00:35:31] efcって何ですか
[00:35:35] 全くわかんなくてそのその国のあれなん
[00:35:39] でしょうねはい
[00:35:40] 南アフリカのローカルプロモーションで
[00:35:42] プレビュー
[00:35:43] efcアフリカアフリカのあれなんですね
[00:35:47] なるほど
[00:35:50] ボクシング
[00:35:52] 出身
[00:35:54] ってことですね
[00:35:55] まあじゃあ打撃の選手なのかなボクシング
[00:35:59] 出身ですけど
[00:36:01] 1本勝ち1011本勝ちで1KOですよ
[00:36:08] ね
[00:36:09] [音楽]
[00:36:13] リアリティッドチョークはその後も全て
[00:36:16] リアネットできっと勝負ってだからやっぱ
[00:36:18] あれじゃないですかそのパンチで倒して
[00:36:22] 弱らせてバックチョークみたいな
[00:36:27] そうですね
[00:36:28] [音楽]
[00:36:30] ではちくんと
[00:36:34] 家畜くんは前線が
[00:36:37] グスタボにまあ気を負けと今日負けかその
[00:36:41] 前がサトシに
[00:36:43] 三角で
[00:36:45] アップアウト
[00:36:47] 2連敗
[00:36:51] ですね
[00:36:53] まあどうなんすかこれも
[00:36:55] 相手がわかんないから何とも言えないです
[00:36:56] ね
[00:36:59] やっぱりね
[00:37:02] まあ谷津選手なのかなそういう意味では
[00:37:04] はい
[00:37:06] うん
[00:37:07] ちょっと予想になんかちょっとなりにくく
[00:37:09] てあれかなこれはならないですね
[00:37:12] はいじゃあ次行きますねはい
[00:37:16] すだれを選手タイヤの就活選手120キロ
[00:37:20] 契約で
[00:37:21] 矢の中華選手は
[00:37:23] 7000全勝
[00:37:26] 全部
[00:37:27] KOが1本で買ってるところ
[00:37:29] ですか
[00:37:33] KOと1本の
[00:37:35] 6Kを
[00:37:36] 6KO1本で
[00:37:39] 左の選手は5Kを
[00:37:42] ですねご勝5K用のどっちも100%対決
[00:37:45] おーまあ
[00:37:47] [音楽]
[00:37:50] 警報で決まるんだろうなというところです
[00:37:53] けどまたこのちょっと相手がねどんな感じ
[00:37:55] かわかんないんですけど
[00:37:58] そうですねなんか蛇
[00:38:01] 蛇って
[00:38:03] あんまりその
[00:38:06] テクニックっていうよりは
[00:38:08] [音楽]
[00:38:09] ね
[00:38:12] なんか
[00:38:13] 本当にどっちか勝つかどっちが先に当てる
[00:38:15] かじゃないですかま一発ドンターだったら
[00:38:17] もうそれで大体終わりだからねもうそう
[00:38:19] そうそうそう
[00:38:22] 考えると
[00:38:23] 多分スタイリオ有利っていうあの
[00:38:26] 前評判だと思うんですけどもう全然
[00:38:29] わからない
[00:38:30] んですよね
[00:38:33] これはマジでわかんないですね
[00:38:37] わから
[00:38:39] まあすだれを選手予想にしときます一応僕
[00:38:42] は
[00:38:44] の慶応
[00:38:50] 選手
[00:38:51] 座りを
[00:38:58] 南さんLINEしました僕
[00:39:02] サザエさんはいや一緒じゃないですか
[00:39:09] 前なんだろうそこが見えないですよねまだ
[00:39:12] ねそうですね
[00:39:14] 相手もどこの誰かわからないから
[00:39:17] どのぐらい強いのか全くわかんなくて
[00:39:20] そうですね
[00:39:25] 成長しますからね左を選手ってねどんどん
[00:39:29] ありがとうございます
[00:39:32] アメリカでなんか
[00:39:33] 練習して最初はやられてたけどもうなんか
[00:39:36] やられなくなってきたみたいな
[00:39:40] フィジカル的にね
[00:39:41] なので
[00:39:44] 下りを選手でしょうねそうですねまあ
[00:39:46] なんかちゃんと練習してるしどんどん試合
[00:39:48] ごとにやっぱり上手くなってる出力なっ
[00:39:49] てるので
[00:39:52] 若いしまあるい選手というところではい
[00:39:55] じゃあここまで全員予想が一緒ですね一緒
[00:39:59] ですで
[00:40:01] メインとはい
[00:40:04] クルベルOK
[00:40:06] [拍手]
[00:40:15] レベル選手が本当にその1本で
[00:40:18] 絶対勝つと思ってるんですよで
[00:40:21] 多分
[00:40:22] 石鹸の
[00:40:24] 予想も
[00:40:25] レベル選手が勝つっていう風になお予想の
[00:40:29] 方が多いと思うんですけどこの間
[00:40:31] 僕
[00:40:32] ライコンね一番新しいライコンみたいな
[00:40:35] 結構あのあれ牛久選手勝つんじゃないの
[00:40:38] みたいな感じで
[00:40:39] 大根でこうゴブに持ってったなみたいな
[00:40:42] この
[00:40:44] 我々視聴者の
[00:40:45] 気持ちをねだからライコンすごいなと思っ
[00:40:48] て
[00:40:49] すごかったあの大根良かったですね
[00:40:51] すごい
[00:40:52] 久しぶりにやっぱり
[00:40:55] 学校を頭一つ抜けてんじゃないかなと僕は
[00:40:57] 思うんですよはいあのクレーベル選手は
[00:41:01] うんで1本
[00:41:05] 予想です
[00:41:06] はいどうぞ
[00:41:09] 僕は
[00:41:11] 昨日までは
[00:41:13] 牛久選手予想だったんですけど
[00:41:15] それはまあ言ったらんー
[00:41:20] 対策寝技の対策をやってまあ3ラウンド
[00:41:24] しっかり動いて
[00:41:25] 判定で
[00:41:26] 勝ち切るっていうパターンですねやっぱり
[00:41:28] 黒部選手穴がないわけではないのでやっぱ
[00:41:31] 徹底的に寝技に付き合わないっていうこと
[00:41:33] で打撃をメインで
[00:41:35] まあ抑え込んで勝て
[00:41:38] るって気がしてたんですけど
[00:41:41] やっぱ
[00:41:42] 軽量の時の
[00:41:44] レベル選手を見てですね
[00:41:47] 顔が怖い
[00:41:49] 顔がいや
[00:41:51] 強いやっぱりあのーでなんかその
[00:41:55] 三角とかは入んないような気がするんです
[00:41:57] けどやっぱ
[00:41:58] バックチョークはなんかやっぱ決められ
[00:42:00] そうな気がしてしっかり
[00:42:03] 色々対応していくんだけどやっぱその3
[00:42:06] ラウンドずっとはそれができなくてどっか
[00:42:09] で
[00:42:10] 取られてしまうっていう今までこれより
[00:42:13] 選手ライジン全部1本勝ちですよね
[00:42:15] 5005勝51本勝ちで
[00:42:19] 寝屋川の対処がうまい選手っていうのもね
[00:42:21] 例えばいたバルカ選手とかもそうだと思う
[00:42:23] しまあカイラー号もそうだし
[00:42:25] 事実クロールみたいなのがいたんですけど
[00:42:27] それでもやっぱ取られてるんで
[00:42:29] そこと比べて牛久選手がものすごく寝技が
[00:42:33] 強いかって言ったらまあむしろちょっとね
[00:42:36] あなただけで言ったら下なのかなっていう
[00:42:38] とこもあって
[00:42:40] フィジカラ強いけどまあそんな感じで
[00:42:42] やっぱどこかで
[00:42:44] やっぱり決め切ってしまうのかなと
[00:42:46] レベルが
[00:42:48] バックチョーク予想です
[00:42:51] はい小野寺さんになるで勝つと思うんです
[00:42:54] かくれぐれは
[00:42:59] なんでしょうねー
[00:43:02] このバックチョークか
[00:43:05] 三角か
[00:43:09] [音楽]
[00:43:14] なんかこう変わる変わるかもしれないです
[00:43:17] ねあの
[00:43:18] 要はよく三角
[00:43:21] 仕掛けててで腕十字に
[00:43:24] 変えたりとかするじゃないですかなんか
[00:43:26] ああいうなんかひっかけでこの1個目の技
[00:43:28] じゃなくて2
[00:43:30] 個目とか3個目の
[00:43:32] 引っ掛けで
[00:43:37] 勝つかなーっていうこの隙をついてみたい
[00:43:40] な
[00:43:43] そんなイメージがありますあの伊沢
[00:43:47] 選手みたいな感じ井澤青果選手みたいな
[00:43:49] 感じ
[00:43:53] さんの様子をもう
[00:43:58] 僕は判定がちなんですよ粛清の
[00:44:02] 割れましたね初めて
[00:44:03] [音楽]
[00:44:05] まあ
[00:44:10] みんなまあわかっててもね
[00:44:13] フレベル選手の
[00:44:16] あの
[00:44:18] 寝技
[00:44:19] やっちゃって
[00:44:20] 取られるイメージがあるんですけどなんか
[00:44:23] 俺最近牛久選手なんか持ってるなっていう
[00:44:27] のは
[00:44:28] すごく感じてて
[00:44:30] 確かに
[00:44:33] 斎藤豊選手に勝って
[00:44:35] その後
[00:44:37] 神田選手
[00:44:40] もう斎藤戦で怪我してて
[00:44:43] でもまあ
[00:44:45] 約束が約束があってるからちゃんとそこは
[00:44:47] こなさなきゃいけないからって言って
[00:44:49] ディープに戻って
[00:44:51] 防衛戦をやって
[00:44:54] 怪我しているのにも関わらずそこでも
[00:44:56] 買ってでまた雷神戻ってきたら斉藤選手に
[00:45:00] 文句なしまあ
[00:45:02] ダウン取ってかつでなんかやっぱこう
[00:45:08] チャンピオンになってから
[00:45:11] オーラをまとったというかそうですね
[00:45:13] なんか貫禄が出たなーっていうのはすごく
[00:45:16] 感じてて
[00:45:18] [音楽]
[00:45:22] まあでもねそれを
[00:45:24] 全て量がしてきたのが
[00:45:26] レベル選手なんでどうかなとは思うんです
[00:45:28] けど
[00:45:31] [音楽]
[00:45:34] クレメル選手が勝てばまた幻想がね
[00:45:37] 膨らみますよねしかも1本勝ちとかに買っ
[00:45:40] たら
[00:45:41] どうなんだこいつどこまで強いんだUFC
[00:45:44] 行っちゃうんじゃないかとかって思うん
[00:45:45] ですけど
[00:45:48] 相性の問題で
[00:45:51] 僕はなんかこうまあ
[00:45:52] わかんないですけど全然わかんないです
[00:45:54] けどまたこういう話
[00:45:56] 名前出してきちゃうと良くないかもしれ
[00:45:57] ないですけども
[00:45:58] 例えば牛久選手と
[00:46:00] ミクロ選手であれば
[00:46:02] ミクロ選手かなって思うんですね
[00:46:05] で
[00:46:06] クレベル選手とみくる選手だとレベル選手
[00:46:09] かなと思ってて
[00:46:12] でこの2人クレベル選手と
[00:46:14] 祝選手がやるとどうなんだろうって思うん
[00:46:17] ですけど
[00:46:19] 唯一勝てるのが
[00:46:20] 萎縮選手なんじゃないかなって
[00:46:24] トラックですけどね
[00:46:30] 倒せずに
[00:46:33] 勝つなら判定って感じですよねサン
[00:46:35] ラウンドちゃんと自分の
[00:46:37] 試合をやっぱやりきってやらせないって
[00:46:40] いうとこだと思うんですけど
[00:46:42] そうですね
[00:46:45] システムが勝つ判定がするなら
[00:46:47] 多分つまんない時代になりますよねそう
[00:46:49] ですね見てる方は
[00:46:52] 取るんじゃないかなと思います
[00:46:55] 倒れてっていうシーンが多分あるんですよ
[00:46:57] またレベルがでそこに
[00:47:00] 突っ込んでいくとやっぱ下からこう
[00:47:03] 絡まれて寝技の展開に持ってかれるんでだ
[00:47:05] からその誘いに乗らないみたいなことを
[00:47:08] 徹底して
[00:47:10] いけ
[00:47:11] ばっていうまそういう感じで僕も元々牛久
[00:47:15] 予想ではあったんですよ
[00:47:17] そうなんですよね
[00:47:20] でも売るか選手そうだったじゃないですか
[00:47:22] あ出たしね
[00:47:25] 行かないけどでもレベルってあのダウン
[00:47:29] 取られてもなんか
[00:47:31] 前に来るじゃないですか出てくるじゃない
[00:47:32] ですかで結局2ラウンド目
[00:47:35] 黒レベルの方から抱きつくような形で
[00:47:38] 作ったんですよね
[00:47:41] だからああいう感じになるんじゃないです
[00:47:44] かね
[00:47:45] 時間が経っていけば
[00:47:48] そうですね難しいのが本当だから三角十字
[00:47:52] だけじゃなくてやっぱりバックからバック
[00:47:55] コントロールとかまあそっからのチョー
[00:47:57] クっていうのがやっぱあるんで
[00:47:59] なかなかやりにくいじゃないかなと思い
[00:48:02] ますね
[00:48:07] レベル
[00:48:09] 2ラウンドまで防げば
[00:48:11] 牛久選手が
[00:48:12] なんか判定で勝つ気がしますけどそうです
[00:48:15] ね確かにそのスタミナ麺とかっていうので
[00:48:17] やり切る力は回ると思うんであとまあ汗
[00:48:21] かいて逃げるとか例えばですけどそうです
[00:48:23] ね
[00:48:25] [音楽]
[00:48:26] なんかでもバック取られる気がするんです
[00:48:29] よねー最悪
[00:48:34] 引き込みでもいいですもんねそうですね
[00:48:38] なんかそういうのがでもこれは本当
[00:48:42] ちょっと難しいですねどっちが勝つか
[00:48:44] [音楽]
[00:48:51] 選手の1本勝ちを
[00:48:53] はい
[00:48:54] ちなみに何ラウンドの予定です予想ですか
[00:48:56] 何ラウンドかなあいいっすね2がチャンス
[00:49:00] ね1は絶対笑うんでね
[00:49:02] でもなんかほらレベルもちょっと
[00:49:06] 修行アメリカントップチームにも行ってた
[00:49:08] しなんかどっかあの
[00:49:11] 言っててもしかしたらやっぱりそれなりに
[00:49:14] 打撃とか思うことがあってまあ
[00:49:16] 言ってるんだと思うので
[00:49:18] 赤くなってるかもしれないですよね打撃
[00:49:23] それも見てみたいですね
[00:49:27] はい
[00:49:28] ということで一通り
[00:49:33] 終わってまあ
[00:49:34] メイン以外は全員同じ
[00:49:36] 感じの
[00:49:37] 様子をとなっていますはい
[00:49:43] ちょっとじゃあコメントを
[00:49:47] 読みますか
[00:49:50] ここからにしましょうかコメントそうです
[00:49:52] ねじゃあここから何かあればコメントを
[00:49:55] 書いてもらって
[00:49:59] [音楽]
[00:50:03] くれぐれ選手が打撃が変な言い方ですけど
[00:50:06] うまくなったら弱くなりそうな気がしない
[00:50:08] ですか
[00:50:10] [音楽]
[00:50:12] 前に出てくるからあれあれが怖いと思うん
[00:50:14] すよね
[00:50:15] 結構慣れてないから
[00:50:17] それもあるかもしれない
[00:50:24] なんか
[00:50:26] 真似できないというかまあでも
[00:50:29] 例えばですけど
[00:50:31] ディフェンスがうまくなるとかは
[00:50:33] プラスになるんじゃないですかねこれは
[00:50:34] 絶対やった方がいいですね
[00:50:36] [音楽]
[00:50:41] 38とスーパーライジンの感想をサクッと
[00:50:44] どうですかま確かにやってなかったですね
[00:50:46] はい
[00:50:48] サクッとやりますサクッとサクッとやり
[00:50:51] ましょう
[00:50:53] 383
[00:50:57] ですね
[00:51:02] スーパーライジング
[00:51:04] レーザーと
[00:51:05] ミク選手これだけでいいですよね他はいい
[00:51:08] かなですね
[00:51:09] これはまあ
[00:51:13] だったんですけど2ラウンドの
[00:51:18] 気は勝敗はないですけどまあTKOという
[00:51:20] ことで
[00:51:22] 僕はまあ正直
[00:51:24] KOはないのかなと思ってたんですけど
[00:51:27] 大樹さんもあったりとかやっぱ倒すんです
[00:51:30] ね
[00:51:34] しかも今までダウンとかもあんまないよう
[00:51:36] な選手だと思うんですけどそれはああいう
[00:51:40] ちょっと大きいジュースのグローブでも
[00:51:43] 走ったような感じで
[00:51:46] そうですね本当なんかかしたような感じ
[00:51:48] だったっすよね
[00:51:50] うーんだからまあ脳神道なんでしょうけど
[00:51:52] ねやっぱり
[00:51:53] うーんやっぱりしかも44歳でしょ44歳
[00:51:57] で
[00:51:59] みくる選手をね
[00:52:01] 体重様って
[00:52:04] KOできる人っているのかなと思ったら
[00:52:06] やっぱすごいなと思いましたね
[00:52:08] ボクシングルールだからってのありますよ
[00:52:09] ねでももっとプロボクサーとかでもまあ
[00:52:12] 現役の43でも
[00:52:15] なんか
[00:52:17] 倒せなさそうな気もするなよ
[00:52:19] 確かに
[00:52:21] ブレーキングでなんとか見てるとそのね
[00:52:24] ボクシングの
[00:52:25] 世界チャンピオンとかが
[00:52:27] 普通にね若者に負けたりとかしてますから
[00:52:30] ねだからやっぱそう考えたらメイウェ
[00:52:34] ザーってやっぱすごいんだよなぁ
[00:52:36] [音楽]
[00:52:39] まあ
[00:52:43] 他は工事選手が負けをしたとかまあそんな
[00:52:46] 感じですかねはいで38
[00:52:52] メインからいきます
[00:52:53] 堀口選手と金太郎選手は方々名で
[00:52:57] 堀江選手が
[00:52:58] ミラウンドに
[00:53:01] 勝ったって感じですねそうですね1回
[00:53:02] スコーンって
[00:53:04] ダウン撮ったんですよね一ラウンドに
[00:53:06] 知らんでね
[00:53:10] でまぁそこから
[00:53:11] テイクダウン中心に切り替えて最後は方々
[00:53:15] 目で決めたという感じ
[00:53:17] ただやっぱり
[00:53:20] スタイルチェンジはしてますよね堀口選手
[00:53:21] もね昔よりもっとそのトータルファイター
[00:53:25] になってるっていうか
[00:53:28] でもやっぱ金太郎選手の怖さも出ましたね
[00:53:31] 出たら
[00:53:33] やっぱ一発当てたし
[00:53:36] [音楽]
[00:53:38] 嫌な感じで出てました一発当てた
[00:53:41] 当ててダウン取った時に
[00:53:43] 堀口選手がこう好転みたいな形で足が邪魔
[00:53:46] して次に行けなかったじゃないですか
[00:53:48] あれって
[00:53:49] 狙ってんですかそれともたまたまその形に
[00:53:51] なったんです
[00:53:53] どうなんですかね
[00:53:57] 勢いがあったからそのまま
[00:53:59] 回転したんじゃないですかねでもそしたら
[00:54:01] こうやっぱ
[00:54:03] ダウン取られたらあの形作れば
[00:54:07] 良くないですかでも
[00:54:09] 沖際にサッカーボール怖かったと思うん
[00:54:10] ですよ
[00:54:11] 確かに確かにね
[00:54:16] あれ
[00:54:17] 怖いっすよね
[00:54:19] 足がだから
[00:54:22] 森光子
[00:54:25] 足が
[00:54:26] 足をこっちにある分には問題ないですけど
[00:54:29] 起きる時にこうなるんじゃないですかね
[00:54:34] ここで蹴れるのが一番怖いんで
[00:54:36] だからまあ
[00:54:39] 良い子は真似しないでくださいなんじゃ
[00:54:40] ないですかだからだから普通はガードの
[00:54:43] まんまにして
[00:54:44] 足
[00:54:46] 回らない方がいいですよねきっと
[00:54:50] リスクが少なくなるってことで
[00:54:53] 足が上がってれば多分その殴られはしない
[00:54:55] なんか踏みつけとかあるけど
[00:54:57] うん
[00:54:58] そのままぐるっといっちゃったんですね
[00:55:00] はい
[00:55:01] やっぱりそこを含めてプレイ選手持って
[00:55:04] たってことですよねでもなんか意識は一瞬
[00:55:07] なくなったって言ってるんでなんかそっ
[00:55:09] からもう復活するのも早かったですね
[00:55:10] なんか倒れる前にも戻ってましたもんね
[00:55:15] 飛んでも
[00:55:19] 追撃できないようなやっぱりそういう
[00:55:21] プレッシャーがあったんだろうとは思うん
[00:55:22] ですねそこから立ってからもね
[00:55:25] [音楽]
[00:55:27] まあでもやっぱりその組
[00:55:31] から
[00:55:32] 寝技の展開もすごくやっぱね
[00:55:35] うまかったし
[00:55:37] 力の差がやっぱあったなっていうとこで
[00:55:39] もう
[00:55:41] ほんとだ雪っていうのはトータル
[00:55:42] ファイターになったんだなっていう感じ
[00:55:44] ですね
[00:55:46] そうですね
[00:55:49] あそうですねそうですねだから得意なん
[00:55:51] でしょうね多分やっぱトップから方々
[00:55:53] めっていうのは
[00:55:54] [音楽]
[00:55:57] いあとはいざ選手とアナスタシアス
[00:56:02] デッキがこれも腕
[00:56:04] 決めたやつですかね
[00:56:08] 思ったよりアナスタシア選手が
[00:56:11] メバチがすげえ強くてそうですねでだから
[00:56:15] 1回戦の例の戦打撃で言ったじゃないです
[00:56:17] か
[00:56:19] 普通に電話するやったら1本取ってたん
[00:56:21] じゃないのと思いましたよねやっぱその
[00:56:23] abccのねその
[00:56:25] 国のチャンピオンってことでやっぱり
[00:56:27] 良かったですね
[00:56:30] まあでもちょっとレイナと見たかった
[00:56:32] なーっていうとこありまして
[00:56:35] でまぁ決勝いざ選手と
[00:56:38] で次が
[00:56:40] 浜崎選手とパクシューまあ判定で爆死です
[00:56:43] ね
[00:56:45] まあちょっと尼崎選手もう
[00:56:50] きつかったですねやっぱ
[00:56:51] 腕折れてたらね
[00:56:53] もう一切使わなくなったんで
[00:56:56] 絶対怪我しただろうなと思って
[00:57:01] 相当きつかったと思いますよあれもう
[00:57:04] もう1回見たいですね
[00:57:08] まあ決勝いざ選手タイプ集これは再戦に
[00:57:12] なるのかな
[00:57:13] 再生です
[00:57:15] まあちょっと何とも言えないけどどうどう
[00:57:18] なんすかねなんかどっちが勝っても
[00:57:20] おかしくないような気もしますけどね
[00:57:21] なんかそういう感じになりましたよね
[00:57:23] うん
[00:57:25] まあこれが大晦日にやるのかなおそらくは
[00:57:28] うーん
[00:57:29] そうですね今年の決勝戦はい
[00:57:34] はいであと大きく補選したキムスンチョル
[00:57:37] これすごかったですね
[00:57:40] [音楽]
[00:57:42] かなり
[00:57:47] ボコボコになって
[00:57:49] タフでしたね
[00:57:52] 1回もテイク取れなかったんじゃないです
[00:57:54] かそうですね背中までは疲れつけてないの
[00:57:58] かな
[00:57:59] 逆に取られてましたもんねガンガー
[00:58:03] これはもうほんとゾンビ系の
[00:58:05] [音楽]
[00:58:08] 1年かけてねバンタム級トーナメントやっ
[00:58:10] て
[00:58:11] [音楽]
[00:58:12] 買った選手がその優勝者ですからねー
[00:58:17] そうっすねーたけ
[00:58:20] 体重も間違えてたんですもんネイティブ
[00:58:22] する
[00:58:23] フェザー級だと思ってたって言ってました
[00:58:25] もんね
[00:58:28] すごいなぁ
[00:58:29] 水抜き中になんか死んだおばあちゃんの顔
[00:58:31] が見えたとかなんか言ってましたけど
[00:58:35] [音楽]
[00:58:37] 間違えるのかって話があるけどな
[00:58:40] ちょっと
[00:58:42] 荻窪さんは
[00:58:45] 欲を出すとダメなんでしょうね
[00:58:47] 結局
[00:58:48] その最初に
[00:58:50] 朝倉海戦してやった時も
[00:58:52] 良くないしてこう殴りね
[00:58:57] これだけでよく出しちゃってでこれで怪我
[00:59:01] されちゃったじゃないですか
[00:59:03] 今回もまあその
[00:59:06] グランプリの覇者なんだから1本形をもう
[00:59:09] いい加減しなさいよみたいな大臣で1回も
[00:59:12] 1本慶応取ってないからいい加減にし
[00:59:14] なさいよっていうのを感じてそこを
[00:59:20] 狙いに行った結果ああなっちゃったのか
[00:59:22] なって思いますけどね
[00:59:24] 確かに
[00:59:26] まあ
[00:59:28] 単純に強かった感じもしますけどね
[00:59:33] だから
[00:59:36] 堀口先生が見たいってなったそれは見たい
[00:59:38] かもしれないですね
[00:59:40] [音楽]
[00:59:43] そうっすねー
[00:59:46] そんな感じですかねあとはあ萩原選手と
[00:59:51] 続きちひろ選手っていうのもあったんです
[00:59:53] ね
[00:59:54] まあこれはまたちょっと
[00:59:58] 萩原選手がね同じ負け方をしてしまって何
[01:00:02] 度もで東京に拠点を移すっていうような話
[01:00:05] も出てますねえーそうなんですか
[01:00:09] [音楽]
[01:00:11] やっぱりそのMAっていう
[01:00:15] 環境ではないんですとかねその
[01:00:17] カルピリウムだったりとか
[01:00:19] での練習がまあ練習環境変え
[01:00:22] るっていうのが出てましたね
[01:00:24] 今からジム
[01:00:27] 探すとかね行ってましてね
[01:00:30] 関東の
[01:00:31] 関東で
[01:00:33] ちょっとだから
[01:00:38] 選手もそこまで寝技が強い選手ってことも
[01:00:40] ないと思うのでそこで
[01:00:43] 爆竹とられるっていうのはね
[01:00:44] [音楽]
[01:00:45] 正直
[01:00:48] でもやってたらそうならないような気が
[01:00:52] するんですけどね
[01:00:56] ちゃんと
[01:00:57] 練習してたら
[01:00:59] どうなんでしょうね
[01:01:01] 練習はしてると思うんすけどね
[01:01:03] 稲垣組みに練習していたりしてるのでまあ
[01:01:07] その大阪で作れる大阪とかまあ
[01:01:10] 関西で作れる練習環境が整ってたはずです
[01:01:13] けど
[01:01:14] まあそうね岩崎さんとこでもねはいやっぱ
[01:01:23] 得意じゃないんでしょうねやっぱり
[01:01:29] 萩原選手が初めてRIZINに来た時
[01:01:32] 確か白川
[01:01:33] 陸と選手と戦ってなんかその時のデータが
[01:01:37] なんか
[01:01:38] 参照4敗とか
[01:01:39] 地価額で参照4倍みたいな感じじゃなかっ
[01:01:42] たですか最初出たこの
[01:01:46] 多分その4倍っていうのも
[01:01:47] グランドなんでしょうね
[01:01:50] 勝ってるのは
[01:01:51] 打撃
[01:01:53] っていう感じなのかなと思うけどもう本当
[01:01:55] に昔から電話が苦手
[01:01:59] なのかなみたいなねあと強い人とやりすぎ
[01:02:02] ちゃってるような気もするんすよね練習で
[01:02:03] なんかやっぱ今これ予想ですけどね
[01:02:06] [音楽]
[01:02:08] どうしてもディフェンシブになってしまう
[01:02:10] みたいでねやっぱ強い人のばっかやってる
[01:02:12] と
[01:02:14] まあちょっと今後のどうなるか花があって
[01:02:18] 人気もある選手なんで
[01:02:21] ですねしたいですねはいで堀口選手はあれ
[01:02:25] ですかフライ級転向という話が出てます
[01:02:27] けど
[01:02:29] 来てほしい
[01:02:31] 大丈夫ですか
[01:02:33] 作るってことですかねじゃあ
[01:02:36] いいんじゃないですかね
[01:02:39] うん
[01:02:40] ベルトルってチャンピオンになったらまあ
[01:02:42] ヨッシーってもいいのかなっていう
[01:02:44] そしたら
[01:02:46] 平達郎との試合がもしかしたらある可能性
[01:02:48] が出てきますね
[01:02:52] [音楽]
[01:02:53] 何年後かわかんないですけどね
[01:02:56] [音楽]
[01:03:00] 松田選手もねやっぱ
[01:03:03] 1本勝ち
[01:03:10] 相手がね
[01:03:11] 競輪オーバーして
[01:03:14] まあもともとなんか
[01:03:16] 融資レビュー戦向けオーバー
[01:03:19] 軽量オーバーしてて
[01:03:22] それもあってなんかチームでももしかし
[01:03:27] たらそれもあるかもよみたいな話をしてた
[01:03:29] らしいんですよ今回もまたなんかあるかも
[01:03:32] あるんじゃないのって
[01:03:34] [音楽]
[01:03:35] のもあってまあ
[01:03:37] うーん
[01:03:40] そうですねまあでもあの勝ち方じゃない
[01:03:43] ですからねいやすごいですよやっぱり
[01:03:45] 嬉しいで
[01:03:47] 普通に1本決めて勝つっていうのがあの
[01:03:51] 相手の選手だって例えば国内のまシュート
[01:03:54] とかに来たらまあかなり強い選手だと思う
[01:03:56] んですよねそう思います
[01:03:58] 少なくともチャンピオン級ではあるなと
[01:04:00] いう
[01:04:02] そこに
[01:04:05] [音楽]
[01:04:07] 何回かねやっぱ返されたりとかちょっと
[01:04:10] 危ないシーンもありましたけど
[01:04:15] そこも含めてなんか
[01:04:17] 魅力
[01:04:18] 的だなっていうふうにすごい思いましたね
[01:04:23] はい大きくお選手もフライ級転校
[01:04:26] 素晴らしい
[01:04:27] もともと
[01:04:29] 持ってるシュートのチャンピオンはフライ
[01:04:31] 級のチャンピオンでしたからねそうですね
[01:04:33] はい
[01:04:37] [音楽]
[01:04:39] だから大きくも選手が
