[00:00:00] ハローハロー。
[00:21:11] 俺はま、打ち合いばっかしかやってないじゃん。近代選手。
[00:21:15] うん。うん。うん。
[00:21:15] ブレーキダウンで。で、元ね、ライト球のトップでランカーだから。
[00:21:19] そんな寝技つか。元々ライト球か。
[00:21:21] まあまあ、
[00:21:22] ライト級がヘビーで戦う。今
[00:21:24] 100km以下契約。
[00:21:25] うん。これきついっすよ。
[00:21:27] いや、けど俺は技術に勝さると思うよ。近代選手で力たい技じゃない?
[00:21:32] お互いスタミらないような気がしますけどね。近
[00:21:35] 1
[00:21:35] 分に慣れてしまってるからでヘビーに上げるってことは死亡とかも増えてなんか動きづらい。
[00:21:40] あれ普段どのぐらいなん?普段そのぐらいあんじゃないの?多分
[00:21:42] まあるんでしょうね。でも元々ライトすからね。
[00:21:46] いや、けどブレキューダ見る限りそのヘビー球でもガンガン動けてるじゃん。
[00:21:50] まあそうすね。確かに。
[00:21:51] うん。
[00:21:52] 僕はでもバンビロ確か粘持ち込んだら近ダ値がなんか圧倒する気もするけどでも一応セネガルズもやってるんでしょ、こいつも。
[00:22:00] うん。
[00:22:00] そんな簡単に行きますかね。
[00:22:02] いや、だ、片足あれっすよ。セイントに勝ってるんですよ。
[00:22:07] ブレーキ。うん。
[00:22:09] うん。ま、セイントあんま認めてないですからね。僕
[00:22:11] え、あのハ剣とやセトだよ。
[00:22:13] うん。全然強くない。
[00:22:13] めっちゃでかいじゃん。
[00:22:14] いや、全然強くない。
[00:22:15] いいけど肘めっちゃ強いしょ。
[00:22:18] うん。うん。
[00:22:19] え、そのなんだっけ?バンビロールと変わんなくない?フィジカル。
[00:22:23] いやいや、ま、ま、バンビロールのことわからんけど
[00:22:25] めっちゃでかいじゃん。
[00:22:26] いや、僕全然あいつを認めてないですけど。
[00:22:29] パンチも別に、ま、あの、酒量を敬語したのが結構フューチャーされてるけど、そんなに認めてないですけど。
[00:22:34] いや、バンビロールがわかんねえからな。
[00:22:36] ま、お互いわから。
[00:22:37] ディープ、大阪で勝ってんのか。
[00:22:38] うん。僕はバンビロール。
[00:22:40] じゃ、僕は近代一選手が
[00:22:41] バンビロールが京ち1
[00:22:42] 本勝ちっすね。寝技。
[00:22:44] ハウンドとかもあり得るけど。
[00:22:46] はい、分かりました。
[00:22:46] はい。じゃ、次が僕、えっと、怪物君、
[00:22:49] Vファンイエロー。
[00:22:50] これめっちゃ強いらしいすね。
[00:22:52] マジで?
[00:22:53] あ、見たけど。
[00:22:54] はい。なんかYFC
[00:22:56] はい。はい。あの、この前対抗戦やったやつね。
[00:22:59] そう、そう。で、やっぱあるとかは
[00:23:02] ディープ対抗戦出てるメンバーはやっぱそんな強いやつを出せないんです。ギャラが高いから。
[00:23:06] ああ、
[00:23:06] これはマジのトップらしいですよ。
[00:23:08] へえ。
[00:23:08] 最近しげさんがおっしゃってました。
[00:23:10] へえ。打撃もいいし、ストライカーだよね。見た感じ。
[00:23:14] うん。
[00:23:14] でも寝技も、え、寝技も寝技のフィニッシュも得意だから
[00:23:18] はい。
[00:23:19] うん。両方3キア31本だしね。
[00:23:22] しかもフェザーサキウザとかだってYFC
[00:23:23] の。
[00:23:24] ええ。
[00:23:24] YF、あ、YFUか。すいません。
[00:23:26] YFUか。
[00:23:27] 忍者チョークで勝ったよね、前。
[00:23:30] いや、これかなり期待できるんじゃないですか?
[00:23:32] かなりあの、フィジカルもね、強い感じだった。しかも
[00:23:34] まだ25歳なったばっかり。
[00:23:36] ああ、これは多分強いね。
[00:23:38] これはどうでしょうか?
[00:23:40] これは。けど鈴木選手がさ、勝てほしいけどさ。
[00:23:44] もう年齢的にもさ、もさ、
[00:23:49] 打撃できるしね、このイエロー。
[00:23:51] はい。
[00:23:51] だからもう総合力でうん。
[00:23:56] ま、打撃も僕ファンイエローと思うな。
[00:23:58] うん。俺も
[00:23:59] ここは僕ファンイエローなんか忍者直うん。忍者チ直で決めんじゃ直系で
[00:24:03] うん。
[00:24:04] 1
[00:24:04] 本ガチなんじゃないかなと。
[00:24:06] いやあ、俺も1
[00:24:07] 本勝ちのような気がするな。
[00:24:08] これ何000
[00:24:09] 何勝なんでしょう?ファンイエローイ勝何杯?
[00:24:11] えっと
[00:24:13] 持ってないですよね。10勝1杯。
[00:24:15] うわ、これでも31本4反定。
[00:24:18] これは多分相当強いですよ。
[00:24:21] これはちょっとトップ選手でも楽しみ。
[00:24:23] 中国。
[00:24:24] うん。じゃあそっか。YFU
[00:24:26] のトップ選手初めて来るんだ。今までね。多分そういうことです。はい。
[00:24:30] 対抗、ディープ対抗戦も3敗3
[00:24:32] 連敗だったしさ。はい。
[00:24:33] この前北海道大会に来た中国人もね、あんまりだったから
[00:24:37] はい。ま、
[00:24:38] 本格的な中国人初めてです。
[00:24:40] はい。怪物君はやっぱ名古屋なんで呼ばれてるんでしょうね。
[00:24:43] チケット売れるからって。
[00:24:44] でも怪物君が上に行けるイメージがわかんもん、正直。
[00:24:48] まあね、年齢的にも厳しいよね。白はない感じはする。
[00:24:51] 圧倒してほしいです。正直よ。で、なんか新しい選手出てきたらめっちゃ面白くないですか?フェザー級で。
[00:24:57] うん。面白い。
[00:24:58] で、中国人ってまた新しいとか開拓っていうかさ。
[00:25:01] そうですね。はい。[音楽]
[00:25:02] 僕はえげない勝ち方をすると思います。
[00:25:04] チョクで1本勝ち1ラウンド。
[00:25:05] お、打撃でも勝ちそうだしね。
[00:25:08] あ、
[00:25:08] これ楽しみですよ、皆さん。超注目の
[00:25:10] 俺あれかな?パンド系かな?打撃聞かして。
[00:25:13] ああ、それもありえそう。
[00:25:14] うん。
[00:25:14] 追撃パウンド。
[00:25:16] はい。
[00:25:16] 打撃もめっちゃいいんだよな。
[00:25:19] じゃあ次。
[00:25:20] はい。
[00:25:20] え、高木涼V
[00:25:22] け。
[00:25:23] キって名前いいっすね。
[00:25:24] ね。いいね。三宅天手とさ。
[00:25:26] うん。
[00:25:27] あんまり知らなかったんだけど、これしっかり見たらさ、めっちゃいい選手な。いや、
[00:25:31] 僕もしっかり見ました。5
[00:25:32] 連続フィニッシュ。
[00:25:33] めっちゃ強い。打撃めっちゃいい。
[00:25:35] 打撃めっちゃ強いね。ていうか打撃の体。
[00:25:37] だからね。
[00:25:38] そうっすね。
[00:25:39] 組みの体じゃなくない?
[00:25:41] そうすね。の体細いしなやかな体というか。
[00:25:44] だからフィジカルどうなのかなって思わない?
[00:25:47] うん。ま、確かにそんなにある体じゃないと思ってる体には見えないあんまり。
[00:25:51] [音楽]
[00:25:52] 確かに。なんかキックボクサーの体すよね。
[00:25:53] うん。すっげえ。高木選手は今アメリカとか行ってんでしょ?
[00:25:59] そう。てか所属がね、変わったんですよね。
[00:26:01] ねえねえね。八王字八王子で
[00:26:03] ね、フリーになった。な
[00:26:03] んでなんかわかんないですけど。
[00:26:05] ま、ビリーコーチとかけしてるんですかね。
[00:26:08] そうなのかな。ビリコ練習してるとかどうなんかいいんでしょ?
[00:26:11] はい。
[00:26:12] うん。
[00:26:12] 同じようにトレーニングしてるからもうそっちに行くみたいになったんですけど。ま、フリーか。とりあえず。
[00:26:16] フリー。うん。
[00:26:18] でも5連勝してるんですよね。三宅
[00:26:21] ね。で、
[00:26:22] いや、これわかんない。
[00:26:24] 5
[00:26:24] 連続フィニッシュ。
[00:26:25] 打撃じゃわかんないけどでもあんまだから三宅選手が
[00:26:30] うん。
[00:26:31] あんま組みできるイメージがないんじゃない?あの体
[00:26:35] まあね。分かる。体で大体分かるすからね。
[00:26:37] うん。
[00:26:39] で、そこの差出るかな?
[00:26:41] コレスニックとかともやってるからい選手。
[00:26:43] そう。コレスからもテイクダウン軽く奪ったりしてましたもんね。
[00:26:46] で、コレスニックに普通にフィニッシュされずに戦ってますからね。
[00:26:49] やっぱフィニッシュされるとか考えづいた量が。
[00:26:52] そう、そう。うん。その引き出しの差っていうか。
[00:26:55] うん。
[00:26:55] MMAのこの
[00:26:57] 例えば五角形打技スタミナ
[00:26:59] はい。とかの互角形の差で
[00:27:02] バランスいのは高い選手だよね。
[00:27:04] そうすね。
[00:27:04] 三宅選手はどっちかっていうとストライキングよりなのかな。うん。
[00:27:08] スタミナとかもわかんない。あの
[00:27:11] 1ラウンドフィニッシュ多いから。
[00:27:12] ま、でも判定、ま、負けてる試合か。判定まで行ってんのは
[00:27:15] うん。
[00:27:16] 最近言ったら
[00:27:17] うん。
[00:27:18] うん。僕高木が判定かな?
[00:27:20] いや、俺も俺は高木選手は判定か。ま、
[00:27:24] でも打撃そんなさあないと思う。さす。
[00:27:25] 打撃はさあないと思う。打撃めちゃくちゃうまいよ。
[00:27:28] むしろの方が手勝とかは結構出ると思う。
[00:27:31] うん。
[00:27:31] 高木は結構大ブりなイメージあって
[00:27:33] あと待って右狙いすぎちゃうとこあるから。
[00:27:36] そうすね。
[00:27:36] うん。
[00:27:37] だから手数とかアタックス打撃は宮選手めっちゃいいんだよな。
[00:27:42] そうっすね。
[00:27:43] うん。
[00:27:44] 平田戦がね、あの組に蹴
[00:27:47] 相手にもあれも良かったし。
[00:27:49] 結構1
[00:27:49] 発あるっすよね。右ストレート強いし。
[00:27:51] 殺勝能力強い。
[00:27:52] めちゃくちゃいい選手だけど、組みの差が出て
[00:27:56] 俺も高井選手が判定ですかね。
[00:27:58] やっぱ組いいすからね。まただ、ま、秋本には結構やられたけどでもフィジカル強いし
[00:28:04] でまずテイクダウン行くと別にそんな変に打ち合う必要はないもん。
[00:28:06] うん。そうね。
[00:28:07] 僕も高き
[00:28:08] 僕も。ああ、1本か判定か。
[00:28:11] まあ、1本か判定か。む、僕は判定。
[00:28:13] いやあ、どうだろうね。
[00:28:15] 1本もあると思うけどな。
[00:28:17] あると思う。全然
[00:28:18] リアネキとチョーク1本。
[00:28:19] ハ線のように
[00:28:21] 1
[00:28:21] 本。
[00:28:22] そっか。確かにあのチョクがあるからね。
[00:28:24] うん。
[00:28:26] いや、確かに取りそうな気もする。僕はでも一応判定で。
[00:28:30] で、僕リアネキとチョク
[00:28:32] 1本で高選手。
[00:28:33] はい、分かりました。じゃあ
[00:28:35] はい、
[00:28:36] 次が、え、伊藤ゆき山本アーセン
[00:28:41] いや、いいカードすね。これも
[00:28:42] いいカード。
[00:28:43] リザーブマッチとしては
[00:28:45] どうでしょうか?
[00:28:46] これ1
[00:28:46] 回アーセン選手は勝ってるんでしょ?
[00:28:48] はい。
[00:28:50] テイクダウンゲームで。
[00:28:51] え、けてく。あ、あ、1
[00:28:52] 回買ったら早。そこからの伊藤選手としてはリベンジマッチだけど、
[00:28:58] え、ま、新龍戦を見ると
[00:29:02] あんまりテイクダンディフェンスがどうなのかなって思いつ
[00:29:05] はい。
[00:29:06] 今日ラミー戦とか見るとね、かなりいいし
[00:29:09] はい。
[00:29:10] 難しいな、これは。
[00:29:12] いや、最近の勢いで言ったら全然伊東なんでしょうけど、ま、相性的に
[00:29:17] 俺ここはアーセン押し切るんじゃないか。
[00:29:20] はい。
[00:29:21] けど勢い的には伊藤選手だしなんかこの前のやっちまった感がさ、アーせ、またなんかや
[00:29:28] そうなんですよ。もう期待できない。
[00:29:31] そう、
[00:29:32] 僕自分の動画で言ったんですけどフロントか僕今からでも
[00:29:36] 2
[00:29:36] バかでいいからやっといた方がいいと思打ち込みとか。
[00:29:39] あ
[00:29:40] でタックルでまた前回みたいなタイミことになってなかなか難しかったらスライディングとか言ったら俺マジ取れるんじゃないかなと思うんですよね。
[00:29:47] あ、か、
[00:29:47] アーセンに、
[00:29:48] アーセンに
[00:29:49] いやあ、確かに
[00:29:50] いやいや、マジでそう思う。ロールとかね。はい。
[00:29:53] それ対応できると思えないですもん。
[00:29:55] うん。なんかね、期待が大きい分ちょっともうなかなか期待しづらくなっちゃったかなって感じあるけど。
[00:29:57] [音楽]
[00:30:01] そう。でも相性的にやっぱり俺アーセンか判定
[00:30:04] アセね。うん。
[00:30:05] あ、け、結果予想。
[00:30:06] はい。
[00:30:08] で、伊藤選手が新龍戦を経て
[00:30:10] はい。
[00:30:11] しっかり、ま、かなりレッシングをやってるって言ってたから
[00:30:14] はい。
[00:30:15] そこだよね。うん。
[00:30:17] なんか
[00:30:18] 打撃だ。打ち合ってくれる相手には強いけど
[00:30:22] うん。ズルー戦もね、良かったし。
[00:30:24] はい。
[00:30:25] どうだろうけど俺伊藤選手は勝つと思うな。
[00:30:29] まあ勢いとかあるすからね。
[00:30:31] 勢いで。
[00:30:32] うん。
[00:30:32] そう思ってたけどな。
[00:30:35] でもやっぱいにもやっぱ組には絶望感じすけどね。新龍戦とか見て。
[00:30:39] うん。新龍戦がかなり痛かったな。
[00:30:42] うん。も何回やっても勝てる気せえへんし。
[00:30:45] 正直優勝できる気はせえへんもん。これリザーブで上がったとしたって。
[00:30:49] ま、相手を見るとね、
[00:30:51] ま、ガチャモふざけばいいける気もする。相性的に。
[00:30:53] うん。なんで僕は伊藤けど伊藤選手に期待したい。
[00:30:59] うん。
[00:30:59] ていうかアーセン選手がもうあされちゃうとなかなか期待しづらくなっちゃう。
[00:31:04] 期待しづらい。マジで期待しづらい。
[00:31:05] うん。だ伊藤選手かな。
[00:31:09] ま、十分それありえそうすけど。
[00:31:12] 僕はアーセ判定がもう前回と同じような展開になって。
[00:31:16] あ、あの伊藤戦とあ、テイクダンゲーム。
[00:31:19] はい。はい。
[00:31:20] 打撃もいいしね。半セ選手。
[00:31:21] ま、そうなんすよ。
[00:31:22] 福選手。
[00:31:23] 福田も普通にできてるし。
[00:31:24] 似合ってるし。それを出してくれれば
[00:31:26] 確かに。確かに
[00:31:27] 全然この準決勝行っててもおかしくなかったと思うんだけどね。
[00:31:31] うん。ただ別に1発はないすけどね。
[00:31:33] ああ、確かに。なん
[00:31:34] 武器がないんですよ。キッドさんとかと比べて。
[00:31:36] ああ、そっか。か回りしちゃう感がある。
[00:31:38] うん。でも目はいいし。
[00:31:39] ただまサブミッションのディフェンスが本当
[00:31:40] 0
[00:31:40] 点なんで、それを伊東が決めるのもありえると思うんですよね。
[00:31:41] [笑い]
[00:31:45] ここでも決められるかみたいな。あ
[00:31:47] あ、そっか。
[00:31:47] いや、ありえると思うんすよ、よ、僕。
[00:31:48] そっか。あり得るね。
[00:31:49] で、伊東って結構下になっちゃうじゃないですか、寝技で。で、練習からそうだと思うんですよ。で、そういうタイプって下から三角とか不とかできたりすると思うんですよ。
[00:31:58] そうなるから。うん。あ、うん。
[00:31:59] だからそんなんで決められても
[00:32:00] 2連続フロントとかないでしょ。
[00:32:02] はい。いや、全然ありえると思う。アーセンはい。
[00:32:04] ありえる。ちょっとアーセンのいいとこ見たいな。
[00:32:07] 見たいですけどね。
[00:32:08] 僕はでももう諦めちゃいました。朝に
[00:32:10] マジで。俺もちょっと期待しづらい。
[00:32:12] 新龍の時にもうもう無理や。
[00:32:13] いや、俺もちょっとショックだった。
[00:32:15] ショックだった。あのスピードであのタップ。
[00:32:17] うん。
[00:32:18] ね。はい。じゃあ次行きます。え、あと
[00:32:23] 3試合。あと2試合か。
[00:32:26] え、もうそんなもんなん?
[00:32:27] もう川じさんにいっぱいったんで。元龍とシェードライフレスだけです。僕は。
[00:32:33] そっか。あ、そっか。
[00:32:34] はい。え、どうでしょう?元当たり新龍。
[00:32:37] これは
[00:32:38] 興味深い。これは面白そう。
[00:32:40] いや、これは俺は
[00:32:43] もう新龍だと思う。
[00:32:46] 心龍強いでしょ?強い。え、これバンタムのコンディションだった場合どう思います?モテ。ま、そ想像しづらいですけど、
[00:32:53] バンタムのような動きができるんだったら多分モテやと思うんすよ。
[00:32:57] うーん。けどまそうね。バンタムのコンディションだったら持ってる選手かもしんないけど絶対そうじゃないと思うし。
[00:33:04] うん。はい。そう。絶対そうじゃないですよね。
[00:33:06] で、前半やっぱ見ちゃうじゃん、この前も。
[00:33:08] そう、もうあの丸いくせミリット何
[00:33:11] 1つなんですけどね、あれすんの
[00:33:12] で前半から行くじゃん、新龍選手。
[00:33:14] はい。はい。
[00:33:14] だ、そこでもうペース掴んでだ。下からうまいって言うけど、新龍選手は下から取られるイメージないし
[00:33:21] ない。全くない。
[00:33:22] あの、大久保戦とか統戦の最初のね、テイクダウンとかめっちゃ強いし
[00:33:28] はい。
[00:33:29] 俺新龍選手マジ日本人の中だったらマジで大育久保選手の次でナンバー
[00:33:34] 2とかで1
[00:33:36] 番見たいな大育保新龍の再戦だけどね。俺は
[00:33:38] 僕久保よりも新龍のが強いと思うんですけど
[00:33:41] トータルで考えたら
[00:33:42] ま前回差なかったじゃないですか。
[00:33:44] でやっぱ若い神龍の方が成長してる可能性高いからっていう。ま、でもわからん。大き部がまた同じようなことする気もするけど
[00:33:51] やっぱり打撃の殺能力がないのが
[00:33:54] うん。こう世界で戦うにあたってはかなり
[00:33:58] 新ですか?
[00:33:59] うん。
[00:33:59] うん。
[00:34:00] パンチうまいけどさ。
[00:34:01] パンチは倒せる感じ。
[00:34:02] 倒せる感じないじゃん。
[00:34:03] ま、モテやもそうですけどね。
[00:34:04] ああ、そっか。あれがないと
[00:34:06] やっぱ対外国だ人だとガンガン来ちゃうから
[00:34:10] まあね。
[00:34:11] 厳しいのかな。
[00:34:13] パンチがないって僕基本的にパワーがない証だと思うんですよ。
[00:34:16] ああ。
[00:34:16] レスリング力とかも。
[00:34:18] うん。うん。うん。
[00:34:18] だから、ま、心理はスピードはあるけどパワーはそんなにないですよね。スピードめっちゃある。
[00:34:23] ま、モそうよね。
[00:34:24] まないこともね、パワもあるんやけど。
[00:34:26] うん。そうね。
[00:34:27] 元谷選手はどっちかっていうとマラソン型のローパワー的な。ハイパワって新龍もそうと思う。
[00:34:33] そうね。心龍青春もどっちかっていうと長距離系だよね。
[00:34:35] うん。俺はコンディションが良かったら元や勝つと思うんすよ。
[00:34:38] ええ、
[00:34:38] 相性的にも
[00:34:40] どういう展開?
[00:34:40] 元やの四つを防げるやつほぼ見たことないですよ。
[00:34:42] あ、元の4つめっちゃうまいよね。千龍の
[00:34:45] 4つもめっちゃうまいでしょ。
[00:34:46] ああ、
[00:34:46] これ戦とか4
[00:34:47] つからじゃなかったっけ?違うっけ?
[00:34:49] いや、タックルでしょ。
[00:34:50] タックルだっけ?
[00:34:51] はい。だったと思うんすけど。
[00:34:53] うん。
[00:34:53] でもやっぱコンディションも落ちるし新龍判定かなって思うす。
[00:34:56] おお。
[00:34:58] もやが1
[00:34:58] 本勝ちとかも面白ありえそうですけどね。
[00:35:01] ああ。いや、今日新龍が
[00:35:02] 1本負けするイメージが全くない。
[00:35:05] いや、そうですけどでも全然あると思うすけどね。もからね
[00:35:10] いや、
[00:35:10] いろんなやつを決めてきてるんで。
[00:35:12] ま、まあ、まあ、まあ、まあ、まあ、まあ、まあ、
[00:35:14] うん。でもまずやを仕留めきりなかったのは、あ、元やのコンディションが悪かったのか、ヒやが成長したのか、ま、いまいちわかんないですよね。
[00:35:19] わかんないけど、そういうの見ちゃうとやっぱり新龍かなと思う。
[00:35:23] はい。
[00:35:24] うん。ま、強いけどね。もっとやけど。
[00:35:26] そうっすね。
[00:35:27] 40km
[00:35:27] とか走ってるらし、走ってたらしい。
[00:35:29] ああ。
[00:35:30] 毎日40km走って
[00:35:32] 化けもやな。
[00:35:33] そこから夜16
[00:35:35] 時間ぐらい練習したらしいよ。
[00:35:36] すごいっすね。
[00:35:37] すごくない?
[00:35:37] でもそんなことしたらどんどん僕は落ちていくと思うんすけどね。
[00:35:40] うん。まあ、ま、ハイパーなくなるし。
[00:35:43] 40km走って午後6時か夜中の12
[00:35:45] 時まで道場で練習してたと。
[00:35:47] へえ。ええ、
[00:35:48] 1日何時間?
[00:35:50] 半端じゃないな。8
[00:35:51] 時間9時間練習した。
[00:35:53] ま、それができるってことはも発力ないなとも思っちゃうよ。
[00:35:56] 瞬発力あれや。そんなスタミナも持たないですから。
[00:35:58] そう、そう、そう、そう。
[00:35:59] はい。
[00:36:00] ま、こう心龍かな、僕はやっぱでも展開としては塩事合になると思う。心龍もテクダも行きづらいと思うんすよ。上になったらなったで、そのタックル行った時にバック疲れたりとかもあると思うし。
[00:36:09] ああ。ええ、そう。うん。俺はガ
[00:36:11] 倒し際とか危ない気がするけど俺は結構打撃戦を採してると思うんすけどね。
[00:36:16] 1
[00:36:16] 回。
[00:36:16] そう、打撃から組みつくのうまいじゃん。心理パンパンパンパン。
[00:36:19] それでテイクラン取って
[00:36:21] 元が勝つことも全然考えるけどな。
[00:36:25] あるけどね。選手の勝ちもあるけど。
[00:36:26] 井上直相手にあの試合やってるんすよ。
[00:36:29] ああ。ま、バンタム球だったね。
[00:36:31] まあね。ま、
[00:36:32] バンタム球で心龍モテやればモテや勝つでしょ。
[00:36:36] そうすよね。
[00:36:37] バンタム球でけどフライ級でモや新龍やったらやっぱ心龍かなと思っ
[00:36:42] そうすね。俺も結局新龍
[00:36:43] 1本は難しいですからね。
[00:36:44] 判定すね。
[00:36:45] うん。
[00:36:46] 判定僕も心てか軽量大丈夫なんですかね。まず
[00:36:48] 1
[00:36:49] 回目クリアしたからって次クリアできるとは限んないですよ。
[00:36:52] あ、でもめっちゃ走ってるから大丈夫なんじゃない?
[00:36:54] いや、そんな
[00:36:55] 未だに20kmぐらい走ってるらしいよ。
[00:36:57] でもオーバーしたことあったじゃないですか。
[00:36:58] あ、あったね。
[00:36:59] ライジン1だっけ?
[00:37:00] はい。心配ですけど。まあまあまあ。はい。じゃあラストフェザー級タイトルマッチ。ラジャブアリシェイドライフ。
[00:37:07] Vターコレス。
[00:37:09] これどうですか?ジョビンさん。
[00:37:11] これでも未だにセドライフがわかんない。
[00:37:14] わかんない。マジでそこが見えない。
[00:37:18] そこが見えないですね。
[00:37:20] 25歳ぐらいでしょ?25歳で
[00:37:23] はい。
[00:37:23] こんなに強いんであれば
[00:37:26] [音楽]
[00:37:26] はい。
[00:37:28] もう本当にチャンピオンになれるじゃんて思っちゃう。
[00:37:31] そうっすね。
[00:37:31] けどそんなはずないよねっていう。そんな簡単に
[00:37:35] US
[00:37:35] チャンピオンになれないよねっていうのが
[00:37:37] 24歳か今
[00:37:38] あるからオールフィニッシュでだから何かしら
[00:37:42] うん。
[00:37:42] 穴あるんじゃない?い、でもあのグラチャラの時も思ったすけど
[00:37:48] うん。
[00:37:49] 団体のレベルは置いといて、ま、ライジの方がその
[00:37:51] UFCのがレベル高いじゃないですか。
[00:37:53] でも化け物みたいな人におったおかしくないですから。それぞれの
[00:37:56] あの団体でそんなやつおるかもしればトリアが来人させても同じような感じと思みんな元あってでも
[00:38:01] UFC
[00:38:01] ではチャンピオン難しいんじゃないかなると思うんですよ。
[00:38:03] こんだけ来人は無双してるけど。
[00:38:05] ま、24歳でキャリア11戦だよ。ん、
[00:38:08] 12戦。
[00:38:09] うん。[音楽]
[00:38:09] 全フィニッシュ。
[00:38:11] オールフィニッシュっすよ。
[00:38:12] うん。
[00:38:12] けどキャリアがまだ10だよ。
[00:38:14] はい。
[00:38:16] あ、違う。ごめん。15
[00:38:17] 戦か。結構やってんな。[音楽]
[00:38:19] 15戦やって。
[00:38:21] うん。24
[00:38:22] 歳。
[00:38:24] 化けもんですよね。
[00:38:25] 相手は30
[00:38:27] 戦やってますから。コレスカ倍のキャリアっすよ。
[00:38:30] コレスニックは29とかか。
[00:38:32] 29。
[00:38:33] 俺と誕生日一緒や。
[00:38:35] しかも10年ちょうど違う。
[00:38:36] 1996年3月なのかで僕1986年3
[00:38:39] 月なのか。すげえ。10年違う。
[00:38:40] ジョイさん、それどうでもいいわ。全然どうでもいいわ。
[00:38:44] 寂
[00:38:45] それ何その誕生日一緒とかさ、もう
[00:38:47] 寂そ。
[00:38:48] お、そうなんだ。すごいって言いづらいよ。
[00:38:51] そんなんも言わしてくださいよ。
[00:38:53] 10
[00:38:53] 年違うかった。ちょ、誕生日一緒とかってもう
[00:38:58] なんか恥ずかびっくりした。
[00:39:00] 恥ずかしいわ。そんなん言われたらちょうど
[00:39:02] 10
[00:39:02] 年違うって。これ川じりさんもなってますって。
[00:39:05] いや、朝倉ミクルトだったらわかる。
[00:39:08] これスと10
[00:39:09] 年違くて誕生日どうでもいい。めっちゃこな。今の
[00:39:09] [笑い]
[00:39:14] びっくりした。そんなはこと思って。
[00:39:16] 確かに好きな女とかね。狙ってる女が。
[00:39:18] そう。好きな人だったらわかるよ。で、朝から三くだったらわかる。あ、マジですごいじゃ。
[00:39:23] 俺が言ってんのビクターやん。
[00:39:24] うん。コレスと誕生日ちょっとどうでも良くない?
[00:39:27] どうでもちなみにコメおちゃんとも一緒なんですよ、僕。
[00:39:27] [笑い]
[00:39:30] あ、そうなの?それもどうでもいいけど。
[00:39:33] [笑い]
[00:39:33] はい。で、
[00:39:34] いや、これ難しいけど俺
[00:39:37] めちゃくちゃおもろいすけど。興味深い。
[00:39:39] うん。いや、俺なんかめくれる気もするし
[00:39:42] でもコレスもまだ幻想ってよくわかんない部分あるじゃないですか。
[00:39:45] ああ、確かに。
[00:39:46] 僕ね、これいいですか?僕から言って。
[00:39:48] うん。
[00:39:49] もう断然シェイドライフ。お、
[00:39:51] あのコレスの武器って、ま、色々あるけど、ま、ボディであったりとか、ま、蹴リすよね。ま、カーフとかめっちゃ強いんじゃないですか。まずシェライフにボディとカーフは通用しないです。
[00:40:01] お、ボディはなんで?
[00:40:02] あの、構え的にあれは効かないです。前鏡になるやからボディ効くんすよ。そ、ま、絶対じゃないですよ。一緒の流れの中で前髪になる時もあると思うけど、基本的にあの後ろ重心はカーフも
[00:40:13] ジョビンさんの
[00:40:13] はい。カーフもボディも聞きづらいす。だからスニックのゲームができないはず。
[00:40:18] なるほど。
[00:40:19] で涼に一瞬ですけど低されたりしてたんです。プレス。うん。うん。うん。
[00:40:24] てことはシェードライフにはやっぱりがっつりされると思う。
[00:40:27] ああ。
[00:40:28] うん。どう考えたてシェドライフ有利
[00:40:31] そううっすね。
[00:40:32] ちなみに俺の朝倉みくちゃんはこれに勝つとか言ってるんですよ。
[00:40:36] ええ、
[00:40:37] マジで。
[00:40:37] はい。
[00:40:38] 誕生日一緒だったら嬉しかったな。桜びくるちゃんな。
[00:40:40] [笑い]
[00:40:41] ちょっと違うけど。
[00:40:42] キモいね。
[00:40:45] なんかジョビンさんが
[00:40:46] はい。
[00:40:48] 認めたみたいな書いて。あ、金だって。認めたって。
[00:40:51] ああ、ポストありましたね。
[00:40:52] もうあれね、もう冗談に決まってるやん。もう
[00:40:55] 冗談用しないんだね、みんな。
[00:40:56] もうこんなこと分かってくれるのもうきついわ。
[00:40:57] [笑い]
[00:40:59] そう、秋た方第一に言ってたやつね。
[00:41:00] もうあれ突っ込むのもた。もう分かるやん冗談ですね。あんなんを真似受けて
[00:41:07] でそこだけ切り取ってね。
[00:41:08] ね、もうアホやなと思っだからもう俺反論しなかった。あ、反論するの馬鹿らしいなと思って冗談で色々言うやん。
[00:41:14] 確かうん。
[00:41:15] 本気で好きやん。朝倉みくのこと[笑い]
[00:41:18] ね。
[00:41:18] けどお金でしょ。
[00:41:20] ま、そこは
[00:41:20] 朝倉三くがあ、ま、強い人が好きなんだもんね。そもそもそ
[00:41:24] かもう主人公が好きなんですよ、俺は。
[00:41:25] そっか。主人公だもん。
[00:41:26] てかもう泣けへんて。
[00:41:27] 演技でどうやって泣くんや。
[00:41:30] え、泣いたんだっけ?
[00:41:31] 泣いた。
[00:41:32] 平本してんだっけ?
[00:41:33] ああ、
[00:41:34] どうやって泣くの?
[00:41:36] なんかこの辺にこう
[00:41:37] なんかぶち込んで
[00:41:39] こうやって泣いたんじゃ。これは金になると
[00:41:42] 芸人ってさ、
[00:41:44] いや、俺関係ねえじゃん。
[00:41:45] いや、いや、芸人って縁にうまい説あるじゃん。
[00:41:47] TK
[00:41:48] 木さんとか超うまくない。ああ、まあ、え、
